Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.29,20.87,23.59,25.95,26.17,26.30,25.86,25.56,25.19,23.95,21.65,19.14
1902,18.52,19.32,23.66,25.76,26.33,26.64,26.18,25.77,25.08,24.08,21.78,19.98
1903,19.08,20.46,23.97,26.30,26.73,25.89,25.92,25.38,24.85,23.74,20.87,17.27
1904,17.58,19.74,23.29,25.16,26.23,26.16,25.95,25.88,25.47,24.28,21.19,18.45
1905,19.30,21.66,23.62,26.03,26.43,26.20,26.13,26.12,25.54,24.38,22.04,21.20
1906,20.18,21.90,23.73,26.59,27.22,26.57,26.31,26.09,25.76,23.99,21.21,19.38
1907,18.89,20.96,23.01,25.58,25.95,26.14,25.94,25.51,25.33,24.04,21.80,17.99
1908,18.87,20.64,23.36,25.85,26.14,26.17,25.95,25.57,25.29,24.10,20.83,19.04
1909,18.97,20.92,23.49,25.71,26.06,26.21,25.79,25.78,25.39,24.32,21.10,18.46
1910,19.26,20.22,22.85,25.48,26.23,26.14,26.04,25.77,24.92,23.93,21.55,18.19
1911,18.52,20.36,23.27,25.71,26.32,26.27,26.00,26.05,25.52,24.24,22.63,20.03
1912,18.99,20.92,23.97,25.86,27.02,26.57,25.76,25.33,25.08,23.77,20.75,18.91
1913,18.52,20.95,23.35,26.02,25.83,26.05,25.43,25.39,25.19,23.83,21.11,18.82
1914,18.20,21.09,23.50,25.84,26.81,26.10,25.67,25.32,25.08,23.71,21.69,19.50
1915,18.85,21.48,23.59,25.76,26.04,26.26,25.75,25.78,24.98,23.85,20.98,17.61
1916,18.02,20.67,23.63,25.67,26.35,26.03,25.99,25.65,25.26,23.68,21.06,18.45
1917,18.49,20.46,22.84,25.63,26.36,25.86,25.79,25.39,25.02,23.62,21.53,18.33
1918,18.74,19.91,23.05,25.03,25.77,26.04,26.25,25.61,25.60,24.24,22.03,20.04
1919,19.48,21.06,24.19,25.88,26.52,26.15,25.82,25.84,24.99,23.91,21.66,19.36
1920,18.35,20.72,23.61,25.49,26.34,26.21,26.02,25.72,25.39,23.74,21.96,19.43
1921,19.10,20.46,23.56,26.17,26.18,26.45,25.65,25.88,24.94,23.58,21.26,19.43
1922,19.62,22.12,23.41,25.89,27.13,26.42,25.95,25.82,25.47,24.06,21.31,18.96
1923,19.69,20.54,24.26,25.57,25.92,25.96,25.67,25.36,25.58,24.30,22.67,19.86
1924,19.91,21.17,23.69,25.62,26.91,26.23,25.52,25.70,25.73,23.86,22.18,19.25
1925,18.27,19.72,23.55,24.36,26.28,26.31,26.15,26.04,25.50,23.59,22.29,18.91
1926,19.74,20.88,23.31,26.04,26.89,26.17,26.10,25.73,25.95,23.67,22.08,19.70
1927,19.44,20.67,23.09,24.99,26.04,26.49,26.18,25.95,25.15,23.96,22.27,20.30
1928,20.74,20.65,24.17,26.04,26.45,25.84,26.17,25.82,25.72,22.95,21.20,20.36
1929,20.18,21.12,23.35,25.15,26.78,26.56,25.95,25.85,25.52,24.35,21.39,20.36
1930,17.99,21.21,22.71,26.42,26.37,26.56,26.27,25.66,25.33,23.91,22.22,20.10
1931,19.78,21.70,24.15,27.10,27.36,27.23,26.16,26.15,25.20,23.44,21.63,19.89
1932,18.85,19.97,23.10,26.00,27.59,26.73,25.96,26.22,25.14,23.75,22.65,18.79
1933,18.51,21.51,23.71,26.46,26.53,26.59,25.98,25.98,25.71,24.15,21.39,19.98
1934,18.16,20.84,23.37,25.44,27.02,26.36,25.91,25.93,25.83,23.44,21.74,18.87
1935,19.64,21.57,24.32,26.01,26.80,26.42,26.03,25.69,25.16,24.83,22.69,19.42
1936,18.09,20.65,22.43,26.07,26.41,26.23,25.91,25.69,25.02,23.10,22.29,20.44
1937,19.37,21.46,24.19,26.45,25.92,26.07,25.68,25.45,25.29,24.16,22.23,20.23
1938,19.55,20.90,23.00,25.61,25.45,25.77,25.05,25.54,25.21,23.81,20.75,19.72
1939,19.09,21.12,23.47,24.93,25.99,25.77,25.60,25.41,24.84,23.99,22.50,16.60
1940,17.28,20.88,22.96,26.04,26.35,26.32,25.93,25.46,25.58,24.60,22.17,20.13
1941,21.55,22.02,24.39,26.42,26.64,26.40,26.44,25.79,25.45,24.07,22.16,20.58
1942,19.66,21.76,24.52,25.89,26.37,26.31,25.81,25.39,25.49,24.33,22.43,19.50
1943,18.70,20.64,24.01,25.39,26.62,26.26,25.87,25.39,25.35,24.41,21.73,19.28
1944,19.95,21.39,24.03,26.14,25.70,25.99,25.96,25.42,25.40,23.99,21.83,18.01
1945,19.11,20.43,23.31,25.71,25.84,26.38,26.11,25.70,25.51,23.50,22.56,19.49
1946,19.30,21.39,24.44,25.93,26.01,26.66,25.98,25.83,25.49,23.79,22.27,20.96
1947,21.44,21.17,23.56,24.86,27.00,26.23,25.87,25.90,25.59,23.93,21.61,19.42
1948,18.98,21.75,23.87,25.09,25.87,26.43,25.60,25.78,25.37,23.82,20.47,20.43
1949,18.23,21.07,23.88,25.15,26.24,26.62,25.89,25.66,25.60,24.30,22.03,20.05
1950,19.48,20.25,23.67,25.37,26.28,25.85,25.76,25.68,25.20,23.91,21.98,18.03
1951,18.46,20.93,23.05,25.78,26.08,25.43,25.60,25.64,25.28,23.93,22.16,19.40
1952,19.42,21.96,23.52,25.50,27.01,26.14,25.71,25.25,24.95,23.96,22.27,17.91
1953,19.40,20.67,23.51,25.20,25.87,25.95,25.98,25.74,24.98,24.71,22.06,19.41
1954,20.40,21.01,22.17,26.24,26.15,26.19,26.24,25.52,24.97,23.42,21.28,18.22
1955,16.93,21.22,23.49,24.81,26.37,25.43,25.66,25.15,25.37,23.62,20.23,17.94
1956,17.28,21.33,23.83,25.46,25.38,25.72,25.47,25.12,25.01,23.49,20.31,18.35
1957,19.17,19.58,22.78,25.51,27.19,25.91,25.82,25.72,25.20,23.47,22.14,20.15
1958,19.27,19.88,24.79,26.69,27.71,26.48,25.81,25.50,25.11,23.65,20.67,18.35
1959,18.55,21.36,22.37,26.25,26.30,26.77,25.58,25.53,24.79,23.78,22.29,21.08
1960,19.43,20.60,24.49,26.36,26.65,26.53,25.70,25.81,25.16,23.73,22.54,18.76
1961,18.38,20.46,23.45,25.88,25.98,26.11,25.95,25.56,24.96,23.93,22.11,19.73
1962,17.32,20.06,23.07,25.80,26.35,25.97,25.88,25.44,24.99,23.84,21.39,18.98
1963,16.16,19.80,22.80,25.30,27.46,26.09,25.30,25.56,25.59,23.71,22.62,19.13
1964,19.19,20.15,23.30,26.12,25.68,26.10,25.79,25.65,25.26,24.35,20.62,18.10
1965,17.95,21.45,22.79,25.55,26.29,25.48,25.89,25.53,24.89,24.18,22.08,20.58
1966,20.59,22.13,24.32,26.45,25.74,25.94,26.00,25.37,24.65,24.22,22.23,20.95
1967,18.25,19.75,23.15,25.07,26.46,26.46,26.16,25.79,24.84,23.26,21.80,18.19
1968,18.96,19.12,23.44,24.34,26.05,25.93,26.13,25.79,25.39,23.86,22.81,21.28
1969,20.68,21.07,24.08,26.14,27.27,26.31,25.64,25.48,25.13,24.30,20.85,18.36
1970,19.14,21.20,23.79,24.88,26.22,25.73,25.66,25.21,25.14,23.46,21.28,20.23
1971,17.58,19.85,22.78,25.50,25.95,25.72,25.28,25.01,25.40,22.86,19.92,19.19
1972,18.02,20.82,22.74,24.24,27.40,26.25,26.15,25.51,25.33,24.73,22.63,20.15
1973,19.21,22.56,24.34,26.88,26.71,26.68,26.04,25.60,25.27,23.82,20.80,17.93
1974,18.25,19.52,22.27,24.72,25.96,25.97,25.85,25.36,25.46,24.22,21.93,19.21
1975,19.46,21.41,24.25,26.49,26.24,26.19,25.76,25.46,25.36,24.20,21.18,16.96
1976,18.44,21.72,23.00,25.45,25.62,26.23,25.86,25.16,25.26,24.30,20.03,19.28
1977,18.97,19.06,22.95,25.25,26.29,27.14,26.13,25.92,24.95,24.31,21.13,20.10
1978,19.69,20.76,24.38,26.05,26.23,26.62,25.83,25.71,24.89,23.80,21.76,20.04
1979,21.03,22.57,25.04,26.41,26.81,26.21,26.80,25.96,25.59,23.47,21.01,19.91
1980,19.65,21.06,24.90,26.84,27.02,26.17,26.29,25.69,24.95,24.32,22.49,19.81
1981,18.61,21.57,23.98,25.34,25.53,25.58,25.31,25.71,25.51,24.04,21.86,17.95
1982,18.79,21.05,24.24,24.41,26.46,25.91,25.83,25.27,24.75,24.30,22.60,17.43
1983,17.84,21.18,23.19,27.12,27.26,26.65,26.57,25.60,25.48,24.08,20.58,18.07
1984,17.99,21.31,23.44,26.32,25.73,25.74,25.49,25.42,24.77,23.18,21.95,19.64
1985,19.53,21.57,22.90,25.08,25.83,25.64,25.22,25.47,24.76,23.78,22.23,19.09
1986,18.33,21.00,22.81,25.55,25.64,26.37,25.56,25.74,25.21,23.79,21.57,19.75
1987,19.97,21.91,24.02,26.14,27.62,26.99,26.80,26.30,25.62,25.08,22.81,17.60
