Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,4.49,8.79,11.36,13.00,14.42,19.20,21.55,21.79,19.55,16.71,11.38,8.06
1902,5.13,8.58,7.42,11.75,15.92,18.11,21.11,21.41,21.23,17.41,10.62,5.90
1903,3.89,4.32,6.24,12.12,16.14,17.73,19.69,20.92,18.38,15.33,9.92,6.96
1904,5.14,6.69,8.10,10.79,14.65,18.10,20.55,21.41,19.45,18.02,10.90,5.03
1905,3.27,3.21,6.50,12.17,16.20,18.50,21.91,22.16,20.74,18.17,13.14,5.41
1906,4.60,5.88,8.09,11.79,14.72,19.42,21.33,21.77,19.39,16.91,11.77,8.23
1907,4.72,5.62,6.04,11.18,15.49,18.64,21.61,21.81,18.80,16.27,9.83,6.61
1908,4.90,5.03,7.62,11.57,16.64,19.36,20.76,21.54,19.65,16.28,9.98,4.72
1909,4.69,5.65,9.88,10.22,18.79,19.42,22.55,22.58,20.41,17.05,12.65,8.49
1910,5.06,6.92,5.62,12.67,15.86,18.68,21.55,22.32,19.90,15.63,11.01,5.23
1911,3.60,3.23,6.16,11.28,15.76,18.69,21.35,21.86,19.35,17.01,11.93,6.92
1912,4.67,7.19,8.52,11.81,14.30,19.22,20.77,21.80,19.82,17.00,11.49,5.96
1913,5.08,4.94,7.49,11.58,15.34,18.50,21.32,22.00,20.76,17.56,11.02,6.04
1914,5.36,6.28,9.70,10.32,16.36,19.40,21.71,22.60,20.47,16.42,11.36,7.04
1915,7.20,7.17,9.29,11.81,15.72,20.11,22.25,22.51,20.51,17.72,11.84,8.40
1916,5.12,6.82,9.95,12.62,17.81,21.74,23.29,21.99,20.19,16.29,13.60,8.81
1917,6.94,6.54,10.01,13.58,15.27,18.82,21.57,22.31,20.30,16.63,13.60,6.62
1918,5.12,5.87,8.26,11.81,15.75,18.86,21.78,21.98,21.42,19.68,13.54,6.85
1919,7.42,8.08,10.24,11.98,14.41,18.09,21.68,21.47,21.36,18.95,13.77,6.75
1920,6.13,3.45,8.39,12.97,16.65,20.05,22.27,23.07,20.53,16.83,10.28,5.63
1921,5.02,5.03,7.24,11.52,15.81,18.52,21.90,23.06,19.65,16.07,11.60,6.15
1922,5.69,6.06,9.24,12.32,16.37,19.04,22.70,23.00,21.06,18.49,13.10,6.07
1923,6.05,6.24,8.86,11.61,16.80,21.26,21.74,21.42,21.39,17.25,13.78,8.67
1924,5.81,6.71,9.34,13.20,15.77,20.65,22.58,22.64,21.35,16.29,11.57,6.61
1925,3.00,5.98,11.44,11.29,16.74,19.02,22.06,22.67,21.41,17.90,13.42,8.98
1926,6.17,6.51,8.04,13.54,17.90,21.13,21.64,21.01,18.99,17.79,13.10,8.08
1927,6.37,3.16,9.85,11.78,18.00,20.30,22.69,22.58,21.62,19.59,13.37,7.49
1928,6.00,4.48,6.67,15.43,18.52,20.14,22.86,23.39,21.34,16.53,12.96,7.39
1929,4.38,4.38,6.32,12.33,18.82,19.65,21.51,23.74,20.91,16.96,13.78,7.04
1930,6.03,6.80,10.03,13.55,16.41,19.99,22.41,23.41,20.95,17.23,12.41,9.36
1931,6.72,6.85,9.58,12.54,16.70,19.34,22.54,23.46,21.84,17.68,10.36,5.86
1932,4.47,5.74,9.05,12.51,16.14,20.79,22.51,23.30,21.15,20.20,12.04,5.60
1933,3.91,6.70,7.71,10.08,15.99,19.21,21.02,21.85,19.12,16.11,14.59,6.63
1934,4.66,4.38,10.19,13.68,16.82,20.02,22.19,22.53,20.15,17.47,13.11,7.15
1935,5.85,6.73,9.13,12.58,19.16,21.59,22.05,23.13,21.32,17.87,10.28,8.68
1936,7.57,7.56,9.84,13.74,16.02,18.64,22.32,23.19,19.31,18.85,13.08,4.90
1937,2.68,7.19,11.31,14.18,16.60,19.71,22.63,22.58,22.35,18.10,13.42,8.65
1938,5.68,5.13,6.27,12.93,16.10,20.17,23.25,23.36,20.44,17.51,11.11,8.35
1939,7.05,6.28,7.87,13.54,19.04,19.39,22.51,22.08,21.26,19.51,11.38,8.30
1940,5.71,7.91,8.08,13.60,16.13,20.19,22.53,22.10,20.49,18.21,12.47,8.17
1941,7.38,9.32,8.66,13.73,18.65,20.54,22.40,22.53,19.89,15.38,12.35,4.20
1942,3.97,7.33,8.64,13.45,17.86,21.94,22.31,22.21,20.02,16.87,12.18,6.67
1943,5.34,4.29,5.43,10.58,15.88,18.62,21.63,22.92,21.37,19.31,14.57,8.61
1944,4.88,7.05,9.51,13.40,15.38,20.51,21.94,21.87,20.94,17.96,11.81,7.30
1945,5.56,4.36,5.88,11.07,18.37,19.52,22.71,23.55,21.22,16.32,12.27,6.54
