Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-4.19,-6.89,-0.19,5.71,10.20,13.91,15.20,14.11,12.10,6.61,0.00,-1.19
1902,-0.80,-1.99,1.41,7.41,5.91,12.10,15.21,14.01,11.21,5.81,1.00,-2.59
1903,-2.79,0.40,3.01,2.21,9.70,12.10,13.80,14.31,11.70,7.70,2.20,-2.79
1904,-2.99,-1.09,1.51,7.10,10.71,14.01,17.30,15.31,9.71,6.70,0.80,-0.99
1905,-4.79,-2.10,2.11,4.91,8.40,13.80,17.20,14.40,11.91,3.30,1.60,-1.59
1906,-2.29,-2.99,0.21,5.00,9.71,12.11,15.01,15.11,10.41,8.70,3.50,-4.29
1907,-3.60,-4.49,-0.39,3.51,10.70,12.91,12.91,14.91,12.31,8.50,2.71,-0.29
1908,-4.19,-1.99,-0.09,3.01,11.50,14.90,14.50,12.81,10.31,6.81,0.40,-2.09
1909,-4.69,-4.79,-0.50,6.71,8.91,11.50,12.71,14.01,10.71,8.10,0.11,-0.29
1910,-1.69,-0.79,1.61,4.71,8.40,13.31,12.81,13.71,9.41,7.51,0.80,0.81
1911,-5.09,-1.90,1.71,4.71,9.80,12.40,17.40,17.21,13.30,7.00,3.60,0.61
1912,-1.69,1.40,3.71,4.31,10.31,13.11,14.20,11.51,8.10,5.10,-0.50,-0.30
1913,-1.79,-2.00,3.50,5.10,9.41,12.51,11.81,13.01,10.71,8.30,4.60,-1.09
1914,-5.89,0.40,2.31,7.50,8.11,11.61,13.40,14.60,10.71,6.10,1.30,0.61
1915,-2.59,-1.80,0.11,4.51,11.80,14.90,14.01,13.11,9.70,4.31,-0.49,2.21
1916,0.70,-0.79,2.20,5.61,10.61,10.61,13.81,13.81,9.50,6.50,2.50,-0.39
1917,-4.59,-4.49,-0.89,1.91,12.60,15.30,14.70,13.90,13.60,4.91,1.90,-5.19
1918,-1.80,-0.90,1.90,5.90,11.10,10.61,14.51,13.91,12.01,5.10,1.50,0.90
1919,-1.79,-2.69,1.31,2.71,9.01,13.41,11.81,15.71,13.60,3.51,-0.10,-1.19
1920,0.41,0.41,3.71,6.30,12.50,12.51,14.70,12.71,11.51,6.50,1.00,-1.29
1921,1.21,-1.39,3.20,4.41,11.30,12.81,17.20,14.80,12.80,9.40,-0.69,-1.29
1922,-3.59,-2.49,2.21,3.81,11.61,13.60,13.60,14.21,9.20,4.51,0.10,-1.39
1923,-2.49,0.21,2.31,5.11,10.10,9.61,16.90,15.31,11.30,8.80,1.91,-2.59
