Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.40,26.05,26.20,27.16,27.54,27.46,27.09,27.19,27.29,26.71,25.38,24.90
1902,24.48,24.94,26.53,27.53,27.95,28.05,27.06,27.30,26.67,25.82,25.57,25.33
1903,25.28,26.04,26.35,27.49,27.13,27.53,27.12,26.80,26.60,26.38,25.37,24.57
1904,24.06,24.52,25.75,27.44,27.10,26.67,26.53,26.93,26.97,26.31,25.67,24.57
1905,24.28,25.41,26.96,26.74,27.07,27.64,27.94,27.30,27.14,26.21,25.79,24.97
1906,25.09,26.26,26.47,28.17,27.97,27.45,27.27,26.45,26.97,26.11,25.29,24.83
1907,24.47,25.07,26.50,26.71,27.70,27.35,27.08,26.59,27.19,26.19,25.25,24.73
1908,24.61,24.86,26.01,27.84,27.46,27.47,26.94,26.80,26.48,26.20,25.02,24.55
1909,24.41,25.26,26.14,27.21,27.11,27.18,26.69,26.22,26.29,26.48,25.81,25.15
1910,24.81,25.25,26.13,27.22,27.96,27.35,27.04,26.60,26.49,26.21,25.02,24.30
1911,24.67,25.02,26.70,27.63,27.74,27.40,27.28,27.40,27.39,26.31,25.96,25.18
1912,24.09,26.08,27.30,27.58,27.97,27.55,27.48,27.29,27.10,26.31,25.61,24.57
1913,24.09,25.66,26.73,27.54,27.72,27.82,27.03,27.25,27.20,26.16,25.39,25.05
1914,24.76,25.46,26.82,27.39,27.84,27.85,27.33,26.79,27.07,26.11,25.80,25.27
1915,24.98,25.83,26.70,27.37,28.16,27.87,26.92,27.59,26.91,26.81,25.95,25.04
1916,24.51,25.54,26.66,27.79,27.46,26.95,26.74,26.90,26.59,26.39,25.72,24.49
1917,24.28,24.96,25.80,27.21,27.18,26.62,27.34,26.80,26.32,26.01,25.68,24.48
1918,24.11,24.07,25.63,26.76,26.58,27.01,27.63,27.18,27.00,26.70,26.19,25.22
1919,25.69,26.41,26.53,27.77,27.73,27.32,26.90,26.87,26.59,26.51,25.84,25.32
1920,24.78,26.18,26.87,27.27,28.05,27.43,27.54,27.19,27.31,26.92,25.79,25.00
1921,24.97,24.88,26.63,26.97,28.30,27.85,26.96,26.80,26.97,26.04,25.35,24.82
1922,24.69,24.98,26.54,27.21,27.33,27.37,27.09,27.00,26.97,25.92,25.45,24.22
1923,24.18,24.88,26.24,27.45,27.47,27.18,26.61,26.73,26.54,26.03,25.74,24.76
1924,24.68,25.67,26.43,27.46,27.85,27.18,26.94,26.95,26.39,26.27,25.69,24.72
1925,24.02,24.95,25.93,27.46,27.23,27.35,27.04,26.70,26.90,26.21,25.29,24.82
1926,24.80,25.52,27.03,27.82,27.52,27.59,27.11,27.12,26.89,26.53,25.33,25.08
1927,24.85,25.51,26.49,27.24,27.13,26.91,27.04,27.03,26.69,26.33,25.56,25.26
1928,25.11,25.61,26.44,27.32,28.16,27.76,26.93,26.70,27.51,26.21,25.60,25.12
1929,24.60,25.30,26.38,26.54,27.44,27.07,27.34,26.82,26.82,26.25,25.39,24.75
1930,24.65,25.67,26.43,27.09,26.76,26.87,27.64,26.93,26.76,25.72,25.72,25.14
1931,24.86,25.78,26.99,27.47,27.93,27.61,27.05,26.99,26.69,26.82,25.40,24.76
1932,24.65,24.96,26.11,27.06,26.90,27.44,27.28,26.65,26.68,25.92,25.37,24.54
1933,24.79,25.26,26.21,27.02,26.56,26.86,26.94,26.40,26.47,25.71,25.31,24.69
1934,24.32,24.57,25.66,27.06,27.62,27.16,27.34,27.03,27.30,26.07,25.19,24.69
1935,24.69,25.14,26.45,27.33,28.08,27.37,27.12,26.70,26.66,26.21,25.29,24.79
1936,24.68,25.87,26.44,27.85,27.46,26.95,27.43,27.00,26.82,26.31,25.51,25.12
1937,24.79,25.87,26.48,26.96,27.96,27.85,27.23,27.52,27.29,26.30,25.49,24.53
1938,25.28,25.75,26.73,26.93,28.16,27.49,27.05,26.74,26.91,26.36,25.47,24.93
1939,24.32,24.87,26.33,26.82,27.52,27.40,27.05,27.02,27.27,26.55,25.29,25.02
1940,24.14,25.40,27.07,27.23,27.48,27.63,27.52,27.25,27.58,26.53,25.59,25.24
