Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-5.72,-6.65,-1.27,5.84,12.48,17.08,19.22,18.33,12.70,8.54,0.55,-3.17
1902,-1.48,-6.04,-0.89,2.61,9.35,14.22,14.73,14.41,10.95,4.84,-1.23,-7.47
1903,-3.57,-0.53,3.33,6.29,12.44,16.50,16.94,15.01,13.18,4.91,1.87,-3.09
1904,-4.31,-3.23,-2.43,5.70,9.25,13.32,15.22,15.38,11.18,6.90,0.46,-1.95
1905,-6.89,-2.66,0.21,4.19,12.60,18.05,17.15,16.37,11.74,4.45,2.06,-2.36
1906,-3.43,-3.08,-0.61,7.83,15.64,15.50,17.84,15.58,11.03,6.34,3.93,-4.71
1907,-7.05,-5.75,-1.54,4.19,11.72,14.78,15.95,14.21,11.75,10.70,-0.10,-7.18
1908,-3.79,-2.53,-1.67,4.80,10.72,14.83,17.44,15.70,11.49,6.16,-1.76,-4.33
1909,-5.15,-8.25,-1.53,3.12,8.28,14.65,15.39,16.13,13.81,9.71,-0.67,-0.90
1910,-2.49,-0.71,1.39,7.42,13.78,17.06,16.63,15.31,12.54,5.73,0.30,-0.15
1911,-3.10,-6.61,-0.27,5.77,13.36,14.12,15.89,17.85,12.89,7.14,2.89,-2.08
1912,-9.75,-6.09,2.05,4.45,9.63,16.34,17.89,16.74,9.75,3.52,0.60,0.57
1913,-5.44,-2.62,2.18,7.77,11.19,14.37,16.78,17.05,12.54,6.50,4.13,-1.04
1914,-4.99,-0.14,1.07,6.92,12.35,16.47,19.85,15.76,11.16,4.72,-0.35,0.50
1915,-4.46,-3.41,-4.55,5.81,10.99,14.74,17.41,15.64,11.43,4.50,0.15,-4.37
1916,-3.04,-3.17,-0.94,7.18,11.03,13.75,16.72,14.59,11.33,5.82,2.67,-2.22
1917,-7.25,-8.51,-6.02,3.88,10.50,17.90,16.37,18.16,12.84,7.65,2.96,-3.83
1918,-4.46,-3.90,-1.14,8.94,11.24,12.94,17.04,15.80,12.24,8.74,1.69,-3.06
1919,-4.02,-4.58,-1.64,5.84,10.83,14.77,17.14,14.62,13.99,5.68,-3.15,-4.30
1920,-5.38,-2.16,2.22,9.87,13.72,14.12,18.32,16.45,12.63,4.75,0.96,-4.03
1921,-2.07,-4.79,3.42,8.76,14.66,15.29,16.52,16.87,11.19,7.26,-2.30,-4.34
1922,-7.99,-6.02,-0.85,4.98,11.60,14.73,16.99,15.52,11.22,3.98,0.03,-2.08
1923,-1.94,-7.89,0.18,3.67,10.99,11.61,16.86,14.48,12.70,8.58,2.83,-3.79
1924,-9.43,-7.12,-3.00,3.20,12.51,15.46,16.00,16.62,13.65,8.04,2.06,-2.08
1925,0.02,0.92,-0.69,7.41,14.09,13.44,18.63,16.33,11.50,5.45,-0.10,-3.69
1926,-6.34,-3.88,-1.21,6.33,12.29,15.94,18.27,15.15,12.18,4.99,5.06,-3.92
1927,-5.85,-4.64,1.84,4.90,8.59,14.53,19.53,17.88,12.95,6.80,-0.49,-7.41
1928,-3.62,-4.55,-2.10,5.20,10.93,11.44,15.69,14.71,11.80,6.94,4.96,-3.98
1929,-8.63,-13.31,-3.22,1.06,13.23,12.78,16.03,16.82,12.20,9.07,3.46,0.32
1930,-1.14,-3.84,0.78,8.09,12.26,16.12,16.74,16.46,10.87,8.10,3.01,-4.46
1931,-5.11,-6.95,-4.11,3.61,14.63,13.88,17.56,16.18,9.94,5.78,0.61,-2.13
1932,-1.34,-7.76,-4.77,5.56,13.81,14.00,20.00,17.68,13.89,7.21,2.12,0.31
1933,-8.14,-4.68,0.09,3.92,10.34,14.70,17.85,15.40,11.78,6.95,-0.53,-7.03
1934,-3.42,-1.44,1.32,8.46,13.94,15.35,17.42,17.73,15.08,9.46,4.31,-3.51
1935,-7.36,-2.61,-0.62,6.33,9.43,16.93,15.66,16.24,12.66,8.90,1.32,-1.51
1936,-1.24,-6.86,1.75,6.49,13.31,17.47,19.91,16.65,11.49,4.43,2.42,0.27
1937,-8.14,-3.69,-0.04,7.82,15.30,17.18,17.36,18.67,14.49,8.09,2.27,-5.96
1938,-3.71,-1.53,3.28,4.95,11.04,15.12,18.62,19.58,14.33,8.73,4.74,-5.81
1939,-2.94,0.36,-0.80,6.53,10.84,16.52,18.88,20.13,12.19,3.80,2.20,-4.26
1940,-13.10,-13.33,-4.78,4.31,12.87,16.31,17.95,15.13,11.56,5.46,3.40,-4.79
1941,-12.21,-6.08,-2.13,3.03,8.86,13.67,19.07,16.23,10.35,4.21,-3.01,-3.87
1942,-14.37,-10.66,-8.04,4.15,10.18,13.13,16.03,17.80,13.47,8.33,-0.05,-1.46
1943,-8.44,-0.10,2.01,7.27,10.93,15.74,15.86,16.75,13.11,8.66,1.66,-0.66
1944,-1.04,-2.68,-0.82,4.19,10.82,14.06,18.81,18.29,12.55,7.76,1.92,-2.66
1945,-6.52,-2.55,-0.47,5.89,10.47,14.16,18.06,17.34,11.74,6.02,1.24,-4.40
1946,-4.61,-4.56,-1.22,7.06,12.15,15.62,18.20,17.11,13.17,3.89,-0.64,-4.07
1947,-8.91,-12.84,-3.17,5.61,12.36,16.75,18.03,16.51,13.89,5.62,1.39,-1.34
1948,-3.12,-6.00,-0.31,8.04,13.94,15.62,16.83,16.77,12.89,6.80,1.68,-1.23
1949,-1.39,-1.31,-1.15,6.87,14.18,14.60,16.87,15.39,14.45,8.13,3.63,0.76
1950,-11.20,-2.03,0.52,8.72,12.72,15.21,16.03,16.37,13.08,6.66,1.83,-1.13
1951,-5.73,-4.58,-2.84,7.17,9.68,15.61,16.62,18.81,13.59,5.25,2.31,0.79
1952,-1.52,-3.90,-7.35,7.70,9.71,13.84,16.84,16.87,10.41,5.77,0.19,-2.80
1953,-4.66,-6.53,0.18,7.22,11.54,17.35,18.20,16.21,12.17,8.22,0.92,-3.33
1954,-8.68,-12.01,0.29,3.53,13.57,17.05,16.86,16.48,13.26,7.26,0.96,-0.05
1955,-4.50,-5.11,-3.48,2.31,9.25,13.55,18.07,18.70,14.47,7.94,1.63,-4.04
