Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-5.01,-7.18,-2.48,4.89,11.33,16.60,19.05,18.10,12.42,8.37,-0.21,-4.51
1902,-2.78,-5.98,-1.94,1.57,8.53,13.41,14.35,13.92,10.41,4.33,-1.33,-7.71
1903,-3.90,-1.14,2.50,5.68,11.55,16.01,16.57,14.62,12.63,4.01,1.67,-3.06
1904,-3.74,-4.26,-3.35,4.87,8.34,12.52,14.60,14.85,10.92,6.74,0.04,-2.83
1905,-7.16,-3.06,-0.50,3.43,11.63,17.32,16.83,15.71,11.13,4.37,1.51,-2.59
1906,-3.46,-3.22,-1.67,6.71,14.76,15.03,17.60,15.06,10.38,6.00,3.17,-4.64
1907,-7.84,-5.80,-1.97,3.52,9.98,14.15,15.79,13.68,11.10,9.97,-0.13,-8.55
1908,-4.38,-3.21,-2.67,4.10,9.51,14.05,16.80,15.52,10.94,5.95,-2.02,-4.19
1909,-4.77,-8.73,-2.33,2.05,7.16,13.99,15.07,15.54,13.13,9.49,-1.17,-1.31
1910,-2.90,-1.12,0.92,6.69,12.74,16.06,16.39,14.72,12.26,5.39,-0.13,-0.54
1911,-3.48,-7.42,-1.23,4.68,12.23,13.42,15.43,17.40,12.22,6.49,2.72,-2.33
1912,-9.85,-7.24,1.22,3.46,8.69,15.61,17.55,16.76,9.57,3.10,0.37,0.13
1913,-5.65,-3.24,1.17,7.07,10.22,13.85,16.96,16.93,12.17,5.98,3.73,-2.23
1914,-5.54,-0.43,-0.08,5.85,11.44,15.89,20.19,15.09,10.92,4.16,-0.47,0.22
1915,-5.09,-4.03,-5.67,4.58,9.77,13.52,17.19,15.28,10.93,3.93,-0.48,-6.93
1916,-3.76,-3.47,-2.38,6.03,9.83,12.98,16.83,13.86,10.47,4.92,2.51,-2.81
1917,-7.92,-9.31,-7.32,3.09,9.10,17.15,15.95,17.97,12.21,7.41,2.36,-3.86
1918,-5.81,-4.56,-2.06,7.29,10.02,12.26,16.89,15.06,11.54,8.38,1.92,-3.42
1919,-4.05,-5.54,-3.04,4.57,10.49,14.32,17.42,14.23,13.19,5.39,-3.71,-5.15
