Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,4.40,0.80,5.70,10.50,13.60,18.40,19.80,19.60,17.30,13.10,7.30,6.20
1902,6.10,5.50,8.10,11.90,10.30,16.00,20.10,19.50,16.90,12.50,8.00,6.00
1903,5.30,6.70,8.50,7.50,13.30,15.70,18.80,19.90,17.40,14.10,9.10,6.20
1904,5.50,6.20,7.30,11.60,14.90,18.40,22.10,20.90,15.60,13.30,7.80,6.80
1905,3.20,4.70,8.00,10.30,12.10,17.50,22.00,20.00,17.50,10.20,8.40,6.40
1906,5.50,4.20,6.50,9.40,13.60,17.30,19.90,20.90,16.60,14.70,10.00,4.30
1907,3.90,3.20,6.40,8.60,13.80,17.10,18.20,20.60,17.90,14.50,10.00,8.20
1908,4.50,5.60,6.10,8.10,15.20,18.40,19.30,18.80,16.20,13.70,8.00,6.20
1909,3.90,2.60,5.30,11.30,13.40,15.40,17.90,19.70,16.20,14.50,7.60,8.00
1910,6.00,6.30,7.70,9.30,12.10,17.30,17.90,19.30,15.50,13.90,7.80,8.40
1911,3.80,5.20,7.40,9.30,13.70,16.70,21.90,22.60,18.90,13.30,10.70,8.40
1912,6.70,8.00,9.60,9.00,14.30,17.00,19.10,17.40,14.10,11.90,6.50,6.90
1913,6.70,5.10,8.70,9.50,13.40,17.30,17.20,19.00,16.50,14.30,11.10,6.20
1914,2.60,7.10,8.00,11.80,12.30,15.90,18.40,19.50,16.60,12.50,8.50,8.00
1915,5.10,4.80,6.60,9.20,15.40,18.50,19.10,18.90,15.50,11.30,7.10,9.40
1916,7.30,6.00,7.50,10.40,14.40,15.60,19.00,19.70,15.30,12.90,9.50,7.50
1917,3.90,3.20,5.20,7.60,15.50,18.90,19.60,19.40,18.90,11.60,8.40,3.90
1918,5.50,5.80,7.20,9.40,14.60,15.30,19.60,19.70,18.20,11.60,8.90,8.00
1919,6.20,5.00,7.30,8.30,13.40,17.80,17.50,21.30,18.70,10.50,6.80,7.00
1920,8.00,7.70,9.40,10.60,16.60,17.00,19.70,18.60,17.40,13.20,8.10,6.80
1921,8.30,5.50,8.30,9.20,14.60,17.70,21.80,20.30,18.50,15.90,7.40,6.20
1922,4.80,5.10,8.20,8.60,15.70,17.80,18.60,20.10,15.20,11.90,7.30,6.40
1923,5.30,7.10,8.20,10.00,13.60,14.30,21.80,21.50,17.00,15.40,9.40,6.40
1924,4.80,3.70,7.40,10.40,15.30,17.30,20.10,17.50,17.50,13.60,9.40,7.10
1925,6.90,7.10,5.10,9.90,13.50,18.20,19.20,19.70,15.60,14.00,8.10,5.80
1926,5.00,8.80,8.20,11.20,11.90,15.60,19.50,20.30,19.60,14.50,11.50,5.40
1927,6.20,5.00,8.40,11.00,14.60,17.70,20.00,19.90,17.40,13.30,9.90,6.50
1928,6.80,7.10,7.70,10.20,11.80,17.50,23.00,21.90,17.50,13.40,10.20,5.90
1929,2.20,1.10,7.20,8.50,14.20,18.30,20.70,20.10,19.90,14.10,9.70,8.60
1930,7.30,5.10,8.40,10.40,12.50,19.20,18.90,19.70,18.10,13.50,11.10,7.00
1931,5.70,4.30,6.10,9.10,15.00,19.50,19.50,19.10,13.90,12.90,10.30,4.90
1932,6.30,1.40,5.60,8.60,12.80,16.10,18.30,22.10,20.00,13.40,10.10,7.70
1933,4.10,5.00,8.20,10.60,13.00,15.00,20.50,21.60,18.30,13.90,8.00,2.60
1934,5.20,4.70,7.50,11.40,15.30,17.60,20.90,19.10,18.50,13.30,8.10,9.30
1935,3.60,6.00,7.00,9.50,11.80,18.90,21.20,19.50,18.10,13.60,10.40,6.10
1936,9.00,6.20,8.90,9.40,13.90,17.00,19.30,20.00,17.70,10.30,9.10,7.00
1937,6.70,8.00,6.80,10.30,15.00,18.30,20.60,20.50,17.20,13.70,9.00,5.60
1938,5.40,5.00,9.70,8.20,12.10,18.40,19.60,19.80,17.30,13.70,11.10,5.10
1939,7.20,6.10,5.50,11.00,11.00,17.30,19.10,20.00,16.70,12.90,10.80,5.60
1940,1.30,4.90,7.60,10.30,13.80,16.80,18.70,19.20,17.70,13.00,10.10,2.30
1941,3.10,5.50,8.00,8.90,10.80,17.50,20.70,19.00,16.60,12.60,8.40,5.60
1942,1.50,2.00,8.70,10.70,14.00,18.10,20.10,20.70,19.80,16.00,8.20,6.90
1943,5.90,7.10,9.20,12.10,15.00,17.50,20.60,22.40,18.90,15.70,8.20,7.20
1944,6.40,3.70,5.50,12.00,14.40,17.20,19.90,23.20,17.40,12.50,8.50,5.50
1945,0.90,7.10,9.60,12.60,16.20,19.60,22.40,20.20,18.60,14.10,8.30,7.20
1946,4.30,7.70,8.30,12.40,14.20,17.20,20.90,20.50,18.50,12.90,8.80,4.60
1947,2.30,3.50,8.00,12.40,15.60,19.40,22.00,22.70,19.60,14.10,10.50,6.30
1948,8.00,6.00,10.50,11.20,14.70,17.10,17.90,20.00,17.40,14.10,9.30,6.50
1949,6.20,5.50,6.10,12.90,12.70,17.50,21.10,21.40,20.50,15.60,8.80,7.60
1950,4.90,7.40,8.60,9.00,15.10,19.70,22.70,21.10,17.30,13.70,9.50,4.90
1951,6.80,6.60,6.80,10.20,12.50,17.40,19.90,20.00,18.90,13.00,10.70,6.50
1952,4.40,4.10,8.30,11.70,14.60,19.50,22.60,20.80,16.10,13.30,8.00,6.20
