Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-5.58,-2.67,4.51,10.26,17.03,22.41,22.32,21.33,15.58,10.66,2.48,2.71
1902,0.94,0.40,2.90,8.58,14.02,20.12,20.06,21.09,15.67,9.59,-1.09,-6.28
1903,-3.11,1.17,4.86,10.04,16.49,19.97,21.64,20.75,17.01,10.49,5.31,-0.62
1904,-5.37,1.58,1.33,9.21,14.94,19.23,21.44,20.89,15.15,10.89,2.11,0.33
1905,-6.10,-2.16,2.25,8.80,16.90,20.64,22.62,22.98,17.40,9.66,6.75,-1.19
1906,-2.27,-0.69,5.43,11.53,18.13,20.83,21.80,19.72,15.01,8.65,5.98,-0.81
1907,-5.54,-5.43,-0.48,7.53,19.34,20.07,21.14,20.66,16.01,12.90,1.09,-1.11
1908,-2.87,0.05,2.81,8.99,17.70,20.34,21.38,20.26,15.38,8.38,-1.01,-3.43
1909,-6.68,-6.40,2.61,9.17,15.68,19.52,22.08,22.47,19.46,12.63,4.00,1.79
1910,-1.03,2.27,3.77,10.86,17.05,20.81,21.31,20.36,16.50,8.89,4.90,1.57
1911,-3.04,-7.09,1.99,9.87,17.64,18.87,20.97,20.88,15.81,10.95,6.25,-0.62
1912,-6.49,-0.83,5.66,8.39,14.30,20.44,20.18,19.97,14.39,6.74,3.23,1.67
1913,-3.04,-2.58,6.22,11.46,15.04,18.37,19.80,20.37,16.91,9.98,5.45,1.55
1914,-4.69,0.84,5.91,11.19,16.23,19.76,22.01,19.90,14.31,8.69,0.64,0.47
1915,0.93,-0.23,1.76,10.45,15.84,20.70,22.42,19.16,14.54,9.30,3.14,2.50
1916,-0.46,0.16,5.46,10.99,15.80,19.76,21.39,19.79,15.25,10.76,5.26,1.50
1917,-2.26,-6.82,1.37,10.53,14.94,20.75,21.10,22.34,16.88,12.06,6.62,-2.15
1918,-0.22,-0.82,3.05,11.74,14.81,18.46,21.01,20.30,18.50,14.03,3.35,0.26
1919,-0.84,-1.80,3.69,11.35,12.53,18.34,20.75,19.51,18.85,10.50,2.39,-0.51
1920,-1.67,-4.11,4.79,14.05,18.09,18.73,23.66,21.96,16.24,5.75,-0.10,-1.90
1921,1.14,-4.07,5.49,11.04,18.33,18.99,21.82,22.29,14.50,9.61,1.12,-2.71
