Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,15.54,15.57,18.03,20.08,22.73,24.15,24.49,24.58,23.26,21.32,18.19,14.83
1902,14.56,15.46,18.10,21.92,23.97,25.36,24.22,24.50,23.46,21.20,18.43,15.46
1903,14.79,14.86,17.38,20.57,22.26,23.43,24.30,24.20,22.78,19.97,17.50,14.76
1904,14.11,17.05,19.84,21.36,22.71,24.32,23.83,23.78,22.89,20.38,17.08,15.26
1905,14.92,14.46,18.29,20.21,23.24,24.50,24.15,24.79,23.59,20.60,17.85,13.37
1906,14.35,15.57,17.61,20.64,23.09,25.20,24.15,23.43,23.29,20.03,17.26,16.04
1907,16.67,17.11,19.88,20.92,22.02,24.31,24.25,24.29,23.65,21.01,16.33,15.76
1908,15.47,15.91,19.61,21.49,23.20,25.07,24.03,24.01,22.90,19.80,17.21,15.51
1909,16.60,16.33,18.87,20.84,23.26,24.88,24.58,23.98,22.64,20.71,18.67,13.44
1910,15.04,14.92,18.89,20.66,23.41,24.58,24.42,24.72,23.64,20.32,17.78,15.28
1911,16.86,16.56,19.26,20.84,22.28,24.59,23.76,24.76,24.37,20.70,16.32,13.83
1912,14.70,14.88,17.24,20.50,23.35,23.63,24.14,24.56,23.33,20.65,16.44,13.89
1913,14.42,15.25,17.32,19.87,22.75,23.35,24.22,24.47,22.42,20.26,18.73,14.75
1914,16.46,15.82,17.22,20.69,22.94,24.28,24.49,24.41,23.46,20.87,17.68,13.51
1915,14.08,16.23,15.77,20.05,23.04,25.45,25.03,24.59,23.50,21.29,18.17,15.98
1916,17.03,17.51,20.01,20.85,23.69,25.71,24.34,23.73,22.89,20.51,16.47,15.02
1917,15.32,16.63,17.70,20.39,22.00,24.79,24.88,24.79,23.27,20.57,18.24,15.33
1918,13.84,16.83,18.91,20.90,22.61,25.04,24.72,24.30,22.93,21.46,16.50,14.55
1919,13.03,15.06,17.21,20.25,22.86,23.91,23.50,24.48,22.91,21.30,17.57,15.06
1920,14.16,16.84,17.32,20.72,23.12,23.67,24.73,24.04,23.81,20.53,16.73,14.78
1921,15.68,15.96,19.12,20.03,22.26,24.53,24.11,24.38,24.15,21.16,18.52,16.79
1922,14.41,16.79,17.30,21.16,23.71,24.43,24.61,24.83,23.44,20.66,16.86,16.64
1923,16.82,15.14,16.85,20.74,23.97,24.69,24.56,24.37,23.37,19.88,16.69,15.06
