Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-20.35,-17.29,-7.83,1.39,9.92,16.14,17.80,16.04,10.04,-0.80,-9.74,-22.66
1902,-19.78,-14.84,-8.08,0.29,8.32,15.14,16.90,15.00,10.13,0.86,-11.83,-18.59
1903,-20.45,-16.01,-9.17,1.30,9.33,14.81,18.17,15.24,9.13,-0.58,-11.56,-19.69
1904,-22.66,-18.35,-11.02,0.50,9.87,16.06,16.77,15.88,8.59,0.58,-8.57,-17.55
1905,-17.89,-18.91,-10.51,-0.06,9.23,14.84,18.32,16.23,8.92,0.70,-10.72,-18.76
1906,-22.02,-19.97,-7.86,3.56,8.85,15.52,16.59,16.68,9.34,0.46,-13.53,-16.40
1907,-19.97,-19.99,-9.41,2.30,10.32,15.37,16.24,15.89,9.83,0.81,-11.84,-18.69
1908,-21.72,-18.42,-10.89,1.20,10.61,15.82,18.24,16.01,9.23,0.62,-11.33,-17.04
1909,-21.83,-17.49,-12.26,0.54,9.38,15.23,17.98,16.90,8.54,-0.46,-9.78,-19.44
1910,-22.98,-16.93,-11.52,1.08,10.01,14.91,18.27,16.41,8.59,0.86,-12.49,-20.19
1911,-19.69,-17.11,-10.30,2.39,9.10,15.26,17.64,15.94,9.45,1.63,-9.31,-20.33
1912,-19.74,-15.61,-11.68,1.83,9.81,15.04,18.02,14.30,7.86,-0.82,-13.20,-20.88
1913,-21.38,-18.08,-8.84,0.78,9.69,15.95,17.12,14.97,8.84,1.60,-9.43,-17.83
1914,-16.79,-15.86,-10.56,2.63,9.96,15.18,17.25,16.21,9.67,1.13,-11.65,-18.62
1915,-23.35,-18.79,-10.03,0.59,10.07,15.49,18.27,15.49,8.64,-1.08,-10.43,-16.49
1916,-19.87,-17.46,-11.82,-0.13,9.75,14.66,17.98,16.07,9.52,1.16,-10.49,-21.72
1917,-21.91,-17.75,-8.63,1.98,10.65,16.21,17.39,15.37,9.12,0.19,-10.14,-20.84
1918,-19.52,-16.02,-7.96,1.38,9.89,15.55,17.73,15.96,9.60,0.82,-11.37,-20.94
1919,-24.92,-15.67,-9.69,0.92,9.61,15.41,18.49,16.13,9.66,1.36,-11.16,-18.21
1920,-19.48,-19.35,-7.98,2.85,10.28,14.97,18.29,15.82,8.29,1.93,-11.08,-20.65
1921,-18.71,-17.44,-9.06,0.91,9.40,14.95,19.20,16.82,9.81,1.38,-11.35,-18.35
1922,-24.50,-18.35,-9.18,2.16,9.07,15.92,19.15,16.01,8.36,1.27,-12.77,-18.29
1923,-21.50,-19.95,-8.82,1.64,9.68,15.09,18.20,16.40,9.67,0.68,-12.09,-17.33
1924,-20.00,-18.63,-10.77,1.07,10.86,15.21,18.64,16.13,9.52,0.15,-9.30,-17.55
1925,-18.72,-18.87,-10.74,1.95,9.48,15.42,17.32,16.11,10.01,2.83,-8.57,-17.55
1926,-19.62,-17.23,-6.84,2.84,9.52,16.09,18.51,16.52,10.09,0.86,-10.13,-20.93
1927,-20.63,-16.90,-10.93,1.30,10.01,15.29,17.97,15.06,10.48,0.85,-9.30,-18.99
1928,-20.44,-18.51,-10.70,2.35,9.34,16.10,17.66,16.51,9.13,1.13,-11.70,-20.89
1929,-22.95,-20.60,-7.73,2.87,9.78,15.20,16.99,15.35,9.54,0.94,-9.26,-22.47
1930,-22.14,-17.20,-8.62,0.38,9.55,15.16,17.95,15.98,8.62,1.63,-11.58,-19.62
1931,-22.21,-20.88,-9.45,0.55,7.87,15.54,17.69,16.32,9.48,2.07,-10.66,-18.72
1932,-17.07,-18.09,-9.62,2.39,8.99,14.74,18.79,14.82,10.79,2.72,-8.49,-16.56
1933,-23.32,-19.37,-10.87,1.64,9.39,15.20,17.22,16.09,8.64,0.07,-10.57,-17.37
1934,-22.34,-16.33,-11.24,0.15,10.38,15.04,17.38,14.90,8.31,0.77,-10.65,-17.20
1935,-20.52,-14.19,-7.55,0.25,8.62,15.38,17.70,16.45,10.24,2.03,-13.38,-23.46
1936,-23.44,-19.21,-11.60,-0.59,8.52,14.31,17.82,15.49,9.65,3.05,-10.20,-18.65
1937,-22.88,-17.11,-13.03,0.17,10.13,15.33,17.17,15.49,8.85,1.59,-11.17,-20.66
1938,-23.32,-17.20,-7.49,4.33,8.83,14.77,18.68,15.22,8.33,1.54,-8.56,-20.71
1939,-20.98,-16.24,-9.77,2.32,9.47,15.24,19.42,17.53,9.35,0.23,-11.15,-15.63
1940,-22.63,-18.16,-6.65,2.06,9.64,15.24,16.96,14.27,8.78,1.75,-10.19,-15.50
1941,-19.10,-18.44,-8.71,1.58,8.61,15.98,18.59,16.12,9.24,1.10,-9.92,-17.38
1942,-20.02,-21.34,-4.95,1.33,7.56,15.75,17.13,16.34,9.73,1.04,-9.07,-17.90
1943,-23.23,-17.51,-8.93,2.15,10.57,14.90,18.61,16.34,9.11,1.19,-10.82,-17.28
1944,-22.56,-18.60,-8.36,1.65,8.87,17.23,19.13,16.40,10.18,0.50,-14.12,-24.44
1945,-24.73,-24.46,-11.44,4.49,11.20,15.76,17.24,15.72,10.08,2.63,-8.50,-17.22
1946,-19.15,-13.45,-13.35,3.38,8.25,16.57,19.77,16.51,8.28,2.85,-8.96,-22.51
1947,-24.82,-20.18,-11.58,3.73,9.91,15.46,17.74,15.12,9.77,0.10,-14.02,-24.07
1948,-19.66,-18.41,-5.15,4.42,7.32,15.83,18.87,16.50,8.69,-0.06,-12.88,-16.04
1949,-18.87,-14.94,-10.65,2.87,9.62,15.09,18.21,15.82,9.06,2.34,-11.31,-23.13
1950,-19.66,-18.71,-7.54,-0.07,10.36,15.97,18.66,15.93,9.83,-0.33,-13.46,-18.38
1951,-22.57,-19.22,-10.79,-1.79,11.20,17.42,18.10,15.29,8.45,1.92,-9.57,-14.81
1952,-18.44,-20.75,-8.97,1.06,10.13,16.08,18.32,15.75,9.56,0.06,-14.78,-21.20
1953,-22.22,-19.74,-7.06,0.40,9.65,16.33,18.02,16.25,10.99,1.99,-11.58,-18.67
1954,-21.14,-17.76,-11.06,0.66,7.12,15.60,17.49,17.46,9.86,0.37,-9.89,-24.69
1955,-23.13,-17.26,-11.93,-0.11,9.49,15.08,17.79,17.33,9.26,0.40,-8.21,-14.84
1956,-21.69,-19.84,-10.35,1.40,9.10,14.58,17.27,15.91,9.72,0.76,-13.56,-22.46
1957,-23.11,-22.88,-10.77,1.88,7.81,15.82,16.05,14.88,7.79,1.18,-8.18,-16.08
1958,-20.80,-16.26,-9.57,1.26,10.00,15.51,17.73,15.98,9.82,0.66,-9.51,-14.13
1959,-20.66,-16.14,-6.96,2.75,9.21,14.37,17.42,15.81,10.03,2.42,-14.78,-20.54
1960,-21.35,-14.11,-8.51,1.29,7.87,14.78,17.91,16.08,9.64,0.56,-11.90,-19.85
1961,-20.33,-15.09,-7.90,4.67,8.93,14.64,17.25,14.66,9.23,-1.17,-8.99,-18.63
1962,-20.80,-16.24,-8.29,0.83,10.02,15.21,17.24,16.46,9.97,0.96,-12.77,-13.67
1963,-18.42,-14.67,-3.87,-0.92,10.54,15.27,17.36,16.88,8.94,0.29,-8.23,-15.86
1964,-19.65,-24.61,-8.93,2.57,10.56,15.87,17.42,16.34,8.53,-1.49,-8.53,-16.58
1965,-18.78,-15.93,-7.62,1.34,11.04,16.64,16.92,15.83,9.50,2.52,-9.79,-18.06
1966,-19.43,-13.75,-7.95,0.08,9.71,15.44,16.47,15.89,11.20,1.76,-10.97,-23.05
1967,-21.08,-18.02,-7.48,2.16,12.35,14.82,17.64,15.52,8.75,1.56,-13.78,-21.47
1968,-23.16,-22.04,-7.40,1.87,9.66,16.78,19.07,14.58,7.32,-0.49,-9.68,-16.79
1969,-26.24,-22.62,-9.41,2.06,9.86,16.22,18.00,14.15,8.43,1.30,-10.54,-18.69
1970,-19.53,-16.44,-14.13,1.42,9.45,15.98,18.81,16.42,7.29,0.23,-11.84,-20.11
1971,-19.18,-19.01,-11.48,2.65,9.63,14.30,16.90,15.78,8.48,1.32,-7.68,-18.31
1972,-19.57,-19.65,-6.36,3.12,10.93,16.16,17.54,15.84,8.42,0.02,-9.57,-16.75
1973,-18.31,-16.87,-7.28,2.60,8.24,16.17,16.88,14.69,10.78,-0.04,-7.78,-15.22
1974,-19.63,-18.48,-10.50,3.13,9.95,15.24,18.08,17.22,8.42,-1.82,-9.90,-21.05
1975,-17.86,-15.74,-6.09,0.39,9.07,15.28,17.00,17.04,10.40,1.12,-8.60,-19.54
1976,-18.12,-12.48,-9.98,0.07,8.48,14.71,16.68,14.23,9.96,0.77,-13.79,-19.24
1977,-25.73,-17.91,-7.30,1.77,8.20,15.28,17.64,16.75,11.16,2.33,-8.31,-15.76
1978,-19.23,-17.02,-7.14,3.27,9.51,16.55,16.97,15.52,10.66,0.56,-8.34,-16.23
1979,-18.54,-11.67,-7.50,-0.17,10.39,16.81,17.51,15.30,8.73,3.69,-10.86,-15.75
1980,-20.53,-17.07,-11.12,-1.00,9.88,16.10,19.01,16.63,9.62,0.35,-6.92,-17.38
1981,-22.24,-17.65,-5.98,4.93,9.95,16.16,19.13,14.46,9.97,-2.40,-13.65,-17.53
1982,-18.53,-15.71,-7.61,4.37,9.74,15.43,17.34,15.65,9.92,3.52,-9.60,-17.10
1983,-19.19,-17.77,-7.33,0.21,10.69,13.33,16.84,15.97,9.25,2.44,-7.42,-17.01
1984,-22.32,-20.75,-10.11,1.08,11.04,15.24,16.57,14.50,9.50,1.47,-10.27,-20.49
1985,-19.47,-17.94,-12.12,2.51,9.80,14.94,16.65,15.29,8.20,1.91,-10.64,-18.96
