Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.50,23.70,23.90,24.80,25.50,25.70,25.60,26.10,25.90,25.30,24.30,23.20
1902,22.50,23.10,23.20,23.70,24.80,25.50,25.70,26.00,25.50,24.90,24.40,23.60
1903,23.10,23.10,23.00,24.00,25.40,25.90,25.70,25.70,25.50,25.10,24.20,23.30
1904,22.70,22.40,22.40,23.00,24.40,25.20,25.10,25.10,25.10,24.70,24.70,23.50
1905,22.70,22.30,22.60,24.30,24.30,25.60,25.70,25.90,25.60,25.20,24.80,23.40
1906,22.50,22.50,22.80,23.70,24.70,25.10,25.30,25.70,25.40,25.20,24.70,22.60
1907,21.90,21.70,22.10,23.10,23.90,25.10,25.50,25.40,25.20,24.90,24.30,23.50
1908,22.80,22.30,22.40,23.00,24.00,25.10,25.80,25.90,25.50,24.90,24.10,23.30
1909,22.30,22.20,23.30,23.10,24.60,24.70,25.30,25.20,25.50,25.00,23.90,22.60
1910,22.00,21.70,22.20,22.90,24.00,25.00,25.40,25.50,25.20,25.40,24.80,23.50
1911,22.10,21.90,22.00,23.20,23.90,25.50,24.90,25.60,25.50,25.10,24.60,23.60
1912,23.10,22.80,22.70,23.70,24.70,25.20,25.70,25.60,25.40,24.90,24.40,23.60
1913,22.50,21.90,22.20,22.60,24.60,24.30,24.70,24.90,25.20,24.50,24.10,22.70
1914,22.30,22.30,22.80,23.20,24.10,24.70,25.00,25.10,25.40,24.90,24.50,24.10
1915,23.00,22.70,23.60,23.80,24.80,25.70,25.80,26.00,25.70,25.50,24.80,23.70
1916,22.40,22.40,22.60,23.50,24.90,25.40,25.60,25.80,25.40,25.00,24.10,22.50
1917,22.10,21.80,22.00,23.20,24.50,25.30,25.60,25.30,25.30,25.50,24.40,22.70
1918,22.00,22.20,22.40,23.10,24.00,25.20,25.50,25.90,25.80,25.40,24.20,23.00
1919,22.30,22.60,22.60,23.40,25.00,25.50,25.10,25.60,25.20,24.80,23.80,23.30
1920,22.40,22.60,22.90,23.60,24.50,24.70,24.90,25.00,25.00,24.70,24.00,22.90
1921,22.60,22.80,22.70,22.70,24.10,25.10,24.80,25.20,25.40,24.90,24.50,23.30
1922,22.40,22.40,22.30,22.70,24.10,24.80,25.10,25.20,25.30,25.10,24.10,22.90
1923,22.20,22.10,22.50,23.10,25.10,25.00,25.30,25.90,25.80,25.60,24.90,23.30
1924,22.70,22.80,23.80,24.20,25.20,25.40,25.80,26.10,26.00,25.40,24.10,23.20
1925,22.30,21.70,22.10,23.50,24.50,25.10,25.10,25.80,25.80,25.40,24.60,24.20
1926,23.20,23.10,23.70,24.10,25.20,25.90,26.00,25.90,25.70,25.10,24.80,23.60
1927,22.40,22.00,22.90,23.40,24.70,25.20,25.40,25.70,25.90,25.30,25.00,23.80
1928,22.90,22.90,23.10,23.70,24.80,25.40,25.50,25.50,25.30,24.90,24.70,23.70
1929,22.90,23.10,22.40,23.10,23.50,25.00,25.50,25.40,25.20,25.10,24.30,23.10
1930,22.30,22.20,22.80,23.40,24.90,25.30,25.20,25.60,25.40,25.50,24.70,23.70
1931,23.40,22.80,24.30,24.50,25.90,26.10,26.10,26.10,25.70,25.60,24.80,23.70
1932,22.80,22.70,23.70,24.70,25.10,26.10,25.90,26.20,26.50,25.90,25.30,24.20
1933,23.30,22.20,23.20,24.10,25.10,25.60,26.00,26.00,25.60,25.50,24.70,23.40
1934,22.60,22.60,22.70,24.00,25.00,25.80,25.60,25.80,25.60,25.50,24.60,23.70
1935,22.90,22.70,22.70,23.60,24.50,25.80,25.60,25.50,25.40,25.20,24.60,23.20
1936,23.00,22.90,23.50,24.30,25.30,25.90,25.60,25.80,26.00,25.30,24.30,23.10
1937,22.50,22.70,23.70,24.10,25.60,26.00,26.00,26.20,26.40,25.70,25.40,23.90
1938,22.50,22.30,22.80,23.00,24.50,25.40,25.70,26.10,26.00,25.70,24.60,23.90
1939,22.50,22.20,23.00,23.30,24.50,25.30,25.80,26.20,26.40,25.90,25.20,24.20
1940,23.50,23.60,23.90,24.60,25.70,26.00,26.20,26.30,26.60,26.20,25.30,24.00
1941,23.50,24.30,24.40,25.00,25.90,26.00,25.80,26.20,26.20,26.00,25.30,24.10
1942,23.90,24.00,24.30,24.90,25.60,26.30,26.10,26.20,26.20,26.20,25.40,24.20
1943,23.20,23.20,23.10,24.20,24.40,25.50,25.70,26.00,26.30,25.90,24.90,23.90
1944,23.40,23.30,23.30,24.50,25.10,25.70,26.00,26.30,26.10,26.00,24.90,23.80
1945,22.60,22.60,23.00,23.30,24.70,25.60,25.80,26.00,25.90,25.40,24.50,23.60
1946,23.00,22.50,23.10,23.70,24.50,25.40,25.70,26.00,25.90,25.80,25.00,24.00
1947,23.00,23.60,23.90,23.90,25.10,25.90,25.80,26.10,26.10,26.00,25.10,23.90
1948,23.40,23.00,23.30,23.80,25.80,26.30,25.90,26.20,26.10,25.80,25.00,23.70
1949,22.40,22.40,23.20,24.20,25.40,25.60,25.60,26.30,26.10,25.50,24.80,23.30
1950,22.20,22.50,22.60,23.50,24.60,25.40,25.50,26.00,26.10,25.60,24.90,23.50
1951,22.60,22.40,22.80,24.60,25.80,26.20,26.20,26.50,26.30,25.90,25.30,24.10
1952,23.00,23.10,23.80,24.80,25.80,26.40,25.90,26.40,26.10,26.00,24.90,23.20
1953,22.90,22.80,23.40,24.40,25.10,25.90,26.30,26.30,26.20,25.50,25.00,23.90
1954,22.80,22.90,23.80,24.00,25.30,25.80,26.10,26.20,25.80,25.10,24.40,23.50
1955,22.70,22.80,22.90,23.80,25.20,25.70,25.70,26.40,25.90,25.70,24.90,23.80
1956,22.80,22.60,23.60,24.40,24.90,25.40,25.50,25.70,25.80,25.30,24.50,23.50
1957,22.80,22.90,23.40,24.00,25.00,25.80,26.10,26.10,26.10,25.50,24.80,23.90
1958,23.20,23.30,24.70,25.50,25.80,26.20,26.10,26.60,26.40,25.80,24.90,24.10
1959,23.00,23.00,24.00,24.60,24.70,25.70,25.90,26.00,26.30,25.50,24.80,24.50
1960,23.60,23.60,24.00,24.50,25.80,26.40,26.00,26.10,25.90,26.00,25.20,23.70
1961,23.50,23.30,23.70,24.60,25.50,25.90,25.80,26.20,26.10,25.40,24.50,23.80
1962,23.30,22.70,23.70,24.40,25.30,25.90,26.30,26.20,26.10,25.80,25.00,24.20
1963,23.50,23.50,23.70,24.40,24.90,26.00,26.00,26.50,26.30,26.10,25.10,24.60
1964,23.40,23.90,24.30,24.30,25.60,26.00,25.90,26.10,26.10,25.50,24.90,22.90
1965,22.60,22.90,24.10,23.90,25.10,25.50,26.00,26.10,26.10,25.80,25.20,24.10
1966,23.90,23.30,24.00,24.50,25.20,25.90,26.30,26.30,26.00,25.80,24.80,23.90
1967,23.30,23.30,23.10,23.80,25.00,25.90,25.90,25.90,26.10,25.90,25.20,23.60
1968,22.80,23.10,23.20,23.60,25.40,25.80,26.00,26.40,26.30,25.90,25.30,24.10
1969,23.10,22.90,24.50,25.40,26.30,26.80,26.40,26.40,26.30,26.00,25.30,24.20
1970,24.00,23.40,23.90,25.00,25.60,26.20,26.20,26.40,26.20,25.70,24.90,24.10
1971,23.50,23.00,23.60,24.20,24.90,26.00,26.10,26.00,26.20,25.50,24.70,23.60
1972,23.10,23.00,23.60,24.50,25.30,26.40,26.30,26.30,26.10,26.00,25.30,24.10
1973,23.80,23.20,24.00,24.50,25.80,26.30,26.60,26.40,26.20,26.00,24.90,23.20
1974,23.10,23.10,23.40,23.80,25.00,25.80,26.20,26.20,26.00,25.60,24.90,23.70
1975,22.90,23.00,23.50,24.20,25.10,26.20,26.30,26.30,26.20,25.50,24.70,23.20
