Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.39,24.45,24.79,25.54,26.39,26.49,26.45,26.69,26.34,25.84,25.35,24.34
1902,23.85,24.10,24.20,24.90,25.95,26.39,26.40,26.59,26.14,25.59,25.45,24.64
1903,24.15,24.15,24.20,25.00,26.15,26.59,26.50,26.44,26.19,25.89,25.25,24.40
1904,23.85,23.65,23.75,24.50,25.65,26.05,26.10,26.05,25.99,25.39,25.49,24.50
1905,23.95,23.60,23.95,25.20,25.55,26.29,26.40,26.59,26.24,25.79,25.65,24.34
1906,23.75,23.80,24.15,24.85,25.85,26.05,26.15,26.49,26.09,25.89,25.59,24.00
1907,23.45,23.36,23.65,24.50,25.30,26.05,26.25,26.24,26.04,25.69,25.35,24.50
1908,23.89,23.60,23.81,24.50,25.35,26.15,26.35,26.49,26.19,25.59,25.19,24.50
1909,23.65,23.55,24.40,24.60,25.75,25.85,26.10,26.14,26.09,25.69,25.15,24.00
1910,23.45,23.31,23.65,24.40,25.55,26.05,26.20,26.34,25.89,25.74,25.59,24.60
1911,23.55,23.40,23.75,24.60,25.35,26.35,25.95,26.44,26.24,25.79,25.49,24.59
1912,24.15,24.00,24.05,24.90,25.90,26.15,26.40,26.44,26.09,25.69,25.35,24.60
1913,23.69,23.30,23.75,24.35,26.05,25.75,25.70,25.94,25.99,25.29,25.05,23.90
1914,23.70,23.80,24.25,24.60,25.35,25.85,25.90,25.94,25.94,25.49,25.29,24.74
1915,24.05,23.85,24.59,24.95,25.89,26.34,26.35,26.64,26.29,25.99,25.59,24.64
1916,23.69,23.70,23.95,24.80,25.89,26.24,26.20,26.29,25.99,25.59,25.09,23.90
1917,23.55,23.40,23.71,24.60,25.85,26.29,26.35,26.14,26.09,25.99,25.39,24.20
1918,23.55,23.60,23.85,24.50,25.45,26.29,26.30,26.59,26.44,25.94,25.35,24.24
1919,23.60,23.85,24.05,24.60,25.89,26.39,26.10,26.34,25.99,25.49,24.95,24.40
1920,23.65,23.70,24.15,24.80,25.69,25.90,25.90,26.04,25.79,25.49,25.15,24.19
1921,23.89,24.00,24.15,24.35,25.75,26.14,25.80,26.14,26.14,25.59,25.39,24.40
1922,23.75,23.70,23.81,24.30,25.45,25.95,26.10,26.14,26.09,25.79,25.19,24.00
1923,23.55,23.40,23.75,24.50,26.09,26.05,26.20,26.54,26.34,25.94,25.69,24.34
1924,23.85,23.90,24.49,25.24,26.19,26.24,26.30,26.49,26.34,25.74,25.19,24.24
1925,23.55,23.30,23.75,24.85,25.75,26.15,26.10,26.39,26.29,25.94,25.49,24.94
1926,24.19,24.15,24.60,25.20,26.29,26.79,26.54,26.49,26.24,25.79,25.59,24.54
1927,23.75,23.40,24.20,24.60,25.75,26.15,26.10,26.34,26.34,25.84,25.69,24.64
1928,23.95,23.95,24.20,24.85,25.85,26.24,26.20,26.29,26.09,25.69,25.55,24.54
1929,23.85,23.95,23.85,24.50,25.15,25.99,26.20,26.29,25.99,25.79,25.29,24.30
1930,23.60,23.50,24.05,24.70,25.89,26.15,26.05,26.34,26.09,25.94,25.65,24.70
1931,24.29,24.05,25.09,25.50,26.49,26.69,26.54,26.64,26.24,26.04,25.65,24.70
1932,24.00,23.90,24.69,25.49,26.15,26.69,26.50,26.69,26.84,26.24,25.99,25.04
1933,24.19,23.50,24.35,25.14,26.09,26.39,26.45,26.49,26.19,25.89,25.49,24.39
1934,23.69,23.70,23.95,25.05,26.05,26.59,26.30,26.54,26.24,25.89,25.55,24.64
1935,23.90,23.65,23.60,24.55,25.40,26.34,26.05,25.99,25.84,25.64,25.40,24.14
1936,23.79,23.75,24.44,25.09,26.19,26.39,26.05,26.29,26.34,25.64,25.19,24.10
1937,23.50,23.65,24.59,25.04,26.34,26.65,26.45,26.79,26.79,26.24,26.09,24.90
1938,23.60,23.35,23.69,23.95,25.34,25.99,26.15,26.59,26.49,26.14,25.49,24.80
