Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.58,24.94,25.01,25.03,22.85,20.33,19.12,19.19,21.57,23.00,22.30,23.63
1902,25.78,25.74,24.41,22.43,20.45,19.73,18.72,18.19,19.27,21.30,22.40,25.43
1903,25.58,26.34,25.01,23.53,22.05,20.63,20.02,19.49,20.37,22.40,23.00,24.43
1904,24.78,24.94,24.61,23.53,20.55,19.33,19.02,19.09,19.17,20.20,22.20,23.23
1905,24.18,25.24,23.61,22.13,21.35,20.23,18.42,19.19,19.97,20.80,22.40,25.93
1906,25.68,24.34,24.31,23.43,21.35,19.53,18.92,19.29,20.77,21.70,23.90,24.93
1907,26.38,25.24,26.71,23.83,21.65,21.13,19.42,18.79,19.57,22.20,23.70,25.33
1908,24.98,25.24,24.91,23.43,22.35,20.33,18.92,19.69,20.87,20.40,23.10,23.73
1909,25.88,26.14,24.11,23.83,21.55,21.03,21.02,19.99,21.27,21.90,24.10,25.03
1910,26.38,27.14,27.01,24.73,22.65,21.53,20.82,19.99,21.07,23.30,24.40,25.43
1911,25.08,25.24,24.81,23.33,21.65,20.33,19.12,19.19,19.87,21.40,22.90,24.13
1912,25.08,25.24,24.81,23.33,21.65,20.33,19.12,19.19,19.87,21.40,22.90,24.13
1913,25.08,25.24,24.81,23.33,21.65,20.33,19.12,19.19,19.87,21.40,22.90,24.13
1914,25.08,25.24,24.81,23.33,21.65,20.33,19.12,19.19,19.87,21.40,22.90,24.13
1915,25.54,25.87,24.94,23.56,21.78,20.52,19.51,19.52,19.87,21.78,23.37,24.52
1916,25.14,25.62,25.14,23.72,21.78,20.72,19.43,19.38,20.20,21.90,23.25,24.49
1917,25.22,25.29,24.56,23.55,21.71,20.33,19.25,19.33,20.32,21.78,23.12,24.14
1918,25.22,25.25,24.68,23.45,21.53,20.34,18.91,19.07,19.89,21.66,23.12,24.00
1919,25.03,25.37,24.74,23.28,21.65,20.20,19.13,19.14,19.96,21.58,22.73,24.01
1920,25.22,25.29,24.81,23.33,21.48,20.33,19.34,19.19,19.87,21.72,23.29,24.13
1921,25.22,25.29,24.81,23.34,21.74,20.46,19.40,19.32,20.06,21.48,22.85,24.35
1922,25.20,25.07,24.81,23.28,21.65,20.42,19.30,19.42,19.87,21.66,23.03,24.36
1923,25.08,25.24,24.81,23.33,21.65,20.33,19.12,19.19,19.87,21.40,22.90,24.13
1924,25.08,25.24,24.81,23.33,21.65,20.33,19.12,19.19,19.87,21.40,22.90,24.13
1925,25.08,25.24,24.81,23.33,21.65,20.33,19.12,19.19,19.87,21.40,22.90,24.13
1926,25.08,25.24,24.81,23.33,21.65,20.33,19.12,19.19,19.87,21.40,22.90,24.13
1927,25.34,25.29,24.88,23.63,21.78,20.11,19.35,19.47,20.09,21.26,22.82,24.14
1928,25.08,25.24,24.81,23.33,21.65,20.33,19.12,19.19,19.87,21.40,22.90,24.13
1929,25.54,25.59,25.20,23.39,21.48,20.56,19.07,19.26,19.82,21.66,23.03,24.44
1930,25.34,25.10,24.51,23.33,21.48,20.48,19.12,19.32,19.75,21.46,22.90,24.22
1931,25.08,25.37,24.81,23.63,21.79,20.29,19.45,19.29,19.89,21.48,23.43,24.52
1932,25.14,25.29,24.92,23.74,21.44,20.29,19.12,19.19,20.13,21.75,23.11,24.35
1933,25.48,25.49,25.18,23.55,21.79,20.33,19.34,19.19,19.99,21.61,22.91,24.52
1934,24.84,25.10,24.77,23.50,21.52,20.33,19.02,19.28,19.99,21.40,23.07,24.52
1935,25.59,25.69,24.95,23.38,21.52,20.29,19.19,19.19,19.82,21.52,22.42,24.44
1936,25.36,25.25,24.65,23.33,21.65,20.38,19.01,19.19,19.70,21.57,22.81,24.14
1937,25.08,25.23,24.72,23.13,21.58,20.27,18.91,19.19,19.77,21.51,23.11,24.52
1938,25.28,25.65,25.12,23.33,21.83,20.42,19.22,19.21,19.89,21.50,23.35,24.31
1939,25.25,25.24,24.99,23.57,21.74,20.63,18.95,19.06,19.60,21.08,22.67,23.83
1940,24.77,24.92,24.47,22.87,21.65,19.86,18.67,18.84,19.53,21.20,22.67,24.08
1941,25.33,25.96,25.92,23.03,21.31,19.80,19.41,18.79,20.82,21.78,23.30,25.03
1942,25.51,26.11,26.40,24.22,21.95,21.01,20.53,19.94,20.68,22.82,23.68,24.59
1943,25.56,25.69,24.97,23.38,22.14,20.66,19.02,19.06,19.80,22.04,23.78,24.61
1944,26.30,25.88,25.03,23.33,21.52,19.57,19.19,19.35,19.86,21.17,23.42,24.33
1945,25.44,25.34,24.99,23.98,20.89,19.64,18.53,19.24,19.53,20.60,22.78,23.73
1946,26.94,26.39,25.11,24.19,21.85,20.23,19.02,19.40,20.46,21.68,23.28,25.25
1947,25.93,25.52,24.75,24.14,21.91,20.20,18.59,20.08,20.86,21.77,23.29,25.28
1948,25.78,24.84,25.55,23.93,22.26,20.48,20.21,19.72,20.57,22.18,23.35,24.03
1949,24.78,26.03,25.43,23.09,21.62,21.72,20.56,19.01,20.10,21.94,22.86,24.79
1950,26.05,26.02,24.41,23.14,22.60,22.06,20.04,20.41,19.69,21.76,23.03,24.22
1951,25.21,25.19,24.10,23.14,20.45,19.56,18.86,19.10,19.56,21.21,23.29,24.48
1952,25.33,25.17,24.91,23.83,21.84,20.13,18.84,18.89,19.38,21.87,23.85,24.13
1953,24.45,25.04,23.91,22.50,21.51,19.45,17.92,19.58,19.97,22.08,23.83,24.40
1954,25.41,25.04,24.45,22.89,21.21,20.13,19.51,18.56,19.76,20.60,22.63,23.40
1955,24.37,25.21,24.19,23.27,22.00,19.53,18.32,18.96,20.41,21.69,23.17,24.60
1956,24.85,25.58,24.53,23.12,21.57,20.46,18.61,18.59,19.96,21.69,22.45,24.95
1957,24.74,25.50,24.26,23.33,20.76,18.73,18.42,19.39,19.07,21.06,22.86,23.87
