Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-0.69,-1.23,3.67,8.72,12.29,15.00,18.54,16.91,14.15,10.27,4.85,3.18
1902,4.71,0.24,5.46,8.24,8.95,15.07,15.52,14.85,12.72,8.36,4.00,0.96
1903,2.86,5.64,7.40,5.30,12.76,14.20,16.09,15.47,14.25,10.97,6.08,1.45
1904,1.00,3.02,4.10,9.26,12.36,14.43,18.33,16.58,12.46,9.54,5.30,4.90
1905,1.06,3.54,6.25,6.44,12.02,16.74,18.11,16.44,13.09,6.28,4.49,3.25
1906,3.41,2.48,4.25,7.82,12.81,14.24,16.93,17.13,13.98,11.76,7.97,1.01
1907,2.06,0.75,5.04,7.42,12.66,13.89,14.31,15.81,14.04,11.78,5.93,3.95
1908,-0.26,3.70,3.93,6.11,13.11,16.15,16.89,15.32,13.60,10.06,4.42,2.00
1909,1.05,0.61,3.25,8.45,11.30,13.22,14.88,16.44,13.22,11.40,4.51,3.85
1910,3.64,4.40,5.65,7.85,12.59,16.35,15.58,16.52,13.54,10.64,3.97,5.72
1911,1.67,3.83,5.53,7.49,13.89,14.88,18.94,20.05,15.20,10.08,6.31,5.72
1912,1.55,4.43,7.72,8.31,12.08,15.25,18.64,14.54,10.76,8.24,5.42,6.18
1913,2.70,3.88,7.36,8.64,12.84,14.57,14.72,15.56,13.97,11.10,8.65,4.71
1914,0.11,6.03,6.28,10.35,11.43,14.31,17.91,17.80,13.79,9.92,5.47,5.73
1915,3.09,3.34,4.15,7.46,12.63,16.23,16.06,15.93,13.45,7.91,3.26,5.64
1916,6.07,3.06,4.73,8.72,13.14,12.49,15.58,16.55,13.33,10.18,6.28,3.49
1917,-0.23,-1.23,1.99,4.74,14.80,18.11,17.15,16.83,15.07,8.31,7.37,0.74
1918,3.12,4.16,5.41,8.44,14.20,13.36,16.52,16.54,13.38,9.61,5.03,6.41
1919,2.45,1.15,4.42,6.45,13.22,14.71,14.15,16.37,14.83,7.37,2.23,3.78
1920,4.42,5.75,7.95,9.48,13.48,15.48,16.82,14.90,13.56,8.69,3.65,2.74
1921,6.28,3.74,7.39,8.82,13.71,14.55,18.46,17.38,14.51,13.16,1.68,3.58
1922,0.38,1.53,4.73,6.22,13.62,15.05,15.47,15.39,12.42,6.67,4.94,5.25
1923,4.23,3.24,6.74,7.60,10.79,11.43,18.82,16.10,13.49,11.10,3.95,1.14
1924,0.43,0.43,3.67,6.66,13.52,14.91,16.79,14.84,14.18,10.62,5.37,4.53
1925,4.48,5.30,3.69,8.47,13.97,14.89,18.42,16.76,11.92,10.00,3.56,2.03
1926,2.37,6.30,6.10,9.98,10.75,13.99,17.51,16.81,15.44,8.61,7.16,3.21
1927,4.16,3.36,7.33,7.81,11.21,13.40,17.22,17.08,14.18,10.44,4.31,-0.48
1928,3.70,4.87,4.88,8.29,10.82,13.81,17.58,16.54,13.26,10.04,7.95,2.79
1929,-1.28,-4.34,4.26,5.34,12.79,13.81,17.20,16.97,16.43,10.53,6.56,5.85
1930,5.18,2.05,5.33,8.96,11.73,17.59,16.45,16.92,14.10,10.48,7.54,3.06
1931,2.88,1.58,3.06,7.06,13.63,15.32,16.69,15.84,11.69,9.12,7.01,3.53
1932,4.50,1.55,3.59,7.16,12.14,14.85,17.62,19.10,15.01,9.45,5.89,4.11
1933,0.55,2.79,6.98,8.38,12.18,15.30,18.21,17.96,15.07,10.36,4.46,-1.15
1934,2.57,3.20,5.12,10.03,12.36,15.52,17.92,16.76,16.19,11.34,6.01,7.30
1935,2.84,4.32,5.17,7.86,10.93,16.28,17.70,17.42,14.34,9.80,7.22,3.05
1936,4.91,2.22,6.57,6.15,12.68,16.02,16.53,17.08,14.27,8.68,5.69,4.04
1937,3.00,4.66,3.84,8.60,13.97,15.45,16.98,17.72,13.89,11.14,5.10,2.22
1938,4.18,3.40,8.14,6.69,11.09,15.35,16.28,18.02,15.20,9.90,9.00,1.36
1939,4.31,3.83,4.73,8.97,11.73,15.92,16.87,17.82,14.89,7.96,7.66,1.78
1940,-4.49,-0.82,5.02,8.28,12.88,16.34,16.06,15.36,13.21,8.92,7.11,1.41
1941,-2.29,1.44,4.99,6.52,9.75,16.17,18.80,15.44,14.13,9.86,4.56,4.77
1942,-4.23,-3.55,3.29,8.76,11.96,14.34,16.06,18.03,14.80,12.01,5.91,4.85
1943,3.00,4.81,6.90,10.18,13.30,14.61,17.36,17.28,14.05,11.06,5.18,2.47
1944,5.16,1.77,3.75,9.27,11.66,13.89,17.04,19.38,13.33,9.69,6.25,3.16
1945,-1.38,5.77,7.71,9.78,13.74,16.04,18.16,16.79,14.88,11.74,5.53,4.11
1946,0.48,4.73,4.52,10.05,12.79,14.13,17.85,16.36,14.80,9.47,6.65,0.68
1947,-1.12,-3.84,3.56,9.13,15.03,17.31,19.06,20.25,17.24,10.14,7.14,4.25
1948,4.93,2.97,7.49,10.10,13.32,15.27,16.81,16.82,14.60,10.18,6.14,4.39
