Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-6.47,-10.36,-6.01,-0.04,4.84,9.59,14.03,11.21,8.01,4.56,-4.85,-8.83
1902,-6.54,-8.74,-6.90,-2.00,2.12,7.64,8.38,8.17,4.63,-0.40,-3.78,-7.16
1903,-8.07,-3.49,-1.71,-1.62,3.89,7.98,9.80,9.12,6.46,-1.15,-3.67,-5.21
1904,-4.25,-10.73,-5.98,-0.17,2.89,8.11,10.35,9.54,6.54,2.21,-5.69,-7.83
1905,-7.57,-5.87,-3.88,-2.53,4.05,10.25,11.40,9.60,5.84,-1.94,-4.08,-3.32
1906,-5.68,-6.32,-6.46,-0.13,4.20,9.27,11.06,9.38,6.58,2.14,-1.49,-6.61
1907,-7.81,-5.83,-2.87,-0.23,2.63,8.63,9.86,7.88,5.36,4.26,-1.64,-7.60
1908,-5.70,-5.54,-6.05,-0.86,3.21,8.05,11.30,10.32,5.95,3.18,-5.22,-4.58
1909,-4.28,-7.92,-7.69,-2.62,1.61,8.04,10.35,9.27,6.15,3.32,-6.04,-6.94
1910,-7.39,-3.19,-3.03,-0.44,5.07,8.99,10.77,10.26,6.52,1.31,-4.95,-5.64
1911,-5.70,-6.03,-4.52,-1.08,5.89,8.22,10.86,11.46,6.97,-0.45,-4.19,-2.96
1912,-10.52,-9.23,-3.05,-1.73,3.64,9.28,12.46,10.25,5.05,0.39,-3.80,-4.62
1913,-9.24,-5.01,-3.72,0.11,4.71,8.49,11.75,9.95,6.65,1.32,-0.55,-7.15
1914,-7.65,-3.81,-5.07,0.68,3.25,9.32,14.03,10.79,6.76,1.35,-3.50,-4.46
1915,-8.94,-6.97,-7.46,-0.97,2.28,6.74,11.04,9.95,4.92,-0.29,-6.01,-13.13
1916,-5.49,-6.39,-7.28,-0.61,3.44,8.10,12.59,9.43,5.10,-0.59,-1.08,-5.92
1917,-12.12,-8.83,-8.43,-3.49,2.69,10.14,10.31,12.72,6.34,1.44,-3.14,-7.65
1918,-10.80,-6.07,-3.83,0.12,4.88,7.69,11.97,9.77,5.13,2.83,-0.40,-6.24
1919,-5.84,-9.62,-6.08,-1.97,6.29,8.98,12.41,8.54,6.30,0.21,-7.26,-9.40
1920,-7.00,-3.73,-0.72,0.40,5.58,9.03,11.41,9.53,7.14,1.11,-1.74,-5.68
1921,-6.99,-5.93,-1.99,2.16,5.34,7.43,10.00,9.46,5.60,1.47,-5.53,-4.96
1922,-9.47,-8.36,-5.59,-1.76,4.03,8.63,11.29,9.63,6.23,0.34,-3.06,-5.40
1923,-4.05,-9.12,-3.41,-2.02,2.52,5.35,11.02,8.74,5.95,1.73,-4.77,-7.97
1924,-6.98,-9.16,-7.75,-2.47,3.13,7.07,11.59,11.26,7.45,3.45,-1.74,-1.73
1925,-2.45,-4.70,-7.08,0.10,4.68,8.70,14.22,11.08,6.44,-0.35,-6.39,-9.24
1926,-7.88,-8.43,-3.78,0.06,3.38,9.11,11.82,10.76,6.25,-1.86,-2.00,-6.91
1927,-6.25,-5.60,-3.29,-2.04,1.89,7.03,13.59,11.61,5.97,0.13,-6.53,-9.56
1928,-6.56,-5.85,-4.47,-0.20,3.67,6.57,8.74,9.56,5.73,0.90,-3.53,-6.46
1929,-8.71,-10.84,-2.69,-3.51,4.48,7.45,9.74,8.82,6.76,1.85,-1.10,-1.19
1930,-2.81,-5.63,-4.50,0.87,5.48,9.94,12.88,11.93,5.71,2.28,-2.93,-3.69
1931,-8.23,-7.73,-7.13,-1.45,4.81,6.10,11.92,9.44,4.33,0.84,0.00,-4.53
1932,-2.59,-3.57,-5.42,-1.04,4.02,7.81,11.93,10.46,5.55,-0.26,-2.53,-2.08
1933,-4.24,-7.79,-4.53,-1.39,4.24,11.75,12.80,10.62,7.52,2.09,-4.23,-5.00
1934,-2.25,-3.72,-3.73,-1.07,4.98,8.56,13.02,11.87,9.02,2.79,-2.47,-2.46
1935,-6.24,-5.68,-5.12,-0.81,2.53,8.61,11.21,10.65,5.78,1.72,-0.23,-4.48
1936,-7.34,-9.32,-5.17,-1.54,5.72,11.00,12.39,11.11,6.12,0.52,-1.33,-1.49
1937,-4.97,-9.45,-6.73,1.51,6.37,9.33,13.72,13.28,6.76,4.14,-3.06,-7.85
1938,-5.42,-3.03,-1.46,-0.23,3.78,8.09,12.60,11.74,7.98,3.84,0.22,-3.69
1939,-7.33,-3.17,-4.25,-1.32,3.92,8.53,11.57,12.57,6.87,0.08,-1.62,-8.12
1940,-10.57,-11.71,-8.03,-2.00,6.52,10.11,10.77,9.34,5.63,1.79,-3.22,-6.60
1941,-12.78,-10.15,-6.89,-2.47,3.29,8.61,14.19,9.93,6.26,0.02,-3.22,-7.60
1942,-14.19,-10.95,-8.94,-0.53,3.21,7.61,10.63,10.44,6.26,1.48,-1.84,-5.27
1943,-9.28,-3.30,-1.53,0.05,4.66,9.60,11.67,9.43,6.76,3.14,-2.24,-3.83
1944,-5.30,-5.22,-4.77,-2.05,2.73,7.61,11.87,10.94,6.65,3.47,-2.75,-2.78
1945,-9.43,-5.31,-2.75,0.63,4.13,8.48,13.00,12.30,6.46,1.32,-3.05,-6.45
1946,-5.91,-9.08,-5.69,0.40,4.96,8.66,12.45,10.88,7.74,1.03,-2.42,-2.91
1947,-6.42,-14.50,-9.16,-1.10,6.22,10.56,12.82,12.43,8.15,1.60,-4.98,-6.80
1948,-10.71,-6.29,-2.19,1.42,5.22,8.49,12.39,9.49,6.76,0.85,-2.00,-1.68
1949,-3.96,-3.01,-4.96,0.14,4.93,8.42,10.92,9.46,9.15,2.30,-0.65,-4.86
1950,-8.32,-6.49,-3.14,0.70,4.74,9.08,11.25,12.24,7.02,3.02,-3.56,-7.25
1951,-9.46,-6.38,-7.19,-1.11,3.10,7.40,9.61,11.78,7.63,3.85,-2.88,-3.19
1952,-7.63,-6.35,-6.29,0.96,4.38,7.99,10.64,8.99,4.52,0.04,-5.29,-7.55
1953,-6.83,-8.85,-1.82,0.05,4.45,12.62,11.66,10.88,6.36,4.20,0.14,-2.36
1954,-7.52,-9.60,-4.19,-0.98,6.52,8.42,11.78,10.47,6.22,1.11,-3.02,-2.95
1955,-7.77,-10.05,-6.39,-2.42,2.05,7.04,12.63,12.18,7.79,0.72,-3.04,-9.84
1956,-8.98,-10.73,-4.51,-2.39,4.76,8.29,11.32,8.74,6.23,1.24,-4.89,-5.18
1957,-4.42,-6.92,-4.98,-0.35,3.32,7.16,12.09,10.10,5.71,2.20,-2.07,-5.50
1958,-9.07,-10.33,-8.54,-1.82,2.81,8.61,10.62,10.89,7.87,3.77,0.04,-7.70
1959,-9.41,-3.75,-1.29,0.07,5.00,9.23,11.94,11.62,6.56,2.49,-0.83,-4.54
1960,-8.99,-9.38,-3.21,0.37,6.05,9.73,11.94,11.21,7.28,-0.51,-3.35,-6.06
1961,-7.87,-4.29,-2.20,-1.01,4.37,9.65,11.33,9.95,7.78,5.78,-0.85,-8.01
1962,-6.45,-5.83,-9.22,-0.46,3.34,7.21,9.68,8.90,5.99,2.97,-2.92,-8.02
1963,-9.79,-11.26,-6.73,-0.19,6.43,9.56,10.30,11.18,7.47,2.91,-3.23,-5.74
1964,-3.90,-6.83,-4.46,-0.09,5.25,7.65,10.12,9.51,5.50,2.85,-2.54,-5.34
1965,-7.38,-5.80,-5.94,0.02,2.92,8.77,9.26,9.24,7.83,2.90,-6.19,-10.58
1966,-11.99,-13.64,-6.31,-3.35,3.55,10.90,11.08,9.64,5.11,1.04,-2.67,-5.63
1967,-10.41,-5.22,-1.96,-0.86,4.14,8.24,10.70,10.72,7.92,2.04,0.32,-8.59
1968,-10.35,-8.51,-4.23,-0.18,2.69,9.56,10.28,10.22,6.71,-0.52,-5.48,-5.40
1969,-7.23,-11.49,-7.20,-0.72,3.98,10.53,11.35,13.18,6.41,2.98,-5.56,-8.06
1970,-9.87,-12.90,-5.11,-2.83,5.09,11.58,10.77,11.18,6.04,2.29,-4.74,-4.48
1971,-6.08,-5.77,-7.18,-1.38,4.81,8.58,10.67,10.31,6.03,1.72,-5.23,-2.80
1972,-8.25,-6.75,-3.48,-0.45,5.09,10.24,13.15,10.37,5.33,2.14,-3.10,-1.53
1973,-2.89,-5.89,-1.69,-1.57,4.30,9.53,13.25,9.41,5.21,-0.70,-5.52,-7.38
1974,-3.27,-3.91,-3.23,0.88,5.25,9.91,10.69,10.36,7.57,0.90,-3.17,-3.86
1975,-4.37,-4.33,-3.12,-1.20,4.65,7.60,11.01,11.36,7.01,2.46,-1.46,-3.91
1976,-9.63,-5.59,-6.05,-1.05,5.94,8.81,11.56,11.00,4.26,1.03,-2.95,-7.85
1977,-8.86,-9.72,-3.68,-2.72,3.86,8.07,10.67,10.26,5.22,2.67,-2.47,-4.43
1978,-7.36,-10.10,-5.17,-1.66,4.97,9.92,11.05,10.17,5.19,1.76,-1.89,-11.69
1979,-12.00,-9.30,-4.38,-1.04,3.53,9.65,10.73,10.01,5.89,0.53,-3.58,-6.61
1980,-9.86,-9.88,-6.17,0.32,4.94,11.01,12.40,10.90,7.25,0.12,-6.46,-7.02
1981,-7.61,-7.94,-7.37,-1.21,6.10,7.08,10.75,9.61,7.28,1.49,-3.86,-12.43
1982,-10.29,-5.40,-2.58,-0.33,4.12,7.49,11.90,10.80,6.34,2.45,-1.80,-4.76
1983,-4.29,-6.99,-3.86,0.32,5.38,8.33,11.57,9.70,7.11,2.18,-4.13,-5.99
1984,-9.22,-4.90,-5.89,0.46,6.80,9.09,10.51,10.42,5.68,2.75,-2.12,-2.85
1985,-11.47,-12.54,-4.68,-2.30,4.50,8.86,11.65,10.58,5.20,3.45,-5.63,-10.12
1986,-11.42,-9.78,-2.56,-2.13,5.57,10.64,10.95,8.94,4.13,2.83,-0.51,-7.81
1987,-13.12,-8.01,-7.42,-0.16,3.54,7.59,10.62,8.52,5.71,4.72,-3.02,-5.79
1988,-4.86,-6.14,-6.01,-2.39,5.62,10.73,12.55,10.57,7.62,1.50,-4.18,-5.72
1989,-1.57,-2.59,-1.50,0.86,4.94,9.69,10.85,10.13,6.92,1.99,-1.19,-6.10
1990,-5.11,-0.42,-1.56,0.94,5.17,9.91,11.36,11.24,6.21,2.78,-3.61,-2.85
1991,-4.93,-8.43,-3.04,0.56,3.68,7.71,12.40,11.57,5.96,2.06,-1.81,-2.64
1992,-2.64,-3.08,-1.83,-1.54,6.50,11.43,10.46,9.49,7.37,-1.87,-3.85,-2.86
1993,-4.07,-4.02,-3.58,0.24,5.86,7.15,10.78,9.33,4.77,0.26,-3.77,-7.24
1994,-8.61,-10.10,-4.25,0.95,4.11,7.53,13.12,11.15,6.01,1.10,-2.18,-2.74
1995,-5.28,-4.28,-2.91,-1.25,3.75,9.15,10.67,10.67,6.84,3.40,-4.60,-8.80
1996,-6.49,-9.33,-4.42,-0.31,2.77,8.33,10.16,12.86,5.88,3.30,-4.81,-7.60
1997,-5.75,-4.92,-3.07,-2.09,3.51,10.20,13.42,13.43,7.67,0.82,-3.07,-4.70
1998,-5.00,-5.09,-4.86,-1.16,4.48,8.31,11.25,9.75,7.54,1.45,-5.39,-5.00
1999,-7.11,-6.57,-3.52,0.92,3.86,9.67,11.53,10.04,9.27,2.75,0.56,-7.33
2000,-4.01,-4.40,-3.54,0.73,6.13,8.07,10.98,10.16,7.16,5.18,0.59,-4.26
2001,-4.73,-8.71,-6.68,-0.65,4.57,8.97,11.95,10.88,7.43,3.76,-2.71,-6.74
2002,-5.91,-4.44,-3.40,1.86,7.08,11.30,12.79,13.16,7.56,-0.48,-5.54,-8.25
