Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,3.15,5.31,10.33,14.97,17.88,21.54,20.99,19.82,18.41,15.56,9.77,5.98
1902,5.69,6.72,12.22,14.97,17.98,20.35,19.87,20.27,18.22,14.08,9.00,5.22
1903,4.55,5.23,9.61,14.59,18.07,20.70,21.57,19.69,18.62,14.29,8.96,5.32
1904,4.51,6.18,10.35,15.59,17.28,19.64,19.30,19.37,18.13,14.34,8.76,5.82
1905,3.10,4.59,7.86,12.51,17.77,21.55,20.11,19.90,18.58,14.61,9.98,5.63
1906,3.80,4.75,8.81,15.19,19.18,19.88,20.21,19.40,18.34,14.53,10.12,6.42
1907,6.04,4.74,8.09,13.01,16.93,19.87,21.04,19.72,18.98,15.26,9.89,5.21
1908,3.95,6.13,10.58,16.70,18.29,20.91,19.93,19.43,18.48,14.49,9.03,5.10
1909,5.00,5.34,11.53,13.51,17.87,18.16,19.56,19.43,18.35,14.75,10.68,5.84
1910,4.36,5.82,10.54,14.54,17.94,18.92,19.55,19.53,18.45,13.80,8.69,5.22
1911,5.81,5.73,8.78,14.60,18.68,19.02,21.37,20.03,17.85,14.38,8.11,4.92
1912,4.88,6.92,9.94,14.03,17.83,20.68,19.97,19.48,17.89,14.33,8.61,5.22
1913,4.73,5.71,8.58,15.71,16.48,17.59,19.95,19.88,18.80,14.81,8.79,5.11
1914,5.66,6.14,9.72,13.95,17.49,19.50,19.76,19.46,18.29,13.39,9.69,5.75
1915,5.16,5.32,9.80,14.70,18.89,19.95,20.60,19.92,18.66,15.95,10.44,5.96
1916,4.78,5.88,12.47,15.67,18.56,18.27,19.52,19.39,18.21,14.40,8.82,4.83
1917,4.40,5.75,9.59,12.84,15.64,18.56,19.55,19.46,17.66,13.88,8.77,5.50
1918,3.55,6.14,10.57,13.51,18.59,18.13,21.30,19.71,18.70,14.81,9.44,4.87
1919,4.80,4.96,10.97,14.09,17.49,20.07,19.40,19.64,18.00,14.16,9.39,5.37
1920,5.14,5.45,9.91,14.61,16.10,19.91,19.87,19.81,18.87,15.38,10.32,6.59
1921,5.33,6.05,12.56,16.32,19.98,19.77,20.63,19.29,17.88,13.39,9.09,6.37
1922,4.57,7.01,11.81,15.83,18.99,18.89,19.67,19.32,17.92,13.75,9.39,5.38
1923,4.88,5.39,10.96,15.79,18.04,21.61,19.95,19.54,18.40,13.79,9.50,6.05
1924,4.30,6.11,12.20,16.01,16.91,21.74,19.68,19.55,17.74,14.60,9.19,5.99
1925,3.16,4.81,10.71,15.53,17.30,18.51,19.13,19.86,18.29,14.35,8.71,5.31
1926,4.58,6.86,9.20,12.63,16.70,21.62,20.40,19.63,18.07,13.96,7.89,5.71
1927,3.82,5.05,9.11,14.62,17.18,20.27,20.08,19.43,18.43,14.57,9.03,6.52
1928,4.33,6.39,10.97,14.79,18.73,19.37,19.86,20.42,19.04,15.11,9.82,5.91
1929,4.53,5.07,11.67,15.31,18.95,20.03,19.79,19.24,18.85,14.07,9.54,5.13
1930,3.71,5.63,11.25,14.66,18.08,19.69,19.46,19.63,18.60,14.66,9.06,5.61
1931,5.96,5.27,10.08,16.23,18.14,21.11,20.03,20.31,18.05,14.22,9.08,6.30
1932,6.20,5.13,11.17,15.02,17.59,21.09,20.39,19.55,18.50,14.74,9.52,5.76
1933,3.18,6.59,10.99,13.26,16.11,19.09,19.58,19.23,17.92,14.14,9.31,6.13
1934,3.92,6.56,10.03,15.12,17.88,19.30,19.80,19.39,18.65,13.71,9.07,6.03
1935,3.59,6.42,10.90,13.02,19.00,21.05,20.02,19.16,18.31,14.21,9.86,5.68
1936,3.81,5.72,10.73,14.80,18.67,18.01,19.40,19.62,18.06,14.03,9.93,5.83
1937,3.81,6.00,9.65,14.05,17.70,20.12,20.37,19.74,18.65,13.92,9.39,5.44
1938,4.84,4.59,11.96,16.20,18.50,18.41,19.80,20.01,19.22,15.01,8.51,5.91
1939,5.51,6.37,9.12,14.64,19.07,19.16,19.77,19.98,18.28,14.84,9.42,6.23
1940,4.66,5.70,8.80,14.29,18.43,20.47,20.22,19.67,18.20,14.72,10.52,5.84
1941,4.46,6.72,12.50,16.67,18.77,18.97,20.82,20.19,18.79,15.49,9.77,7.28
1942,4.28,6.66,11.75,15.61,19.06,21.09,19.85,19.39,17.83,14.70,10.67,5.82
1943,5.69,5.87,11.05,13.54,18.53,19.89,19.83,19.29,18.82,14.73,10.92,7.03
1944,4.35,5.68,9.92,13.71,19.52,20.05,19.95,20.06,18.56,14.44,10.18,7.46
1945,3.64,5.15,11.35,14.03,17.80,20.56,20.38,20.24,18.52,13.94,9.61,5.07
1946,5.70,7.90,10.72,14.83,17.75,19.44,19.67,20.18,18.90,14.60,10.01,6.68
1947,4.21,6.55,11.46,16.36,18.73,21.16,20.29,20.13,18.54,14.02,10.44,6.78
1948,5.04,6.07,9.87,16.12,18.62,20.83,19.83,19.53,18.51,14.61,9.62,5.74
1949,6.04,6.12,11.07,14.92,17.80,20.42,19.95,19.82,18.78,14.94,8.66,4.97
1950,5.55,5.40,9.67,14.55,18.49,19.75,19.76,19.36,18.09,14.21,9.15,5.69
1951,4.07,6.25,10.80,13.84,18.22,20.17,20.42,20.20,18.58,16.38,10.70,6.27
1952,5.82,7.92,10.10,15.38,18.35,19.61,19.98,19.45,18.76,15.34,10.00,6.34
1953,3.99,7.59,13.33,15.98,19.02,20.43,19.59,19.85,18.38,14.57,9.51,7.60
1954,3.81,7.69,11.27,16.43,19.59,19.88,19.95,19.81,18.48,13.49,9.27,5.75
1955,4.45,6.32,12.30,14.05,18.07,20.22,19.61,19.39,18.35,14.29,9.79,5.83
1956,4.73,6.10,11.10,16.09,19.57,19.07,19.48,19.62,18.36,14.54,9.66,6.13
1957,4.73,5.50,9.18,14.71,18.46,20.10,20.35,20.13,18.50,14.51,10.34,6.84
1958,6.17,6.51,11.04,16.31,18.87,21.24,20.42,19.66,18.77,15.53,10.72,7.01
1959,4.94,5.63,11.01,15.59,18.11,20.04,20.04,19.88,18.13,15.09,10.22,6.86
1960,3.98,8.03,9.71,14.85,18.55,20.43,19.88,19.97,18.50,14.51,9.39,6.80
1961,5.29,5.29,11.15,15.29,18.26,19.85,20.29,20.01,18.88,14.79,8.60,3.79
1962,3.97,5.84,9.93,14.97,17.46,20.21,20.61,19.44,18.23,14.00,10.13,5.84
1963,3.79,6.89,9.56,13.97,16.93,19.42,20.30,19.67,18.10,14.97,10.32,6.30
1964,4.70,6.32,11.58,15.78,16.50,20.15,19.33,19.87,18.43,15.74,9.96,6.21
1965,5.38,5.55,9.05,14.12,17.86,20.71,19.81,19.42,18.01,14.14,9.90,5.59
1966,4.47,7.85,10.93,15.18,18.56,19.82,20.46,19.68,17.89,13.89,10.58,5.97
1967,4.56,7.42,9.31,13.90,17.49,20.17,20.17,19.46,18.10,13.55,8.45,6.28
1968,3.54,5.08,10.26,14.24,17.59,19.04,19.57,19.70,19.21,13.49,9.84,6.24
1969,4.72,7.04,12.04,14.95,17.34,20.31,19.85,19.52,18.21,14.80,11.28,6.68
1970,4.81,5.56,10.40,15.67,18.77,19.18,20.19,19.93,18.67,15.32,9.64,6.68
1971,4.46,5.53,10.30,14.40,16.31,18.58,19.20,18.80,18.46,14.72,9.36,6.35
1972,5.64,5.07,11.26,14.21,18.97,20.41,20.88,19.65,17.76,14.15,9.33,6.57
1973,5.46,6.92,9.99,16.16,18.12,19.48,20.45,19.42,18.62,14.37,9.48,5.64
1974,4.36,6.13,11.40,16.06,17.89,19.69,19.47,19.56,18.20,16.41,9.60,5.44
1975,3.80,5.69,10.08,15.43,18.26,19.79,19.22,19.48,17.92,16.12,9.71,6.11
1976,4.80,6.96,10.85,14.69,17.39,19.10,19.70,18.93,17.76,14.40,12.16,6.29
1977,4.91,6.88,12.15,14.74,15.79,18.71,19.57,19.81,18.20,14.27,11.41,6.19
1978,3.37,5.26,8.62,14.29,18.83,19.60,19.55,19.42,17.88,14.92,10.51,6.23
1979,4.88,4.85,9.86,15.66,18.33,19.89,20.09,20.11,17.97,15.22,12.54,6.76
1980,4.62,6.93,10.12,16.26,18.26,19.34,19.72,19.78,18.77,14.45,10.31,7.21
1981,4.00,6.97,9.92,14.63,17.45,20.17,19.82,20.21,18.51,14.90,9.41,5.47
1982,5.33,5.62,9.06,14.31,16.75,19.31,21.03,20.05,18.60,14.33,9.94,6.66
1983,3.86,5.03,9.87,13.06,16.62,19.63,20.36,20.26,18.87,14.65,9.24,6.09
1984,4.33,5.90,12.24,15.38,19.20,19.72,19.31,19.30,17.55,15.58,9.07,7.63
1985,4.47,6.90,13.18,15.91,18.06,20.14,18.98,20.10,18.23,14.18,10.12,7.27
1986,5.18,6.11,10.41,14.43,16.14,19.93,19.37,19.69,18.07,13.54,10.51,5.43
1987,4.36,7.07,10.91,14.96,16.57,20.59,20.31,19.35,18.84,14.68,10.40,6.43
1988,6.05,7.58,11.02,15.67,18.72,19.21,19.75,19.53,18.86,14.92,10.00,7.20
1989,3.89,6.19,10.77,14.98,18.14,19.28,19.91,19.29,18.85,15.13,9.90,5.45
1990,6.51,6.29,9.33,14.46,17.58,20.36,19.44,19.62,18.38,14.43,10.92,6.64
1991,3.43,7.31,11.25,14.63,18.22,18.98,20.65,19.36,18.17,14.75,10.01,5.80
1992,4.66,4.80,12.18,15.27,16.58,19.46,19.54,19.36,18.15,14.61,9.77,5.80
1993,5.81,7.76,9.01,13.99,17.80,19.94,20.32,19.88,17.77,15.32,10.77,6.93
1994,5.72,5.79,11.99,14.26,18.31,20.18,19.99,19.83,19.05,14.66,9.65,6.71
1995,3.35,6.64,10.94,14.75,19.57,21.15,20.31,19.44,18.69,15.65,10.06,6.64
1996,5.67,6.40,12.12,15.13,18.68,19.35,20.25,19.27,18.36,15.06,11.00,6.46
1997,4.12,5.72,11.09,13.52,16.89,19.54,20.12,19.75,18.07,12.98,9.88,5.46
1998,4.78,7.02,9.80,15.06,19.04,21.19,20.17,19.91,18.97,16.31,11.53,6.94
1999,4.96,8.31,12.57,16.75,18.66,19.86,19.81,19.67,18.72,15.43,11.66,7.28
2000,5.48,5.41,10.01,15.83,18.54,19.56,20.09,19.96,18.18,15.86,11.72,7.35
2001,6.16,8.08,10.68,14.90,18.05,19.16,20.24,20.37,19.21,16.11,11.46,7.32
2002,4.87,7.39,11.59,15.89,18.47,20.41,21.04,20.02,17.95,14.95,11.04,7.70
2003,5.30,6.51,10.64,16.12,17.42,20.54,20.16,20.61,18.94,15.79,11.49,6.77
2004,4.82,7.04,13.74,16.48,19.05,19.29,20.05,20.14,19.53,14.52,10.13,8.15
2005,5.52,7.40,12.30,15.09,17.20,20.95,20.15,20.65,19.10,15.21,10.89,6.59
2006,7.43,10.03,11.21,14.89,18.68,19.95,20.42,20.13,18.89,15.54,11.35,7.95
2007,6.41,6.35,11.40,16.57,18.86,20.00,20.40,20.56,19.35,16.34,11.15,7.49
2008,6.27,6.14,12.24,15.54,18.07,19.15,19.59,19.75,18.53,15.15,11.61,8.33
2009,7.21,8.42,11.96,16.74,18.10,20.85,21.03,20.77,18.73,15.74,11.76,7.59
