Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.08,21.17,24.28,28.65,31.97,33.05,32.22,31.56,30.11,27.57,24.13,21.10
1902,19.43,21.47,24.77,28.82,31.71,32.91,31.79,31.30,29.96,27.41,23.50,20.34
1903,18.99,20.65,23.69,27.93,31.70,32.93,31.79,31.73,29.95,26.96,23.33,20.49
1904,19.19,20.97,23.87,28.18,31.31,32.59,31.95,31.28,29.60,27.15,24.23,20.74
1905,18.73,20.66,23.60,28.41,31.51,32.77,31.93,31.46,29.86,27.54,24.00,20.66
1906,18.81,20.75,23.70,27.91,31.71,32.60,31.86,31.10,29.49,27.25,24.31,21.22
1907,19.05,20.57,23.85,28.01,31.72,32.67,31.91,31.19,29.63,27.37,23.37,20.65
1908,19.05,21.07,24.15,28.59,31.76,33.07,32.05,31.38,29.94,27.28,24.01,20.98
1909,18.89,21.46,24.35,28.74,31.73,32.60,32.00,31.41,29.73,27.29,24.03,20.72
1910,18.78,21.17,23.46,27.97,31.46,32.42,31.89,31.40,29.68,26.84,23.69,20.33
1911,18.01,20.29,23.25,27.94,31.29,32.30,31.85,31.10,29.35,26.96,23.62,21.07
1912,18.85,20.95,23.96,28.15,31.32,33.05,31.78,31.00,29.57,27.04,23.99,20.61
1913,18.92,20.53,23.33,28.57,31.80,32.53,31.60,30.76,29.68,27.27,23.86,20.89
1914,19.43,21.15,24.00,28.56,31.61,32.42,31.69,31.21,29.38,27.52,24.23,20.84
1915,19.24,21.23,24.21,28.50,31.77,33.13,32.08,31.53,30.05,27.42,24.08,20.90
1916,19.13,21.02,24.30,28.41,31.88,33.03,32.19,31.56,29.89,27.31,24.07,20.93
1917,19.15,21.26,24.03,28.62,31.80,32.97,32.24,31.56,29.99,27.38,24.07,20.81
1918,19.13,21.18,24.02,28.40,31.72,32.80,32.09,31.51,29.96,27.60,24.14,20.96
1919,19.31,21.30,24.14,28.62,31.76,32.84,32.06,31.54,29.98,27.58,24.17,20.99
1920,19.19,20.99,24.29,28.56,31.87,33.04,32.07,31.54,30.04,27.64,24.10,20.63
1921,19.15,21.16,24.28,28.77,31.74,33.02,32.22,31.54,30.03,27.45,24.08,20.85
1922,19.25,21.20,24.14,28.56,31.74,33.09,32.16,31.58,29.95,27.48,24.22,21.01
1923,19.16,21.13,24.30,28.41,31.78,33.02,32.17,31.42,29.91,27.51,23.95,20.99
1924,19.26,21.17,24.46,28.57,31.90,33.11,32.19,31.50,29.97,27.62,24.11,20.87
1925,18.84,20.91,24.32,28.66,31.82,32.89,32.01,31.55,30.04,27.59,24.04,21.01
1926,19.25,21.33,24.21,28.39,31.84,33.03,32.08,31.53,29.86,27.46,24.16,20.90
1927,19.17,21.08,24.11,28.44,31.93,33.08,32.17,31.49,30.08,27.63,24.15,20.84
1928,19.10,21.10,23.92,29.11,31.83,32.92,32.12,31.23,29.84,27.27,23.74,20.57
1929,19.51,21.36,24.18,28.76,31.77,32.60,31.79,31.24,29.63,27.39,23.84,20.82
1930,18.63,21.41,24.13,28.72,31.82,32.87,31.72,31.29,29.80,27.32,24.01,20.80
1931,19.50,20.97,24.11,28.41,31.52,32.87,32.07,31.42,30.00,26.93,23.91,20.43
1932,19.21,20.89,24.26,28.27,31.50,32.91,31.79,31.25,29.56,27.01,24.00,20.06
1933,18.78,21.04,23.85,28.02,31.77,32.40,31.63,31.24,29.44,27.24,23.75,21.02
1934,18.65,21.43,23.65,28.57,31.39,32.83,31.72,31.28,29.66,26.99,23.94,21.12
1935,19.04,21.07,24.37,28.11,31.57,32.83,31.89,31.53,29.85,27.38,24.33,21.45
1936,18.82,21.54,23.86,28.61,32.00,32.38,31.79,31.61,29.60,26.69,23.78,20.55
1937,18.30,21.20,23.74,28.32,31.83,32.68,31.97,31.43,29.81,27.38,24.27,20.80
1938,19.35,21.33,23.52,28.32,31.51,32.56,32.15,31.66,30.31,27.02,23.41,20.81
1939,19.48,21.31,23.52,27.50,31.44,33.01,31.91,31.06,29.83,27.15,24.15,21.58
1940,19.80,21.84,23.27,28.43,32.03,32.87,32.11,31.31,29.86,27.73,24.22,21.12
1941,19.31,21.95,24.65,28.64,31.97,33.35,32.26,31.44,29.84,27.60,24.05,20.83
1942,19.07,21.36,24.50,28.72,32.02,33.05,32.15,31.25,29.95,26.94,23.87,20.21
1943,19.09,20.59,24.20,27.51,31.65,32.85,31.51,31.18,29.17,26.75,24.41,21.90
1944,20.07,21.53,24.04,28.09,31.61,33.37,31.68,31.37,29.65,26.57,24.01,21.03
1945,18.62,20.80,23.55,27.75,31.55,33.13,31.70,31.68,30.01,26.49,23.77,20.62
1946,18.87,21.13,23.71,28.84,31.70,33.30,31.92,31.60,29.97,27.74,23.99,20.82
1947,19.41,21.12,23.95,28.41,31.27,33.25,32.26,31.45,29.05,26.64,24.31,21.15
1948,19.12,21.68,24.13,28.32,31.93,33.37,32.13,31.57,29.39,26.97,23.20,20.82
1949,17.98,20.35,23.93,28.13,31.82,32.81,31.99,31.47,29.81,26.20,22.55,21.07
1950,18.34,19.16,23.47,27.48,30.99,32.30,31.71,31.97,30.35,27.02,22.83,20.20
1951,19.16,20.82,23.59,27.64,31.89,33.38,32.31,31.89,30.98,28.24,24.35,21.35
1952,18.76,21.58,24.41,28.72,31.67,32.65,31.56,31.31,29.81,27.12,23.33,21.03
1953,19.65,22.05,24.23,28.56,31.61,32.52,32.27,31.57,30.27,27.48,24.31,21.07
1954,19.43,21.80,24.76,28.71,32.08,33.09,31.82,31.76,30.18,27.00,24.08,21.59
1955,19.58,20.89,24.39,28.03,31.63,32.35,31.60,30.79,30.01,26.59,23.73,21.53
1956,18.44,21.11,24.93,28.14,31.83,32.81,31.28,31.41,30.34,27.26,23.62,20.76
1957,18.68,19.76,23.61,27.53,31.23,33.10,31.71,31.57,29.78,27.41,24.60,21.54
1958,19.96,21.63,24.75,29.07,32.20,33.72,32.41,31.96,29.78,27.40,23.44,21.17
1959,18.64,20.38,23.84,28.96,32.03,33.05,32.16,31.19,30.10,27.65,23.01,19.67
1960,19.55,22.04,23.93,28.05,31.77,33.17,32.17,31.69,30.40,27.28,24.50,21.03
1961,19.68,21.38,24.34,27.77,31.93,32.71,32.52,32.04,29.94,26.86,23.69,21.34
1962,19.10,22.24,24.54,28.69,31.59,32.84,32.18,31.64,30.21,27.09,24.16,20.74
1963,20.06,22.60,24.38,28.69,30.62,32.84,32.29,31.25,29.47,27.82,24.32,20.60
1964,17.04,20.87,24.63,28.97,31.96,33.06,31.99,31.34,29.70,26.17,22.99,18.50
1965,19.29,22.12,24.44,26.90,31.42,32.69,31.91,31.44,30.35,28.61,24.98,20.91
1966,20.28,22.09,23.49,27.89,31.81,33.01,31.94,31.84,30.35,28.54,23.13,20.62
1967,19.17,21.59,24.20,27.48,31.80,32.84,32.56,31.84,29.76,27.79,24.51,20.01
1968,18.70,19.87,23.91,28.07,31.25,32.86,32.34,31.22,29.98,27.38,24.56,21.58
1969,19.87,20.76,26.13,29.00,31.96,33.08,32.38,31.49,29.94,27.87,24.23,21.95
1970,19.49,22.33,24.44,29.17,32.38,33.28,32.54,32.25,30.08,27.39,23.89,20.97
1971,19.29,21.09,24.21,29.00,32.01,32.44,31.80,31.27,29.80,26.40,23.47,20.60
1972,18.75,19.01,23.26,27.55,31.18,33.37,32.64,31.53,30.12,27.86,24.32,19.84
1973,17.24,22.07,24.46,29.54,32.32,33.26,31.66,31.20,29.53,27.16,23.26,20.52
1974,18.69,20.14,24.96,28.20,31.47,32.34,32.48,32.06,30.39,27.14,23.75,20.94
1975,19.21,21.04,23.37,28.43,32.15,33.14,32.00,31.62,30.24,26.79,23.32,20.90
1976,19.29,21.25,23.43,28.04,31.82,32.92,32.53,31.71,29.87,27.83,23.76,21.36
1977,18.18,21.73,25.75,28.93,32.47,33.57,32.22,31.45,29.88,28.29,24.73,22.28
1978,20.00,21.39,23.90,29.41,32.16,33.46,32.22,30.97,29.42,27.13,24.29,21.87
1979,19.57,21.66,23.95,28.66,31.56,33.89,32.21,31.49,30.35,28.19,24.07,21.02
1980,19.28,21.66,24.53,29.91,31.97,33.45,32.15,31.51,29.83,27.80,24.69,20.93
1981,20.01,21.46,24.74,29.24,31.96,33.21,31.93,31.72,30.43,27.50,23.73,21.52
1982,19.14,20.48,23.50,28.39,31.86,33.19,32.45,31.59,30.41,28.35,23.44,19.76
1983,18.85,20.09,22.55,27.21,32.04,33.41,32.84,32.08,30.25,27.11,23.65,20.59
1984,18.90,20.48,24.82,29.70,31.35,32.43,31.63,31.15,29.16,26.41,23.91,20.94
1985,20.26,21.41,24.60,28.53,31.73,32.36,31.22,31.50,29.75,27.21,24.28,20.87
1986,18.69,20.96,23.97,29.08,32.49,33.23,31.81,30.92,29.76,28.00,24.29,20.09
1987,19.41,21.77,24.36,28.49,32.11,33.44,32.53,31.91,30.22,27.72,24.33,21.08
1988,18.94,21.90,24.57,29.27,32.30,33.44,32.19,31.56,30.70,27.78,24.23,21.83
1989,18.25,20.80,23.57,27.97,31.81,32.57,31.60,31.29,29.90,27.65,25.08,21.24
1990,19.64,21.98,24.21,28.88,32.46,33.05,32.02,31.51,30.26,27.81,24.63,22.16
1991,20.18,21.49,24.31,29.18,31.23,32.57,31.53,30.50,29.37,27.09,23.99,21.77
1992,18.12,20.50,22.39,27.07,31.61,33.55,32.25,31.71,29.76,27.37,24.15,21.77
1993,19.05,22.04,24.24,28.41,32.11,33.39,32.56,31.65,30.31,27.99,24.81,21.95
1994,20.07,21.20,24.61,28.89,32.30,33.17,32.17,31.54,29.68,27.68,25.52,20.91
1995,20.08,21.77,23.43,28.27,31.96,33.18,31.95,32.03,30.29,27.97,24.18,21.05
1996,19.43,22.06,24.67,28.95,32.15,33.06,32.06,30.99,30.11,27.09,23.41,21.02
1997,19.32,21.42,23.39,27.41,31.78,33.12,32.75,31.62,30.46,28.00,24.10,21.39
1998,19.29,21.95,24.86,29.55,32.91,34.01,32.80,32.63,30.64,28.20,24.82,23.25
1999,20.21,22.80,24.11,29.48,32.13,33.17,32.04,31.68,30.52,28.49,24.96,21.24
2000,20.15,21.76,24.16,29.96,32.92,33.30,31.89,32.06,29.93,28.14,24.28,21.21
2001,18.93,21.27,24.74,28.97,33.39,33.00,32.56,31.74,30.53,28.56,24.65,23.30
2002,19.83,21.68,25.25,29.26,32.68,33.14,32.13,31.73,30.16,28.50,24.82,21.96
2003,19.72,23.01,24.75,29.93,32.59,33.88,32.57,31.79,29.95,28.37,24.80,21.68
2004,20.94,22.67,25.83,29.85,32.50,33.34,32.47,31.29,30.14,28.02,25.45,21.52
2005,19.26,21.28,24.88,29.45,32.05,33.63,32.03,32.03,30.49,28.16,25.03,22.57
2006,19.46,22.96,24.77,29.15,32.83,33.77,32.31,31.76,31.01,28.81,25.22,20.22
2007,19.19,22.85,24.74,30.12,33.22,33.79,33.15,32.21,30.78,27.81,25.08,22.30
2008,18.62,20.36,25.20,29.40,32.49,33.59,32.43,31.58,30.96,28.50,24.34,20.59
2009,18.96,22.86,25.23,28.76,33.02,33.92,33.17,32.66,30.75,28.09,25.01,22.31
2010,20.62,22.80,26.25,30.41,32.80,33.74,32.92,32.16,30.61,28.78,24.82,21.56
2011,20.23,22.03,25.02,29.23,32.92,33.66,32.52,32.27,30.69,28.31,24.57,20.89
2012,19.66,21.37,24.04,29.09,32.80,33.46,32.72,32.05,30.99,28.39,25.20,22.40
2013,19.79,22.07,24.11,29.16,32.50,33.18,32.32,31.97,30.99,28.53,25.04,20.20
2014,19.00,20.90,24.66,29.54,32.41,34.03,32.50,32.12,31.00,29.08,24.79,21.71
2015,19.68,21.57,24.48,30.02,33.02,34.28,32.84,32.53,31.54,29.59,25.90,21.62
2016,20.81,22.42,25.85,29.36,33.10,33.51,32.37,32.01,30.90,27.87,24.53,22.86
2017,20.71,21.04,25.36,30.21,33.29,34.19,32.83,32.57,31.10,29.02,26.07,20.71
2018,19.33,22.72,25.73,29.88,32.80,33.71,32.55,31.73,30.26,28.64,25.42,22.33
2019,20.74,22.15,24.25,29.32,32.70,34.44,33.07,32.55,31.76,29.41,24.62,22.71
2020,19.50,22.35,24.26,29.56,32.77,34.18,33.03,32.82,30.95,27.95,24.61,21.77
2021,19.39,22.67,26.31,30.27,33.09,33.51,32.88,32.57,31.51,28.35,24.62,21.80
