Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.84,20.24,19.90,19.64,19.21,18.19,17.76,18.64,19.10,19.18,19.31,19.66
1902,19.72,19.78,19.94,19.61,19.21,18.07,18.12,18.38,19.09,19.14,19.59,19.90
1903,20.01,20.65,19.97,19.27,18.71,17.89,17.72,18.11,18.98,18.89,19.06,19.12
1904,19.35,19.59,19.49,19.24,18.59,18.17,17.56,18.36,18.82,18.90,19.51,19.65
1905,19.72,20.24,19.62,19.52,19.04,18.43,17.96,18.36,18.81,19.23,19.51,19.54
1906,19.80,20.12,19.91,19.69,18.97,17.80,17.72,18.24,19.01,18.74,19.51,19.25
1907,19.56,19.47,20.03,19.24,18.91,18.09,17.60,18.27,18.97,18.98,19.48,19.78
1908,19.88,19.83,19.94,19.55,19.07,18.35,17.60,18.07,18.68,18.61,19.19,19.49
1909,19.52,19.63,19.89,19.16,19.06,17.60,17.51,18.00,18.94,18.98,19.19,19.41
1910,19.66,19.92,19.79,19.10,18.17,17.23,16.99,17.60,17.99,18.27,19.08,19.05
1911,19.59,19.94,19.13,19.05,18.30,17.84,17.62,18.24,18.66,19.14,19.81,20.45
1912,20.89,21.05,20.98,20.43,18.82,17.60,17.17,17.87,18.85,19.18,19.01,19.84
1913,20.30,20.04,20.29,19.56,18.58,17.65,17.85,18.50,18.96,19.97,20.40,20.25
1914,20.51,20.73,20.34,19.65,18.73,17.71,17.67,18.51,18.84,19.19,19.52,20.49
1915,20.94,21.37,20.83,20.56,19.32,17.84,17.96,18.52,18.60,18.91,19.11,20.06
1916,20.10,20.34,20.18,20.09,18.77,16.78,16.45,17.29,18.87,18.50,18.39,19.86
1917,20.00,20.24,20.47,19.97,19.05,18.26,17.37,17.97,18.32,18.58,19.54,19.07
1918,19.82,19.80,20.09,19.60,17.64,19.29,18.68,19.64,19.20,19.12,19.76,20.35
1919,20.82,21.22,20.41,20.29,19.74,17.65,17.28,17.99,19.09,19.17,19.62,19.82
1920,20.14,20.33,20.28,19.61,18.38,17.24,16.84,17.79,18.71,19.29,19.63,19.57
1921,19.67,19.71,19.91,19.30,18.92,16.49,16.26,17.75,18.27,18.61,19.57,19.92
1922,20.36,20.57,20.36,19.95,19.05,18.20,18.12,18.30,19.27,19.17,19.81,20.04
1923,20.15,20.41,20.47,19.74,19.05,18.17,18.01,18.49,19.48,19.38,20.01,20.13
1924,20.73,20.58,20.21,20.01,19.20,18.25,17.81,18.36,19.10,19.19,19.85,20.04
1925,19.92,19.97,20.01,19.82,19.41,18.11,17.74,18.80,19.41,19.84,20.10,20.57
1926,20.73,20.65,20.22,20.41,19.22,18.58,17.87,18.63,19.49,20.11,20.60,20.59
1927,20.52,20.48,20.51,19.95,19.08,18.23,17.81,18.58,19.58,20.15,20.55,20.83
1928,20.64,20.88,20.16,20.15,19.54,18.33,17.85,18.62,19.45,19.70,20.59,20.63
1929,20.74,20.62,20.46,20.26,19.21,18.35,17.80,18.45,19.29,19.71,20.31,20.64
1930,20.31,20.38,20.18,19.93,19.00,18.38,17.90,18.30,18.99,19.80,20.29,20.91
1931,20.40,20.38,20.25,20.11,19.15,18.23,17.77,18.57,19.26,19.96,20.59,20.43
1932,20.33,20.47,20.24,19.94,18.98,18.16,18.18,18.63,19.33,19.72,20.05,20.28
1933,20.20,20.37,20.29,19.88,19.09,18.14,17.73,18.42,19.34,19.46,19.91,20.30
1934,20.11,19.91,20.22,19.75,19.17,18.42,17.83,18.30,19.02,19.77,20.12,20.52
1935,20.30,20.39,20.46,19.80,18.85,18.22,17.86,18.29,19.26,19.68,20.11,20.47
1936,20.24,20.60,20.13,20.28,19.35,18.14,17.86,18.41,19.36,19.80,20.13,20.45
1937,20.29,20.38,20.26,20.02,19.31,18.53,18.37,19.08,19.62,19.73,20.65,20.75
1938,20.53,20.60,20.61,19.91,19.12,18.12,17.90,18.57,19.44,19.55,20.23,20.43
1939,20.39,20.46,20.34,20.51,19.50,18.89,18.51,18.52,19.52,20.13,20.29,20.40
1940,20.47,20.68,20.55,20.27,19.74,18.81,18.62,18.79,19.91,20.36,20.84,20.61
1941,20.96,20.82,21.04,20.74,20.04,18.65,18.19,19.29,20.08,20.58,21.10,21.13
1942,21.25,20.06,20.55,20.15,19.85,18.87,18.33,19.31,19.88,20.25,20.72,20.33
1943,22.14,21.12,21.92,21.22,19.80,19.02,18.83,20.41,20.71,20.91,20.74,21.39
1944,21.36,21.26,20.55,20.81,20.17,18.92,19.44,19.95,20.93,20.71,20.74,21.25
1945,21.22,21.29,20.72,20.50,19.66,18.54,18.53,19.73,20.58,20.62,21.31,20.67
1946,20.96,21.20,20.95,20.13,19.44,18.62,17.67,18.57,19.57,20.05,20.47,20.19
1947,20.82,20.60,20.52,20.36,19.61,18.29,17.45,18.31,19.33,19.53,19.90,19.55
1948,20.26,20.12,19.77,19.55,19.82,18.49,17.65,18.52,19.32,19.55,19.97,19.72
1949,20.80,20.29,20.41,19.22,18.49,17.52,16.97,17.73,18.37,18.86,19.82,19.65
1950,19.47,19.22,18.85,18.60,18.09,17.00,16.80,17.86,18.96,19.13,19.65,19.49
1951,19.23,19.06,19.30,18.81,18.96,18.27,18.43,18.43,19.28,19.65,19.83,19.92
1952,20.01,19.96,20.23,19.00,18.60,16.89,16.91,17.84,18.62,19.42,19.35,19.88
1953,19.67,19.91,19.99,19.99,19.17,17.99,17.28,18.75,19.89,19.25,19.80,19.74
1954,19.64,19.72,19.50,19.17,17.91,17.34,16.71,17.88,18.72,18.67,19.45,19.57
1955,19.64,19.70,19.35,18.88,18.31,17.89,17.09,17.74,18.36,19.07,19.52,19.38
1956,18.98,19.29,19.72,18.66,18.08,17.22,16.96,17.64,18.60,18.78,19.21,19.52
1957,19.44,20.03,20.22,19.58,19.58,18.35,17.79,18.48,19.33,19.52,19.75,20.38
1958,20.36,20.66,20.25,19.80,18.84,18.27,18.06,18.03,19.31,19.40,19.32,20.21
1959,20.09,19.94,20.27,19.69,18.73,18.14,17.91,18.44,18.96,19.33,20.00,19.91
1960,20.33,20.22,20.22,19.29,18.44,18.06,17.77,18.51,18.89,19.35,19.60,20.27
1961,20.36,20.18,20.21,19.70,19.36,17.99,18.15,19.11,19.52,19.86,19.63,20.01
1962,20.07,20.02,19.85,19.83,18.88,17.84,17.78,18.82,19.78,19.65,20.48,20.58
1963,20.13,19.87,19.85,19.62,19.26,18.43,18.43,19.74,19.93,19.88,20.10,20.39
1964,20.84,20.65,20.01,19.70,18.33,17.74,17.31,18.39,19.00,19.40,19.78,20.19
1965,20.33,20.20,20.33,19.88,19.25,18.47,18.32,19.34,19.57,20.31,20.17,20.44
1966,20.71,20.77,20.34,19.98,18.86,18.19,17.63,18.34,19.15,19.62,20.00,20.05
1967,20.07,19.80,19.70,19.54,18.96,17.71,17.38,18.30,19.00,19.14,19.83,19.74
1968,19.98,20.04,19.54,19.14,18.09,17.62,17.82,18.51,19.30,19.64,19.90,20.46
1969,20.61,20.74,20.97,20.55,20.33,18.86,17.97,18.67,19.92,20.21,20.64,20.60
1970,20.21,20.41,20.23,19.88,19.03,18.23,17.44,18.51,19.14,19.79,20.05,19.78
1971,19.72,19.36,19.68,19.22,18.69,17.90,17.82,18.09,19.06,19.20,19.83,19.86
1972,19.70,20.37,20.24,19.91,19.65,19.06,18.88,19.20,19.56,20.25,20.51,21.08
1973,20.79,20.81,20.64,19.92,19.04,18.10,17.42,17.74,18.54,19.30,19.50,19.23
1974,19.15,19.18,19.40,19.06,18.67,17.74,17.04,17.55,18.21,18.71,19.72,19.43
1975,19.07,19.49,19.54,19.55,18.35,17.65,16.90,17.92,18.32,19.17,19.26,19.42
1976,19.28,19.61,19.58,19.14,18.75,18.11,18.14,18.64,18.85,19.54,19.93,20.27
1977,20.52,19.92,20.16,19.90,18.77,17.97,18.10,18.17,19.05,19.31,19.77,20.16
1978,19.81,20.60,20.04,19.51,18.94,17.87,17.90,17.87,18.80,19.55,20.24,19.95
1979,20.53,20.26,20.12,19.82,19.21,18.08,18.00,19.01,19.45,19.80,20.00,20.17
1980,20.70,20.67,20.41,20.45,19.39,18.56,18.08,18.43,19.03,19.35,20.07,20.33
1981,20.01,19.79,20.20,19.86,19.33,18.17,17.44,18.24,18.75,19.43,20.02,20.16
1982,20.12,20.14,20.17,19.64,19.09,18.69,18.39,18.78,19.52,20.04,20.63,20.92
1983,21.35,21.55,21.42,20.78,19.89,19.22,19.68,19.27,19.64,19.94,20.44,20.33
1984,19.73,19.48,19.99,19.55,19.02,18.27,17.85,18.12,19.35,20.22,19.81,20.28
1985,19.97,19.90,20.35,19.11,18.63,17.69,17.50,18.06,18.85,19.77,19.51,19.97
1986,20.07,19.68,19.50,19.84,18.80,18.12,17.40,18.66,19.13,19.44,20.13,20.18
1987,20.49,20.77,21.15,20.48,19.35,18.75,18.76,19.08,19.67,20.34,20.32,20.66
1988,20.16,20.81,20.28,19.87,19.33,17.66,17.48,18.55,19.39,19.58,20.19,20.04
1989,19.64,19.74,19.84,19.25,18.45,18.20,17.63,18.52,19.07,19.30,20.04,20.27
1990,20.03,20.33,20.24,20.00,19.40,18.12,17.36,18.41,19.32,19.73,20.29,20.21
1991,20.07,20.23,20.28,19.94,19.46,18.73,18.06,18.13,19.33,19.50,19.86,20.71
1992,21.05,20.84,21.18,21.16,20.71,19.11,17.66,18.57,18.93,19.76,20.04,20.19
1993,20.11,20.36,20.26,20.18,19.95,19.15,18.37,18.59,19.46,19.86,19.92,20.23
1994,20.22,20.15,20.43,20.16,19.74,18.48,17.94,18.70,19.63,20.12,20.29,20.60
1995,21.07,20.70,20.20,20.14,19.07,18.96,18.56,18.98,19.71,19.96,19.91,19.93
1996,19.68,19.93,20.05,19.45,19.01,17.81,17.56,18.39,19.04,19.52,19.81,19.82
1997,20.10,19.89,20.37,20.42,20.43,20.06,19.37,18.66,20.20,20.70,20.70,21.31
1998,21.72,21.63,21.82,21.59,20.54,19.11,19.11,19.44,19.51,20.01,20.18,20.54
1999,19.93,20.15,20.23,19.42,18.65,18.13,17.84,18.43,19.32,19.49,19.91,20.01
2000,19.86,19.87,19.76,19.85,19.12,18.37,17.62,19.06,19.44,19.91,20.60,20.33
2001,19.98,20.45,20.09,20.00,18.71,17.53,17.81,18.65,19.08,19.69,20.01,20.13
2002,20.18,20.39,20.71,20.40,19.64,18.23,17.70,18.92,19.65,20.12,20.33,20.67
2003,20.85,20.83,20.65,19.64,19.05,18.49,18.25,18.25,18.98,20.16,20.63,20.59
2004,20.69,20.63,20.83,20.32,18.92,17.91,17.89,18.64,19.53,20.39,20.62,20.85
2005,20.97,20.48,20.53,20.20,19.44,18.61,17.98,19.17,19.15,19.52,19.49,20.29
