Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.40,24.21,25.48,27.02,27.26,26.57,26.08,25.56,25.97,25.78,25.37,24.63
1902,25.13,23.58,26.00,26.85,27.30,26.49,25.84,25.79,25.47,25.70,25.65,25.38
1903,24.67,23.78,25.47,26.43,26.90,26.69,25.66,25.67,25.37,25.49,24.96,24.19
1904,24.03,23.67,24.96,25.51,25.83,25.26,25.18,24.88,25.17,25.13,24.43,23.87
1905,24.52,23.82,25.28,26.41,26.77,25.87,24.99,25.16,24.91,25.11,24.39,25.08
1906,24.53,25.04,25.29,27.12,26.99,25.95,25.66,25.68,25.21,25.07,24.50,24.69
1907,24.02,23.89,24.92,25.81,26.41,25.89,25.18,24.92,25.09,25.67,25.44,24.52
1908,24.41,24.22,24.61,26.28,25.90,25.58,25.22,25.38,25.32,25.52,24.58,24.81
1909,24.66,24.62,25.32,26.39,26.47,26.19,24.92,25.85,25.30,25.76,24.86,24.12
1910,24.42,24.54,25.07,25.81,26.00,25.98,25.50,25.42,24.97,24.95,24.72,24.56
1911,24.61,23.94,24.91,25.61,25.92,25.87,25.05,25.14,25.24,25.23,24.70,24.97
1912,24.29,24.67,25.83,26.62,27.24,26.82,25.35,25.04,25.30,25.11,24.89,24.50
1913,24.54,24.46,25.31,26.00,26.19,26.24,25.30,25.09,25.44,24.90,24.88,24.65
1914,23.88,23.89,25.68,26.60,26.95,25.94,25.62,25.53,25.06,25.47,25.56,25.35
1915,24.81,25.13,25.73,27.11,26.88,26.83,26.20,25.94,25.66,25.85,25.71,24.90
1916,24.60,24.57,25.01,26.01,26.02,25.64,25.76,25.78,25.07,25.19,24.77,24.69
1917,23.98,23.65,24.89,26.25,25.91,25.88,25.01,25.48,25.15,25.12,24.62,24.14
1918,22.72,23.19,24.27,25.60,26.51,25.63,25.53,24.91,25.47,25.27,25.04,24.41
1919,24.64,24.74,25.88,27.04,27.03,26.29,25.37,25.31,25.13,25.21,24.78,24.51
1920,24.09,24.75,25.57,26.48,26.49,26.25,25.60,25.72,25.44,25.16,25.18,24.53
1921,24.33,24.30,25.38,26.09,26.53,25.74,25.51,25.34,25.10,25.16,24.81,24.33
1922,24.63,24.65,25.38,26.70,26.73,26.35,25.30,25.50,25.34,25.40,24.99,24.64
1923,24.11,24.27,24.69,26.24,26.11,25.52,25.38,25.08,25.26,25.13,24.94,24.75
1924,24.52,24.78,25.26,26.74,27.15,26.04,25.40,25.60,25.63,25.56,24.59,23.93
1925,24.87,24.01,25.25,26.06,26.53,25.70,25.39,25.69,25.42,24.91,24.97,23.88
1926,23.86,24.63,25.28,26.71,27.15,26.07,25.56,25.49,25.55,25.37,25.05,24.30
1927,24.20,24.83,25.66,26.50,26.82,26.14,25.45,25.37,25.95,25.33,25.17,25.08
1928,25.15,24.75,25.90,26.43,26.93,25.88,25.69,26.14,25.50,25.27,25.34,24.81
1929,23.85,24.51,24.86,26.12,26.74,26.52,25.06,25.07,25.53,25.14,24.75,24.67
1930,24.60,24.26,25.61,26.66,26.56,26.17,25.81,25.63,26.01,26.17,25.52,25.07
1931,25.19,25.50,26.27,27.18,27.61,27.01,26.21,25.75,25.82,25.58,25.33,24.81
1932,23.80,24.06,25.00,26.74,26.97,26.39,25.49,25.94,25.59,25.71,25.25,24.74
1933,24.54,25.10,25.58,27.01,27.46,26.35,25.66,25.95,25.78,25.28,25.02,24.50
1934,24.24,23.78,25.08,26.15,26.10,26.33,25.66,25.56,25.34,25.54,25.35,24.58
1935,24.10,24.83,25.88,26.74,26.53,26.44,25.62,25.95,25.32,25.92,25.32,24.67
1936,24.46,25.10,25.31,26.58,27.17,26.39,25.68,25.42,25.50,25.66,25.13,25.64
1937,25.28,25.13,26.06,26.93,26.94,26.71,25.59,25.62,25.67,25.20,25.44,25.28
1938,24.72,24.66,25.83,26.41,26.57,26.09,25.75,26.30,26.04,25.53,25.04,25.02
1939,24.49,24.32,25.62,26.50,26.27,26.34,26.00,26.01,25.90,25.88,25.66,24.02
1940,24.10,24.06,25.48,26.62,27.23,26.58,25.74,25.53,25.75,25.89,25.64,24.85
1941,24.68,24.79,25.53,26.40,26.96,26.37,25.93,26.07,25.87,25.79,25.49,25.06
1942,24.29,24.90,25.98,26.63,26.91,26.38,25.74,25.83,25.72,25.75,25.30,24.64
1943,24.11,24.41,25.58,26.20,26.85,26.06,25.66,25.63,25.92,25.60,25.38,24.83
1944,24.60,24.50,25.08,26.45,26.90,26.18,25.74,25.72,25.92,25.82,25.60,24.63
1945,24.27,24.26,25.41,26.41,26.56,26.26,25.88,25.68,25.87,25.38,25.51,24.84
1946,24.62,24.63,25.88,26.62,27.03,26.30,25.98,25.88,25.85,25.72,25.82,25.59
