Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.10,25.04,24.96,24.89,24.75,24.17,23.69,23.83,24.21,24.73,25.07,25.11
1902,25.10,25.04,24.96,24.89,24.75,24.17,23.69,23.83,24.21,24.73,25.07,25.11
1903,25.94,25.28,25.58,25.05,24.52,24.25,23.78,23.45,23.90,23.90,24.84,25.19
1904,25.26,24.89,24.96,24.66,24.45,23.49,22.93,22.69,23.15,23.98,24.17,25.11
1905,25.64,24.28,25.05,25.20,24.60,24.48,23.01,22.69,23.68,24.51,24.47,25.64
1906,25.71,26.11,25.35,25.50,24.67,24.09,23.46,23.07,24.06,23.98,24.99,25.49
1907,24.99,25.10,24.63,25.07,24.44,24.36,23.37,23.24,23.23,24.04,24.54,25.14
1908,24.86,25.38,25.09,24.78,24.44,23.47,23.35,23.63,23.88,23.74,24.59,24.93
1909,25.31,25.57,25.08,25.27,25.38,24.69,24.78,24.47,24.20,24.91,25.12,25.00
1910,25.48,25.14,25.15,25.10,24.89,24.53,24.17,24.12,24.46,25.08,25.06,25.69
1911,25.65,24.96,25.24,24.99,24.51,23.83,23.21,23.65,23.08,24.19,24.98,25.94
1912,25.17,25.70,25.28,25.56,24.41,25.13,23.65,22.95,23.92,24.25,25.10,25.50
1913,25.59,25.06,25.30,24.91,24.62,24.09,23.33,23.01,23.07,23.60,25.07,25.11
1914,25.52,24.93,25.41,25.49,24.91,24.05,23.02,22.45,22.85,23.27,24.02,25.07
1915,25.28,25.65,25.24,24.83,24.95,24.25,24.27,23.81,24.84,24.74,25.46,25.68
1916,24.84,25.60,25.39,25.23,24.54,24.53,24.54,24.38,24.24,24.92,25.34,25.38
1917,25.31,25.45,24.87,25.13,24.85,24.12,24.38,23.99,24.47,24.82,25.46,24.56
1918,25.18,24.65,24.76,24.70,23.97,23.41,22.41,22.88,22.92,23.96,25.21,25.23
1919,25.07,25.40,25.17,24.84,24.55,23.22,22.54,22.72,23.24,23.70,24.90,25.11
1920,25.09,24.83,25.47,25.15,24.73,24.67,23.69,23.63,23.91,24.35,24.60,25.01
1921,24.99,25.42,25.47,24.45,24.54,24.70,23.62,22.99,24.08,24.63,24.64,25.17
1922,25.70,25.56,25.00,24.63,23.87,24.11,23.75,22.70,24.00,24.69,24.55,25.60
1923,25.67,24.74,24.37,24.48,24.49,23.48,22.21,23.51,22.63,24.24,24.96,25.65
1924,25.57,25.74,25.57,25.03,24.65,24.31,23.20,23.46,24.08,25.00,25.65,25.15
1925,25.58,25.48,25.06,24.42,24.11,23.80,23.01,23.06,23.57,23.78,24.77,25.49
1926,25.19,25.69,25.71,25.25,25.25,24.25,23.74,23.92,24.40,24.95,24.97,25.41
1927,25.26,25.37,25.87,25.20,24.96,24.74,23.67,22.89,23.21,24.03,24.67,25.18
1928,25.33,25.74,25.23,25.53,24.44,23.71,22.99,23.35,24.07,24.76,25.06,25.96
1929,24.94,24.55,24.99,25.20,24.00,23.98,23.54,22.93,23.10,24.34,25.02,24.82
1930,25.28,25.04,24.85,24.79,25.28,24.27,23.02,23.13,23.01,24.11,24.41,24.98
1931,25.85,25.13,24.77,23.95,24.38,23.39,22.61,23.82,23.20,24.63,24.33,25.08
1932,25.52,25.62,25.47,25.80,25.07,24.05,22.85,22.94,23.69,24.55,25.06,25.37
1933,25.83,25.44,25.60,25.18,24.59,24.20,23.96,23.77,24.21,24.68,24.94,25.10
1934,25.31,25.63,24.99,25.32,24.83,24.71,23.92,23.61,23.32,24.33,25.68,25.06
1935,25.82,25.80,25.12,24.79,24.18,24.08,23.94,22.97,23.83,24.54,24.56,25.33
1936,25.69,25.16,25.32,25.12,24.24,24.20,23.82,23.03,23.92,24.25,24.95,25.53
1937,25.49,25.40,25.43,24.95,24.94,24.44,23.90,23.39,23.95,24.54,25.28,25.60
1938,25.43,25.10,25.17,25.41,24.55,24.46,23.68,23.72,23.43,24.10,24.94,24.97
1939,25.26,24.96,24.89,25.00,24.36,24.19,23.68,23.16,23.72,24.23,25.12,25.71
1940,25.07,25.05,24.85,24.99,24.95,24.50,23.59,23.51,23.60,23.66,25.25,25.70
1941,25.11,24.92,25.16,24.55,24.55,23.70,22.44,22.34,23.00,24.50,24.39,24.70
1942,25.47,25.49,25.08,25.80,25.30,24.69,24.61,23.74,24.38,24.74,25.00,25.33
