Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-6.52,-6.03,1.61,8.37,13.98,17.46,19.92,18.21,13.47,10.09,2.03,-0.75
1902,0.15,-4.11,1.95,6.38,10.04,15.62,16.31,15.94,12.45,6.96,-0.52,-6.13
1903,-3.51,0.75,5.35,6.89,13.55,16.25,17.84,16.52,14.07,8.48,3.25,-2.57
1904,-4.22,-1.27,1.40,8.42,11.62,15.59,18.58,17.39,12.50,8.34,1.72,-0.69
1905,-5.78,-1.58,3.10,6.30,13.61,18.38,19.03,17.95,13.57,5.33,3.23,-1.42
1906,-2.62,-1.89,2.04,9.93,15.21,16.02,18.77,16.95,12.68,8.34,5.54,-4.57
1907,-5.07,-4.79,0.82,6.32,14.27,15.95,16.56,16.27,13.08,12.44,1.26,-3.08
1908,-3.77,-1.26,1.67,6.73,13.77,17.07,18.50,16.07,12.31,7.76,-0.82,-3.86
1909,-4.86,-6.46,0.94,7.05,10.79,15.71,16.72,17.39,14.43,10.94,1.04,-0.48
1910,-1.66,0.57,3.08,8.67,14.06,18.01,17.25,16.78,12.93,8.00,1.65,0.39
1911,-2.72,-3.63,2.97,8.20,14.21,15.77,18.72,19.30,14.45,8.67,4.22,-0.57
1912,-7.63,-2.31,4.89,6.74,11.73,17.15,19.09,16.38,10.31,5.81,1.27,0.89
1913,-4.44,-1.81,5.11,9.03,12.61,15.43,16.55,16.51,13.54,8.70,5.17,0.27
1914,-5.43,-0.02,3.89,9.83,12.92,16.34,19.59,17.59,12.49,7.41,1.37,0.79
1915,-2.65,-1.80,-0.60,8.28,13.37,17.55,18.04,16.20,12.02,6.72,0.83,-0.17
1916,-0.24,-1.87,3.60,9.09,12.99,14.74,17.71,16.53,12.50,7.94,4.14,-0.02
1917,-5.46,-7.08,-1.82,5.73,13.52,19.23,18.35,18.87,14.68,9.03,4.36,-3.55
1918,-2.32,-1.92,2.48,11.66,13.43,14.08,17.85,16.99,14.18,9.64,2.06,-0.92
1919,-2.34,-2.80,2.03,7.43,10.71,15.66,16.78,16.27,15.55,7.18,-0.83,-2.51
1920,-2.43,-0.57,5.08,12.09,14.86,14.95,19.50,17.07,13.67,5.56,0.23,-2.66
1921,0.73,-2.80,5.52,9.26,15.21,15.38,18.92,18.37,12.92,9.52,-0.83,-2.97
1922,-7.03,-5.13,2.76,7.09,13.39,16.22,17.80,16.58,11.77,5.29,0.99,-0.86
1923,-1.42,-3.99,3.32,6.69,13.22,12.73,18.55,16.10,13.84,10.61,3.42,-3.43
1924,-7.42,-6.07,0.13,6.26,14.37,16.33,17.37,16.80,14.90,9.28,1.97,-1.76
