Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,8.30,6.85,9.96,13.54,15.72,20.42,21.75,22.35,18.93,14.05,10.04,7.38
1902,8.04,8.86,11.68,13.31,14.40,17.63,21.38,21.29,19.04,14.53,11.92,8.79
1903,8.13,9.70,11.21,13.38,14.36,18.04,21.41,22.29,18.81,15.82,12.17,7.71
1904,7.97,9.19,9.50,13.60,16.94,19.35,21.70,21.99,18.58,16.73,11.32,10.23
1905,7.51,7.70,11.90,14.06,15.26,18.17,21.81,21.20,18.48,14.44,10.03,8.56
1906,8.78,7.81,10.35,11.65,15.17,19.94,21.49,22.85,20.02,15.82,11.17,8.00
1907,7.28,7.54,11.46,12.60,14.35,19.13,20.27,22.25,20.33,13.88,11.31,10.41
1908,8.79,8.87,9.34,11.29,16.82,18.07,21.17,21.53,19.94,16.55,12.62,9.59
1909,7.25,7.41,9.98,13.91,16.15,16.79,21.12,21.61,18.14,16.04,11.30,10.20
1910,7.98,9.99,9.73,12.25,13.87,18.52,20.46,20.96,19.31,15.49,11.52,9.71
1911,5.86,9.08,9.64,11.40,14.71,17.74,22.32,22.29,21.51,14.78,11.16,10.27
1912,8.47,11.12,12.08,12.79,16.82,18.09,19.33,20.00,18.61,14.62,10.68,7.96
1913,9.65,8.94,10.89,11.88,15.45,19.98,21.19,20.82,18.15,15.24,12.26,8.19
1914,6.62,9.68,11.20,13.29,15.53,17.28,20.13,21.17,20.58,15.66,10.81,9.20
1915,7.71,8.34,11.06,11.33,15.74,18.37,21.69,22.31,19.48,14.51,11.36,10.26
1916,8.47,8.53,9.23,12.46,15.72,18.32,20.76,21.93,19.43,16.22,11.36,9.57
1917,7.17,8.11,9.29,11.45,15.60,18.90,22.07,20.52,20.56,14.27,11.19,6.99
1918,8.95,9.33,9.98,11.21,15.79,19.62,21.51,22.44,18.91,13.30,11.02,9.65
1919,7.47,10.33,10.38,11.87,15.59,20.30,20.34,22.97,20.05,14.09,9.78,8.00
1920,8.50,9.81,10.94,13.44,16.53,19.06,20.40,21.02,19.88,14.62,11.07,8.46
1921,8.51,8.94,10.76,12.49,15.10,19.28,22.55,21.57,20.14,17.69,11.31,8.30
1922,8.27,9.55,9.79,12.15,17.79,18.56,20.79,21.74,18.33,15.75,11.47,8.08
1923,7.01,9.67,11.76,11.17,15.44,18.98,22.07,23.15,19.29,17.40,10.88,7.43
1924,8.56,7.11,11.41,13.27,17.16,20.17,21.97,21.31,19.21,15.99,11.39,9.28
1925,8.14,8.26,8.74,11.90,14.40,18.59,20.01,21.91,19.38,16.10,10.25,10.49
1926,9.28,11.90,12.14,13.10,14.47,18.68,22.04,23.31,22.88,17.55,11.07,8.04
1927,8.46,8.54,11.68,13.76,16.66,19.68,20.19,21.37,19.00,16.80,10.80,9.54
1928,7.78,10.15,11.16,12.04,14.00,19.44,23.87,22.21,20.47,15.74,11.01,7.90
1929,7.45,9.53,11.80,13.64,14.56,19.93,22.15,21.94,20.11,15.76,11.46,10.43
1930,9.25,7.14,11.43,11.20,15.74,18.21,20.83,22.90,20.53,17.50,12.80,10.19
1931,8.22,8.72,11.85,13.06,15.08,20.30,21.06,20.82,18.90,16.12,12.08,7.78
1932,7.81,7.26,11.30,11.38,15.01,17.94,20.20,22.24,19.68,14.68,12.11,9.58
1933,7.42,8.48,11.08,14.32,17.55,18.09,22.34,24.08,19.50,15.77,9.65,6.32
1934,6.95,7.70,9.11,11.54,16.48,20.06,22.49,20.65,20.29,16.75,9.73,11.08
1935,6.67,7.96,11.54,12.90,13.41,18.50,22.38,21.70,20.46,14.45,11.04,9.84
1936,10.68,10.28,10.58,12.67,13.40,16.99,20.43,22.72,20.40,14.46,10.39,7.65
1937,8.68,10.59,10.21,13.91,15.85,18.71,22.34,22.25,19.54,16.05,13.34,8.49
1938,7.75,8.43,12.24,13.61,14.83,20.45,21.19,21.06,17.98,16.25,13.10,8.70
1939,9.88,9.23,10.36,12.14,14.93,17.95,21.18,20.94,20.10,14.84,11.48,9.15
1940,8.20,10.77,13.15,13.72,15.34,18.72,20.78,22.98,19.78,14.41,11.16,7.34
1941,7.53,9.78,11.24,12.18,13.60,19.21,21.69,21.75,20.59,16.83,11.04,7.71
1942,7.91,7.30,11.98,13.16,16.20,19.82,21.66,21.56,19.93,17.26,11.66,9.41
1943,9.03,9.17,11.21,14.95,17.54,21.44,21.42,23.27,19.31,15.62,10.37,8.81
