Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,27.25,27.36,26.36,21.89,21.65,19.82,20.36,20.94,24.64,25.94,26.08,27.39
1902,27.28,28.49,26.60,24.27,22.44,21.28,20.03,18.19,24.13,24.49,26.56,27.68
1903,27.47,27.52,26.15,22.69,20.14,19.75,19.27,20.18,24.35,23.59,25.55,26.50
1904,26.76,26.71,26.15,23.93,19.93,18.76,20.35,20.49,23.75,23.87,25.65,26.12
1905,26.64,26.52,26.16,22.52,20.79,20.10,18.59,20.51,23.19,25.80,25.18,26.75
1906,27.73,28.46,27.40,24.09,22.59,18.23,19.63,20.72,22.64,25.19,26.46,26.95
1907,27.83,27.62,26.74,23.32,20.11,18.64,18.93,19.61,22.82,24.47,26.44,27.82
1908,28.10,27.35,26.58,23.08,20.83,19.60,19.97,19.70,22.84,24.17,26.02,27.11
1909,28.47,26.91,26.08,23.90,18.71,18.29,19.12,22.16,23.51,24.13,25.66,26.21
1910,27.86,26.64,25.45,23.88,20.29,20.16,19.15,21.46,22.84,24.44,26.01,26.73
1911,27.89,27.27,25.62,22.88,20.81,17.81,18.47,19.59,22.22,24.23,26.27,27.60
1912,27.98,28.20,26.70,23.68,20.98,18.90,17.49,19.89,22.10,24.47,26.07,27.26
1913,26.29,26.76,25.54,23.75,20.42,18.15,20.15,20.04,22.15,24.54,25.77,26.41
1914,27.46,26.72,25.99,23.01,20.56,19.86,19.89,19.70,21.83,23.63,25.27,26.40
1915,27.75,28.18,24.84,24.57,21.94,16.19,18.29,20.57,21.62,24.22,25.19,26.76
1916,27.53,26.08,25.10,23.59,20.39,17.48,17.16,19.53,23.65,23.78,25.91,26.32
1917,27.78,26.11,25.17,22.25,19.42,17.78,17.13,19.22,22.48,23.20,24.62,27.41
1918,27.25,25.48,25.02,22.95,19.53,18.22,18.04,19.72,22.71,24.34,26.10,26.71
1919,28.01,26.94,26.09,24.02,22.59,18.78,19.99,19.70,22.29,25.05,26.54,27.47
1920,27.93,27.37,26.50,24.37,20.65,17.68,17.07,18.87,22.65,24.52,26.32,27.07
1921,27.57,26.84,25.58,23.01,21.97,16.66,17.25,20.60,21.66,24.38,25.23,27.85
1922,27.18,27.09,25.64,23.31,20.20,16.84,19.55,19.99,22.39,22.83,26.03,26.66
1923,27.48,27.46,26.21,24.02,18.77,18.57,17.19,20.23,22.55,24.07,25.54,27.19
1924,26.93,27.49,26.39,22.65,19.18,18.85,18.22,18.65,21.73,23.37,25.12,27.32
1925,27.25,27.35,26.07,24.04,20.25,17.19,17.62,21.61,22.61,23.46,26.12,27.31
1926,28.34,27.72,27.88,23.71,19.96,20.62,18.54,20.82,23.62,25.13,26.55,26.54
1927,27.58,27.83,26.28,23.35,20.16,16.96,18.43,19.84,22.46,24.76,26.31,26.49
1928,27.65,26.75,26.26,24.63,20.33,17.48,17.92,19.34,21.72,23.82,26.30,26.58
1929,28.09,27.61,25.67,23.76,19.35,17.42,18.42,19.50,22.54,24.12,26.21,27.37
1930,27.64,26.93,26.57,24.30,20.89,21.98,18.64,19.79,22.17,23.51,25.33,27.39
1931,27.87,28.35,26.77,23.23,18.12,16.82,18.93,20.17,21.19,25.21,24.76,27.92
1932,28.53,27.77,26.49,23.81,19.13,18.97,21.66,19.34,23.04,25.15,26.92,27.53
1933,28.52,27.45,26.72,24.16,21.41,18.48,16.60,21.61,23.11,25.60,26.17,27.43
1934,28.26,25.95,27.41,21.45,21.26,21.30,19.17,20.58,22.98,23.76,26.07,27.40
1935,28.34,28.36,28.33,23.08,22.13,20.56,18.82,20.65,21.96,23.54,26.00,27.91
1936,28.46,27.06,27.01,23.78,22.79,19.93,18.97,18.80,23.63,25.65,26.45,27.75
1937,28.10,28.48,26.46,22.47,20.05,20.88,19.13,22.22,22.44,23.60,26.90,27.51
1938,27.51,26.80,26.16,21.83,20.92,19.61,19.81,19.14,23.29,24.31,26.54,27.75
1939,29.29,27.25,25.22,21.88,22.05,20.88,18.47,22.25,22.52,25.38,24.97,25.93
1940,27.07,26.85,25.60,24.02,22.75,20.44,21.16,19.65,22.83,23.26,25.09,28.58
1941,27.99,26.56,25.02,24.17,20.85,18.74,19.48,21.73,20.12,25.34,25.60,27.32
1942,28.55,28.19,25.67,23.62,19.17,16.12,16.46,21.38,22.82,24.46,27.14,27.79
1943,28.41,28.02,26.26,22.67,21.67,18.77,20.01,17.60,22.81,25.74,25.85,27.25
1944,27.95,28.20,25.68,23.04,21.34,20.24,20.20,22.90,25.62,26.02,25.67,28.46
1945,28.68,27.83,26.14,24.80,20.37,18.37,19.68,23.56,23.45,26.29,25.96,27.22
1946,26.90,28.48,25.73,23.60,20.98,17.52,17.40,21.83,24.73,24.73,27.45,26.72
1947,28.37,28.06,26.08,23.45,21.11,20.86,17.27,19.47,22.29,23.78,26.63,27.94
1948,29.50,27.46,26.06,23.35,20.93,20.70,19.77,19.95,24.53,24.73,25.67,28.39
1949,27.72,27.87,27.39,23.23,21.67,19.88,18.67,20.48,22.74,22.95,27.24,27.47
1950,26.72,26.98,25.49,24.03,22.65,19.63,19.17,22.23,22.59,23.95,25.86,27.70
1951,27.72,26.23,25.97,20.85,22.45,20.16,20.86,20.94,23.86,25.83,26.45,27.03
1952,28.98,27.50,27.65,21.85,22.33,15.44,20.08,22.07,22.31,24.70,25.91,27.83
1953,28.46,28.24,27.74,22.80,21.29,19.13,15.80,24.03,25.95,24.00,26.56,28.29
1954,27.67,28.06,26.27,24.12,19.24,19.17,18.35,21.09,22.80,24.46,28.31,28.05
1955,29.14,29.06,25.23,23.59,20.33,20.00,15.56,20.89,23.70,23.38,27.07,27.53
1956,26.57,27.04,26.36,22.09,17.64,16.79,18.24,19.30,23.27,24.60,25.52,27.87
1957,27.79,26.30,27.53,22.32,22.62,18.83,16.53,21.08,20.85,25.73,25.69,28.06
1958,29.06,28.93,26.08,23.22,19.82,21.12,21.07,18.10,22.99,24.20,26.22,26.36
1959,27.47,28.03,26.62,24.03,20.93,19.54,21.18,19.40,23.29,25.10,25.85,27.00
1960,28.50,27.00,26.12,22.74,18.54,19.69,19.38,20.43,23.57,25.42,25.79,28.18
1961,28.71,27.97,25.70,23.67,21.85,18.69,19.65,24.14,23.77,26.31,26.77,28.14
1962,27.48,27.28,26.91,23.21,19.50,18.08,14.64,19.71,23.97,23.06,27.68,28.88
1963,28.65,27.64,27.13,24.22,21.47,19.07,21.08,22.64,23.88,26.84,26.66,28.17
1964,29.07,27.88,26.29,24.63,21.96,17.36,17.30,20.59,22.92,23.74,25.57,26.38
1965,27.30,27.73,24.54,23.52,21.01,22.00,18.65,21.65,22.19,25.50,26.20,26.68
1966,28.10,26.93,26.07,24.08,21.01,20.71,19.60,19.20,22.44,25.15,27.09,27.78
1967,27.23,27.42,25.40,24.26,24.24,16.54,19.44,21.94,23.79,26.84,25.88,28.07
1968,27.35,27.47,26.11,21.01,18.76,19.34,20.25,20.80,21.51,25.53,28.33,28.09
1969,27.51,28.38,26.67,22.91,21.97,18.44,20.43,19.19,24.49,24.09,26.46,27.08
1970,28.58,27.44,26.56,25.08,21.76,19.22,18.62,19.60,23.19,24.92,24.34,27.77
1971,27.35,26.78,25.71,21.94,19.25,16.27,19.80,20.29,24.36,22.86,25.76,27.37
1972,27.68,27.14,26.09,21.83,22.85,21.62,18.71,19.44,23.57,24.22,25.94,26.59
1973,28.85,28.44,26.86,25.16,20.61,19.28,17.24,17.63,21.73,24.77,25.06,26.31
1974,28.03,26.63,25.43,22.53,20.66,18.23,20.07,19.60,21.85,23.13,25.79,26.71
1975,27.19,27.88,25.83,23.48,20.53,20.00,17.27,19.56,22.56,23.69,25.19,27.10
1976,27.46,26.74,24.86,22.14,19.54,17.91,18.74,19.34,21.36,24.56,25.68,27.04
1977,27.12,28.09,26.96,22.88,20.21,19.96,21.44,20.14,24.20,25.83,26.03,27.53
1978,27.97,27.60,27.53,22.51,20.17,19.52,21.67,19.21,23.15,25.71,26.39,27.33
1979,28.32,27.50,25.35,21.88,19.98,18.20,19.12,22.72,21.03,25.46,25.43,26.75
1980,27.03,27.37,27.75,25.02,22.05,18.14,18.27,20.76,20.91,24.62,25.20,27.26
1981,27.35,27.18,26.16,23.84,23.37,17.38,17.77,21.63,21.34,24.32,26.21,26.43
1982,27.51,26.44,25.29,23.45,20.88,19.09,20.16,21.53,23.29,24.37,25.44,26.37
1983,27.98,27.15,25.82,23.62,21.21,16.08,17.70,19.44,20.66,24.76,24.93,27.82
1984,27.84,28.31,26.42,21.71,22.38,17.44,19.94,17.76,23.01,26.97,25.41,25.42
1985,27.51,27.36,26.59,23.50,22.11,19.10,18.32,19.28,22.01,25.43,27.44,28.84
1986,28.58,27.41,25.42,24.88,21.85,20.72,18.93,21.32,22.06,23.91,26.73,27.09
1987,27.75,26.26,26.06,23.88,17.97,18.14,21.53,19.18,21.79,24.41,26.81,26.18
1988,28.14,26.34,27.67,23.50,18.13,18.04,16.58,21.81,22.05,24.21,26.61,28.23
1989,27.14,27.74,25.56,23.21,20.11,19.20,17.52,20.23,20.75,24.28,25.97,27.55
1990,27.89,26.77,27.12,24.62,19.45,17.15,15.87,21.45,21.34,25.98,27.32,27.60
1991,27.85,27.02,26.85,24.10,21.97,19.60,18.82,20.90,23.68,23.97,25.19,27.50
1992,27.19,27.34,25.31,22.88,21.18,21.19,15.62,19.29,21.41,24.23,24.67,27.35
1993,28.00,26.69,27.00,24.52,20.65,19.22,17.55,19.54,21.86,24.89,26.28,27.53
