Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,16.29,17.91,22.42,27.03,32.33,33.77,35.56,34.88,33.84,29.70,24.80,20.80
1902,17.86,19.11,23.75,27.20,30.89,33.77,33.86,34.18,32.23,28.02,22.93,18.03
1903,15.39,16.61,20.15,24.30,30.79,33.47,33.86,35.44,32.71,27.42,22.03,18.03
1904,17.17,17.61,20.95,25.30,29.79,32.45,34.46,33.95,31.41,28.22,25.13,18.43
1905,15.76,16.31,19.75,25.78,30.09,32.97,34.26,34.47,32.31,29.32,24.33,18.23
1906,15.97,16.92,20.15,24.10,30.89,32.37,33.96,33.38,31.31,28.72,24.93,20.13
1907,16.93,16.31,20.55,24.50,31.09,32.67,34.33,33.78,31.61,29.02,22.23,18.53
1908,16.76,16.64,21.28,26.50,30.19,34.17,33.88,34.58,32.91,28.72,24.43,19.43
1909,16.17,19.21,22.65,26.90,30.99,32.45,34.86,34.58,32.11,28.82,24.33,18.83
1910,15.96,18.21,19.25,24.28,30.09,31.87,34.25,34.58,32.01,27.62,23.33,17.03
1911,13.16,15.21,18.75,24.20,29.46,31.27,34.26,33.48,30.81,27.82,22.94,19.66
1912,15.97,17.61,21.15,24.90,29.69,33.88,33.76,33.18,31.71,28.22,24.14,18.03
1913,16.16,16.01,19.05,26.20,31.20,32.27,33.36,32.38,31.91,28.72,23.83,18.93
1914,18.33,17.58,21.15,26.30,30.46,31.87,33.46,33.88,31.11,29.72,24.73,18.93
1915,17.87,18.51,21.75,25.56,30.29,34.71,34.05,34.48,33.11,28.02,24.23,18.73
1916,16.56,16.27,22.59,24.52,31.39,33.67,35.26,34.88,31.50,27.01,24.43,19.23
1917,16.76,18.51,19.98,26.77,30.56,33.04,35.73,34.98,32.61,27.74,24.43,18.02
1918,16.76,17.74,19.88,24.62,29.82,31.47,34.22,34.31,32.23,30.05,24.90,19.61
1919,18.64,18.95,21.02,26.77,30.19,31.77,33.88,34.58,32.51,29.79,25.17,19.80
1920,17.34,15.91,22.49,26.10,31.29,33.77,33.95,34.58,33.11,30.35,24.43,16.22
1921,16.86,17.58,22.32,28.17,30.02,33.48,35.56,34.68,33.01,28.49,24.23,18.29
1922,17.99,17.91,21.02,26.00,30.02,34.35,34.86,35.08,32.07,28.75,25.71,19.96
1923,17.06,17.38,22.69,24.52,30.46,33.57,34.96,33.40,31.77,29.12,23.03,19.86
1924,18.14,17.65,24.06,26.20,31.69,34.55,35.26,34.22,32.31,30.35,24.71,18.49
