Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.42,22.24,21.91,20.60,18.87,17.41,16.62,16.23,17.16,18.44,20.47,21.24
1902,22.44,22.25,21.66,20.95,19.08,17.41,16.78,16.33,17.87,18.68,20.26,21.45
1903,22.22,22.14,21.92,20.86,19.23,17.76,16.52,16.58,16.96,18.29,20.01,21.35
1904,21.98,22.14,21.77,20.60,19.12,17.32,16.42,16.58,17.06,18.78,20.46,21.55
1905,22.29,22.24,21.66,20.46,19.17,17.86,16.52,16.68,18.02,18.87,19.91,21.35
1906,22.53,22.34,22.11,20.86,19.02,17.41,16.52,16.43,17.26,18.43,19.97,21.35
1907,22.19,22.24,21.66,20.71,19.02,17.47,16.21,16.53,17.46,19.03,20.12,21.24
1908,22.29,22.14,21.97,20.80,18.77,17.66,16.62,16.74,17.66,19.03,20.32,21.30
1909,22.09,22.24,21.77,20.71,18.77,17.06,16.87,16.53,17.66,18.29,20.21,21.84
1910,22.23,22.25,21.77,20.85,18.83,17.16,16.52,16.58,17.51,18.77,19.60,21.14
1911,22.12,21.99,21.66,20.35,18.77,17.26,16.67,16.53,17.46,18.77,20.01,21.79
1912,22.42,22.14,22.11,20.86,19.22,17.52,16.62,16.68,17.87,18.78,20.47,21.45
1913,21.98,22.14,22.01,20.46,19.32,17.36,16.42,16.84,17.53,18.98,20.01,21.24
1914,22.08,22.40,21.86,20.85,19.03,17.66,16.52,16.68,17.62,18.68,19.86,21.75
1915,22.29,22.34,21.87,21.01,19.12,17.41,16.83,16.33,17.31,18.99,20.12,21.44
1916,22.23,22.14,21.91,20.81,18.88,17.37,16.18,16.59,17.37,18.64,19.66,20.99
1917,21.98,21.79,21.60,20.60,19.23,17.57,16.78,16.54,17.26,18.03,19.91,21.03
1918,22.29,22.04,21.76,20.50,18.87,17.52,16.47,16.43,17.41,18.78,20.06,21.49
1919,22.23,22.29,21.91,20.46,18.57,17.37,16.28,16.93,17.87,18.64,20.37,21.59
1920,22.18,22.14,21.76,20.40,19.02,17.06,16.21,16.59,17.87,18.99,19.92,21.24
1921,22.08,22.14,21.60,20.46,18.88,17.36,16.52,16.54,17.51,18.87,20.01,21.19
1922,21.92,22.14,21.77,20.16,18.83,17.20,16.27,16.53,17.17,18.49,20.11,21.55
1923,22.38,22.29,22.01,20.91,19.22,17.46,16.83,16.33,17.66,18.77,20.32,21.49
1924,22.23,22.24,22.06,20.60,19.12,17.47,16.77,16.68,17.53,18.58,20.01,21.30
1925,22.12,22.24,21.76,20.86,18.77,17.86,16.97,16.44,17.97,18.84,20.01,21.49
