Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-16.51,-18.07,-17.34,-14.34,-6.95,-0.99,2.52,1.70,-1.85,-7.00,-12.50,-16.42
1902,-17.60,-17.83,-17.86,-14.65,-7.06,-1.63,2.06,1.61,-2.32,-8.01,-12.25,-15.41
1903,-17.06,-17.31,-16.85,-14.49,-6.84,-1.28,2.09,1.73,-2.18,-8.19,-12.25,-15.61
1904,-16.67,-18.10,-17.12,-14.08,-6.95,-1.20,2.22,1.70,-1.95,-7.23,-12.84,-16.48
1905,-17.22,-17.61,-17.16,-14.45,-6.70,-1.12,2.47,1.79,-2.08,-7.88,-12.56,-15.56
1906,-16.82,-17.51,-17.74,-14.31,-6.92,-1.19,2.47,1.40,-2.12,-7.50,-12.38,-15.80
1907,-17.48,-17.25,-16.82,-14.16,-7.03,-0.85,2.31,1.61,-2.31,-7.32,-11.76,-15.98
1908,-17.10,-17.65,-17.12,-14.35,-6.98,-1.27,2.33,1.73,-2.14,-7.23,-12.70,-15.60
1909,-16.69,-17.39,-17.56,-14.67,-7.14,-1.39,2.41,1.84,-2.04,-7.45,-12.86,-15.85
1910,-17.07,-16.87,-16.97,-14.43,-6.72,-1.27,2.15,1.51,-2.17,-7.69,-12.46,-15.79
1911,-16.92,-17.65,-17.08,-14.51,-6.71,-1.33,2.31,1.83,-1.93,-7.88,-12.18,-15.15
1912,-25.06,-26.65,-21.86,-20.90,-9.24,-0.79,0.97,-0.06,-5.04,-10.47,-14.12,-14.50
1913,-17.55,-20.88,-18.74,-12.42,-8.41,-2.33,1.91,2.19,-1.98,-10.53,-9.64,-15.14
1914,-22.39,-23.37,-20.30,-13.09,-8.35,-0.71,1.90,1.75,-3.29,-6.70,-14.11,-18.54
1915,-16.55,-20.40,-22.32,-13.51,-11.62,-1.36,1.48,0.82,-3.26,-7.03,-20.79,-23.70
1916,-24.50,-17.76,-21.53,-18.19,-9.44,-0.36,2.44,0.69,-2.85,-9.36,-17.79,-20.47
1917,-23.52,-26.97,-26.23,-23.41,-12.09,-2.23,0.18,0.30,-4.80,-9.47,-14.75,-21.65
1918,-26.38,-20.08,-18.76,-15.29,-6.05,0.01,4.01,0.87,-2.87,-9.12,-11.26,-10.17
1919,-10.29,-23.95,-23.52,-19.96,-5.13,0.86,1.54,1.50,-2.86,-7.41,-16.61,-15.88
1920,-15.74,-18.58,-12.78,-15.59,-5.45,-0.46,3.12,2.09,-1.94,-5.53,-9.83,-12.45
1921,-19.17,-19.31,-17.58,-12.81,-7.07,0.16,2.68,2.40,-3.14,-9.94,-12.84,-13.46
1922,-10.07,-13.18,-20.02,-14.99,-6.42,1.30,4.27,2.81,-0.91,-6.86,-9.82,-17.11
1923,-15.58,-17.04,-14.55,-13.76,-7.19,-1.60,2.85,1.73,-1.44,-5.67,-10.21,-12.46
1924,-12.47,-14.61,-21.21,-15.32,-6.53,-2.08,3.85,2.48,-1.66,-5.30,-11.04,-11.44
1925,-12.94,-15.53,-13.96,-13.89,-8.26,0.38,3.45,2.76,-0.18,-8.77,-12.89,-17.84
1926,-15.71,-18.51,-19.10,-13.37,-8.76,-1.49,1.74,0.91,-1.50,-8.66,-14.01,-14.49
1927,-17.15,-14.01,-18.96,-17.98,-8.66,-1.43,3.02,2.52,-3.38,-8.45,-12.33,-17.49
1928,-13.45,-14.84,-16.86,-15.43,-7.62,-2.14,1.84,1.64,-1.91,-9.84,-13.57,-15.96
1929,-20.90,-11.73,-23.87,-21.10,-8.93,-2.12,0.78,0.60,-2.17,-8.69,-12.34,-7.98
1930,-15.68,-14.31,-20.63,-11.81,-5.82,0.27,3.90,3.08,-2.29,-7.51,-9.74,-9.53
1931,-15.32,-12.16,-19.16,-10.44,-7.59,-1.54,2.80,2.29,-2.68,-8.48,-5.69,-11.86
1932,-16.36,-15.56,-16.67,-17.30,-7.62,-1.46,2.15,2.22,-3.50,-7.09,-12.01,-11.33
1933,-8.14,-13.92,-17.00,-15.75,-6.42,-0.25,2.72,2.17,-0.13,-7.09,-9.79,-12.07
1934,-11.34,-18.52,-11.41,-16.10,-6.04,-0.62,3.56,3.66,1.16,-5.39,-9.31,-11.36
1935,-15.52,-16.24,-16.37,-14.05,-9.03,-1.53,2.63,2.91,-3.82,-4.95,-7.17,-11.99
1936,-13.38,-18.89,-21.41,-14.49,-4.15,-0.48,1.63,2.49,-1.69,-6.36,-9.91,-11.86
1937,-7.88,-18.20,-16.24,-10.17,-4.71,0.01,3.34,3.50,-1.48,-5.74,-9.86,-9.55
1938,-11.81,-12.59,-15.26,-13.40,-6.65,0.01,3.45,2.36,-1.03,-3.79,-8.08,-6.09
1939,-14.46,-14.68,-14.73,-13.60,-5.76,-1.76,3.00,3.34,-2.68,-6.52,-9.83,-15.04
1940,-14.23,-19.50,-20.43,-17.86,-4.74,-0.32,1.67,1.57,-0.75,-6.42,-11.03,-13.22
1941,-20.86,-19.57,-17.59,-16.65,-8.89,-2.12,3.29,1.89,-2.50,-8.90,-8.69,-14.51
1942,-12.27,-16.29,-21.78,-17.22,-8.51,-1.61,2.68,1.49,-2.37,-6.86,-11.66,-13.82
1943,-16.28,-17.37,-18.65,-14.64,-7.17,-0.70,2.34,0.93,-2.13,-6.74,-10.62,-13.19
1944,-15.05,-14.02,-14.95,-16.23,-7.00,-1.24,1.96,0.88,-1.70,-5.06,-10.33,-10.62
1945,-16.15,-12.46,-16.29,-13.51,-7.00,-1.31,2.40,1.69,-1.52,-8.56,-13.76,-13.67
1946,-14.14,-17.93,-16.97,-13.78,-7.43,-1.53,3.35,2.03,-0.42,-7.40,-13.08,-10.11
1947,-8.74,-18.45,-20.72,-14.21,-7.09,-0.85,1.68,2.00,-2.04,-6.82,-12.39,-16.37
1948,-20.53,-17.70,-17.24,-13.61,-7.83,-2.20,1.61,0.36,-1.47,-6.32,-13.56,-16.89
1949,-18.54,-12.55,-13.62,-15.30,-7.70,-1.47,1.45,1.12,-2.53,-9.70,-9.26,-10.58
1950,-12.93,-15.85,-14.26,-11.43,-6.82,-1.12,2.18,2.82,-0.69,-4.27,-8.20,-15.97
1951,-19.32,-13.17,-17.64,-15.00,-7.68,-1.37,1.38,2.28,-1.91,-6.40,-15.70,-17.86
1952,-16.76,-17.87,-18.24,-14.22,-7.01,0.14,2.05,0.80,-2.18,-6.75,-9.44,-15.70
1953,-16.79,-16.78,-20.32,-15.99,-6.50,0.83,3.04,3.13,-1.82,-4.11,-6.34,-9.63
1954,-13.37,-12.06,-16.60,-12.10,-4.82,-0.84,3.03,1.97,-1.71,-6.22,-8.23,-9.76
1955,-17.67,-17.54,-14.63,-13.29,-8.07,-1.88,1.75,1.81,-0.04,-7.36,-14.32,-16.68
1956,-14.72,-14.10,-15.55,-14.28,-7.60,-1.39,2.93,1.55,-2.98,-6.87,-8.42,-9.43
1957,-12.04,-15.23,-14.60,-11.88,-6.06,-1.18,2.60,2.37,-1.38,-3.63,-10.70,-16.37
1958,-13.12,-16.55,-17.56,-13.65,-6.28,-1.07,2.35,1.38,-2.58,-7.01,-10.82,-16.48
1959,-20.25,-16.29,-16.06,-12.64,-5.67,-0.52,2.11,1.88,-2.01,-3.96,-6.90,-11.31
