Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-7.40,-5.59,2.23,8.10,13.27,17.16,18.72,17.18,12.79,9.91,1.56,0.56
1902,0.34,-1.52,2.17,6.86,9.17,14.95,16.32,16.68,12.76,7.64,-0.96,-6.15
1903,-4.28,1.29,5.12,5.72,12.83,15.16,17.09,16.59,13.60,9.19,3.79,-1.73
1904,-4.41,0.32,2.53,8.34,12.01,16.00,19.22,17.69,12.16,8.53,1.17,-1.26
1905,-6.45,-1.35,3.47,6.14,12.79,17.18,19.22,18.27,14.25,4.94,3.61,-1.35
1906,-2.91,-1.27,2.61,8.95,13.73,15.26,17.88,16.53,12.11,8.22,5.44,-4.17
1907,-4.73,-4.46,0.16,5.50,14.75,16.13,16.16,16.81,12.97,12.41,1.33,-1.22
1908,-4.41,-0.54,1.98,6.61,15.06,17.58,17.63,15.58,11.83,7.45,-1.66,-3.81
1909,-5.19,-5.59,1.57,8.00,11.33,15.48,16.42,17.56,14.20,10.62,1.62,0.08
1910,-1.59,1.59,3.29,7.79,12.94,17.02,16.56,16.63,12.29,8.30,1.89,0.97
1911,-2.89,-3.14,3.12,7.55,13.11,15.44,18.94,18.67,14.11,8.53,4.82,-0.03
1912,-6.31,0.18,5.32,6.01,11.86,16.83,17.78,15.49,9.71,5.95,0.51,0.01
1913,-4.32,-2.16,5.27,8.06,11.91,15.20,14.99,15.40,13.22,8.72,4.60,-0.09
1914,-6.70,-1.98,4.07,9.52,12.34,15.25,17.38,16.94,11.99,7.60,1.27,0.25
1915,-1.18,-0.83,0.55,7.76,13.44,17.44,17.12,15.31,11.14,7.08,0.50,1.68
1916,0.72,-1.19,5.39,8.08,12.87,14.62,17.27,16.49,12.08,8.07,4.48,1.20
1917,-3.76,-6.45,0.02,5.59,13.61,18.39,18.22,18.41,14.82,9.07,4.04,-3.77
1918,-1.51,-1.14,3.20,11.04,13.16,13.92,16.98,16.70,14.53,9.21,1.52,-0.40
1919,-1.19,-1.80,3.15,6.81,9.11,15.28,15.62,16.65,15.20,7.24,0.56,-1.66
1920,-0.54,-0.06,5.23,11.60,14.73,14.33,18.54,16.15,13.54,5.37,-1.22,-1.53
