Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-4.69,-4.76,2.95,8.14,12.43,16.48,18.18,17.02,13.74,9.77,2.09,1.23
1902,1.06,0.79,3.28,8.87,8.54,14.34,17.07,16.80,13.80,8.54,1.68,-1.82
1903,-2.87,2.18,5.36,4.77,12.42,15.03,16.89,17.19,13.84,9.70,4.37,0.01
1904,-2.16,1.53,4.30,8.99,13.06,16.55,19.30,17.54,12.12,9.02,2.82,0.42
1905,-4.76,-0.66,4.47,6.82,11.96,16.27,19.65,18.11,15.27,5.40,4.00,0.52
1906,-1.83,-0.51,3.18,7.80,12.58,14.88,17.57,17.21,12.28,9.72,5.92,-2.79
1907,-3.20,-2.23,1.12,5.51,13.76,16.31,16.33,17.70,14.38,12.50,3.57,0.42
1908,-2.62,0.28,1.90,5.87,15.16,17.66,17.62,15.81,12.25,8.85,0.60,-1.52
1909,-4.51,-3.63,1.94,8.81,11.64,15.02,16.40,17.31,13.79,10.70,2.28,1.95
1910,-0.70,1.99,4.31,7.38,11.58,16.00,16.03,16.73,12.01,9.75,2.21,2.90
1911,-2.74,-0.64,3.92,7.40,12.18,15.11,18.94,18.65,15.03,9.32,6.31,1.78
1912,-1.46,3.01,6.12,6.05,12.60,16.17,17.54,15.21,10.57,7.47,0.54,0.96
1913,-1.85,-1.10,5.95,7.90,12.07,15.58,14.71,15.44,13.35,10.40,5.73,-0.16
1914,-5.20,0.32,4.47,9.30,11.50,14.50,16.42,17.30,12.56,8.35,2.92,1.84
1915,-1.20,0.12,2.81,7.54,13.84,17.09,17.02,15.46,11.92,6.66,1.40,3.32
1916,1.41,0.63,6.23,7.91,13.19,14.73,17.44,16.89,12.10,8.71,5.48,2.31
1917,-2.03,-3.63,1.54,5.23,14.19,17.95,18.03,18.16,15.66,8.65,3.42,-2.45
1918,-0.22,0.41,4.07,9.44,13.13,13.31,16.94,16.37,14.93,8.31,2.64,1.48
1919,0.95,-0.51,4.34,6.03,9.57,15.33,15.06,17.64,15.18,7.04,2.01,0.10
1920,1.53,2.45,6.40,10.02,15.18,14.76,18.39,15.74,14.56,7.91,1.34,0.50
1921,2.05,0.25,5.31,6.74,14.06,14.80,19.39,18.37,14.47,10.93,1.45,-1.01
1922,-2.93,-1.40,5.37,6.77,13.41,16.47,17.62,17.97,12.40,7.10,1.61,0.54
1923,-0.63,0.59,4.34,7.23,13.68,12.58,18.75,18.00,13.48,11.61,4.79,-1.06
1924,-3.05,-2.05,2.64,7.69,14.29,15.74,17.53,14.82,14.82,9.23,3.40,0.29
1925,0.05,2.88,1.90,8.21,13.29,15.18,17.45,17.00,11.85,9.38,3.33,-2.26
1926,-2.13,4.31,3.86,9.24,11.55,13.98,16.65,16.51,15.45,10.01,8.80,-0.46
1927,0.00,-0.63,5.62,8.15,12.47,17.10,18.71,17.73,14.64,9.10,4.66,-1.68
1928,-0.92,1.02,2.78,8.69,10.12,15.71,20.46,18.81,13.83,9.56,5.50,-1.26
1929,-5.69,-5.22,2.69,5.56,13.74,16.22,18.64,18.47,15.27,10.00,5.14,1.58
1930,0.19,-0.52,5.52,8.90,12.00,18.19,17.34,16.90,14.65,8.74,5.91,0.10
1931,-1.05,-0.70,0.94,6.29,14.85,17.96,18.79,16.80,10.56,8.23,4.36,-1.89
1932,-0.28,-4.47,0.01,7.07,12.93,14.99,18.75,19.89,17.61,9.27,4.58,0.89
1933,-3.40,-0.60,4.33,7.05,10.87,13.41,18.03,17.71,13.86,9.20,3.29,-4.04
1934,-1.44,0.16,5.68,10.61,14.07,15.34,18.52,17.23,15.53,9.08,4.75,4.11
1935,-3.84,0.14,2.21,7.38,10.88,18.06,18.34,17.06,14.13,10.79,4.64,-0.47
1936,2.50,1.00,6.22,8.49,13.00,15.67,18.55,16.57,13.97,5.53,3.65,-0.16
1937,-2.26,1.62,4.53,7.24,14.25,17.15,17.82,16.75,13.73,9.83,3.28,-1.22
1938,-1.86,-0.50,6.36,4.53,11.20,17.91,18.00,17.26,13.57,10.48,5.84,-1.87
