Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-7.61,-11.62,-5.68,1.00,6.88,12.48,17.29,13.84,9.30,6.02,-4.92,-10.18
1902,-8.29,-9.66,-7.17,-1.51,3.72,9.57,10.81,10.41,6.32,0.58,-3.65,-8.29
1903,-9.21,-3.97,-0.96,-0.34,6.10,10.68,12.52,11.32,8.23,-0.24,-3.74,-5.49
1904,-5.32,-11.43,-5.81,1.19,4.90,10.50,12.68,11.59,8.17,3.18,-5.60,-9.23
1905,-9.51,-6.60,-3.81,-1.37,6.57,13.20,13.98,11.62,7.56,-0.92,-3.62,-4.68
1906,-6.45,-6.77,-6.36,1.82,6.84,11.89,14.01,11.53,7.91,3.14,-1.51,-7.71
1907,-9.35,-6.60,-2.54,0.84,4.56,11.05,12.23,9.97,7.14,5.47,-1.28,-8.74
1908,-7.11,-6.57,-5.90,0.42,5.14,10.39,13.83,12.81,7.53,4.37,-5.76,-5.55
1909,-5.31,-9.21,-7.01,-1.71,3.28,10.86,13.00,11.74,7.92,5.04,-6.80,-7.19
1910,-8.08,-3.74,-2.45,1.26,7.07,11.75,13.09,12.10,8.36,2.56,-4.46,-6.48
1911,-6.77,-7.09,-3.73,0.59,7.81,10.56,13.13,13.90,8.77,1.23,-3.59,-3.81
1912,-12.28,-10.63,-2.78,-0.28,5.62,11.83,15.22,12.65,6.58,0.93,-3.77,-5.23
1913,-10.55,-5.74,-2.96,1.61,6.84,11.27,14.32,12.26,8.31,2.36,-0.38,-8.31
1914,-8.26,-4.71,-4.63,2.48,5.81,12.11,17.00,12.61,8.40,1.99,-3.50,-4.74
1915,-10.94,-7.81,-7.71,0.48,4.56,9.53,13.83,11.93,6.69,0.70,-5.69,-14.50
1916,-7.35,-7.20,-7.05,0.86,5.21,10.39,15.31,11.06,6.71,0.36,-1.01,-6.81
1917,-13.08,-10.24,-8.96,-2.13,4.97,13.46,13.02,15.03,8.12,2.94,-3.04,-8.50
1918,-12.51,-6.80,-3.51,1.25,6.86,10.21,14.71,11.83,7.10,3.94,-0.20,-7.07
1919,-7.03,-9.99,-5.90,-0.32,8.02,11.55,15.23,10.82,8.39,1.27,-7.20,-10.42
1920,-8.18,-4.46,-0.17,1.87,7.69,11.27,14.25,11.59,9.04,2.21,-1.48,-6.68
1921,-8.03,-6.84,-1.16,3.68,8.45,10.52,12.72,11.97,7.53,2.46,-6.14,-6.52
1922,-11.53,-9.57,-5.42,-0.64,6.60,11.49,13.65,11.67,7.85,1.21,-3.63,-6.95
1923,-5.08,-10.57,-3.18,-0.86,4.77,7.78,13.79,10.88,7.71,2.91,-4.31,-9.01
1924,-9.00,-10.85,-7.52,-1.24,5.42,9.76,14.49,13.64,9.43,4.67,-1.68,-2.88
1925,-3.08,-4.91,-6.79,1.87,6.97,11.62,17.03,13.12,8.14,0.50,-6.55,-10.06
1926,-10.03,-10.12,-3.36,0.87,5.22,11.41,14.96,13.29,7.86,-0.73,-1.90,-8.26
1927,-7.83,-6.30,-2.80,-0.32,3.98,9.92,16.57,13.95,7.73,1.18,-7.14,-10.31
1928,-8.44,-7.02,-4.32,0.76,5.56,8.90,11.47,11.50,7.62,2.16,-2.97,-6.99
1929,-9.49,-12.79,-2.35,-2.44,6.48,10.15,12.29,11.20,8.50,3.17,-0.75,-1.47
1930,-3.60,-6.03,-3.49,2.05,7.83,12.85,15.57,13.93,6.99,3.42,-2.75,-4.72
1931,-9.55,-8.98,-7.22,-0.25,7.11,8.77,14.23,11.73,5.83,1.79,-0.26,-5.43
1932,-3.76,-4.78,-4.98,0.57,6.14,10.09,15.15,12.83,7.65,0.80,-2.02,-2.44
1933,-5.84,-8.76,-4.06,0.07,6.04,13.72,15.35,12.69,8.77,3.22,-4.30,-6.39
1934,-3.38,-4.28,-3.36,0.70,7.90,11.49,15.32,14.11,11.15,4.15,-1.93,-3.30
1935,-7.59,-6.29,-4.70,0.98,4.60,11.73,14.03,12.45,7.51,3.02,-0.29,-4.62
1936,-8.27,-10.84,-4.93,-0.20,7.57,14.26,15.12,13.16,7.78,1.28,-0.98,-1.92
1937,-6.39,-9.96,-6.20,2.79,8.91,12.53,16.53,15.58,8.72,5.03,-2.37,-8.24
1938,-6.57,-3.07,-0.70,1.40,6.17,11.12,15.37,14.41,9.72,4.90,0.45,-4.73
1939,-7.48,-3.15,-4.10,0.40,6.02,11.57,14.62,15.28,8.42,0.99,-1.54,-9.16
1940,-12.61,-13.77,-9.29,-0.79,8.06,13.02,14.05,11.67,7.34,2.78,-3.17,-7.97
1941,-14.30,-11.09,-6.59,-1.53,5.25,11.14,17.07,11.96,7.70,0.84,-4.05,-9.56
1942,-16.50,-13.39,-9.60,0.81,5.02,10.16,13.38,12.93,8.14,2.86,-2.32,-6.42
1943,-10.38,-3.55,-1.02,2.06,7.17,12.49,14.12,12.00,8.58,4.38,-1.89,-3.96
1944,-6.79,-5.86,-4.42,-0.77,4.89,10.04,14.92,13.85,8.41,4.46,-2.17,-3.12
1945,-9.91,-5.87,-2.67,2.21,6.22,11.37,15.70,14.41,7.75,1.90,-2.55,-8.00
1946,-6.93,-10.30,-5.70,1.97,6.97,11.03,15.28,12.95,9.57,2.17,-2.46,-3.97
1947,-7.75,-15.61,-9.39,0.43,8.22,13.51,15.53,14.36,10.31,2.56,-4.72,-7.76
1948,-12.07,-7.16,-1.42,2.96,7.37,11.28,15.00,11.75,8.59,2.00,-2.06,-2.38
1949,-4.85,-3.37,-4.53,1.62,7.70,10.92,13.66,11.80,11.14,3.46,-0.31,-4.81
1950,-10.92,-7.12,-2.79,2.18,7.11,12.16,13.73,14.33,8.78,3.92,-3.25,-7.70
1951,-11.03,-7.38,-7.14,0.76,4.73,10.22,12.40,14.18,9.60,4.80,-2.76,-3.85
1952,-8.04,-7.04,-6.66,2.46,5.98,10.63,13.31,11.19,6.22,0.64,-5.11,-8.69
1953,-8.33,-10.00,-0.94,2.09,6.71,14.99,14.20,12.93,8.03,5.36,-0.13,-3.01
1954,-8.69,-10.88,-3.48,0.06,8.29,11.19,14.10,12.52,8.30,2.20,-3.44,-3.47
1955,-9.36,-10.78,-6.54,-1.75,3.95,9.54,15.46,14.72,9.92,2.00,-3.38,-11.35
1956,-10.47,-12.80,-4.68,-1.75,6.88,11.13,13.85,10.69,7.85,2.25,-6.73,-6.67
1957,-5.41,-7.21,-5.49,0.55,5.25,9.97,15.03,12.33,7.12,3.28,-1.70,-6.16
1958,-10.77,-11.43,-8.50,-0.83,5.26,10.95,12.96,12.74,9.49,4.74,0.48,-8.46
1959,-10.26,-3.69,-0.71,1.52,7.03,12.00,14.88,14.05,8.28,3.59,-1.15,-5.53
