Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,5.12,9.90,14.30,17.21,20.17,25.88,28.62,28.35,24.56,18.91,12.45,9.26
1902,6.40,10.09,10.90,15.72,21.36,25.24,28.07,28.08,25.47,19.81,11.30,6.80
1903,4.84,6.52,9.24,16.55,21.57,24.74,27.34,27.66,23.62,18.78,11.62,7.86
1904,5.25,8.87,11.11,14.70,20.00,24.67,27.63,28.04,24.64,20.58,12.57,6.09
1905,4.28,5.33,9.67,15.95,21.00,25.12,28.62,28.38,25.65,21.16,14.32,6.47
1906,4.97,7.87,11.39,15.74,20.63,25.83,27.93,27.90,24.17,19.64,12.74,9.04
1907,5.61,7.28,9.65,15.07,21.01,25.37,28.54,28.12,23.74,19.09,10.80,7.27
1908,5.42,6.98,10.20,15.21,21.33,25.82,27.64,28.15,25.14,18.90,11.20,5.62
1909,4.92,7.51,12.45,14.41,23.25,25.13,29.27,28.33,25.61,20.14,14.05,8.95
1910,6.51,9.12,9.58,16.18,20.96,25.22,28.49,28.40,24.64,18.85,12.69,5.71
1911,3.58,4.78,8.95,14.96,20.81,24.80,28.26,28.05,23.94,19.13,13.01,7.65
1912,6.13,9.44,11.90,15.61,19.61,25.74,27.50,27.93,25.40,19.79,12.89,6.77
1913,5.41,6.09,10.02,15.02,20.61,24.84,28.28,28.70,25.72,19.88,12.55,7.30
1914,6.79,8.55,13.02,14.69,21.17,25.46,28.53,28.47,25.06,19.29,11.87,7.55
1915,8.24,9.00,12.31,15.57,20.68,25.75,28.54,28.40,25.24,20.21,13.20,9.20
1916,6.48,8.57,12.49,16.47,22.68,27.05,29.49,28.32,24.61,19.23,14.04,9.37
1917,7.76,8.23,12.66,18.00,20.47,25.21,28.59,28.31,25.40,19.44,14.47,7.57
1918,6.06,7.90,11.23,15.59,20.81,25.16,28.41,28.35,26.46,22.28,14.09,7.74
1919,8.03,9.54,12.43,16.24,19.92,24.39,28.21,27.79,26.16,21.75,14.54,7.72
1920,7.11,4.89,11.38,16.65,21.74,26.12,28.77,29.14,25.31,19.12,10.79,5.96
1921,5.53,6.52,10.22,15.50,21.40,25.24,28.59,28.88,24.33,18.58,12.49,7.05
1922,6.74,8.25,12.02,16.32,22.00,25.45,29.24,29.03,25.33,21.01,14.09,7.23
1923,6.90,8.11,11.70,14.95,22.06,27.37,28.81,27.39,26.01,20.04,14.44,9.54
1924,7.55,8.49,12.22,16.35,21.30,27.06,29.01,28.93,26.30,19.33,12.85,6.86
1925,3.38,7.48,14.35,15.20,22.05,25.36,28.65,29.22,26.28,20.13,14.09,9.84
1926,6.91,8.39,11.06,16.79,22.66,26.73,28.11,27.74,23.77,20.23,13.71,8.85
1927,6.64,5.08,12.12,15.60,22.74,26.61,29.19,28.74,26.15,22.19,14.00,7.40
1928,5.67,6.00,8.93,18.70,22.98,26.10,29.13,28.63,25.89,19.03,13.95,8.17
1929,4.84,5.88,8.53,16.07,23.63,25.48,28.07,30.00,25.38,19.84,14.88,8.08
1930,7.13,8.80,13.11,17.26,21.58,25.73,28.99,29.71,25.50,19.79,13.83,10.10
1931,7.22,8.32,12.42,16.07,21.53,25.31,28.95,29.40,26.54,20.22,11.26,5.96
1932,4.58,7.35,11.75,16.64,21.37,27.17,28.69,29.41,25.43,22.86,12.68,5.58
1933,3.66,7.64,9.79,13.77,21.22,24.85,27.80,28.39,24.23,18.92,15.49,6.98
1934,4.74,6.09,12.47,17.00,21.64,25.92,28.70,28.43,24.75,20.13,14.01,7.67
1935,6.30,8.47,11.37,16.25,23.87,27.34,28.84,29.57,26.47,20.62,11.49,9.70
1936,8.05,9.51,12.52,17.37,20.79,24.65,28.86,29.31,23.75,21.17,14.29,6.03
1937,3.25,8.57,14.36,17.81,21.60,25.36,29.42,28.94,27.39,20.80,14.62,9.56
1938,6.62,6.96,8.65,16.69,21.08,26.17,29.75,29.35,25.20,20.13,12.37,9.64
1939,8.02,8.25,10.86,16.93,23.96,25.63,28.81,28.05,25.60,21.97,12.31,9.01
1940,6.48,9.72,10.44,17.44,20.96,26.16,29.18,28.89,25.32,20.60,13.92,9.57
1941,7.88,11.22,11.67,17.50,23.53,26.99,29.07,28.37,24.97,17.73,12.77,4.26
1942,4.68,8.89,10.52,16.42,22.74,27.86,28.98,28.62,24.80,19.65,13.44,7.09
1943,6.54,6.07,7.89,14.32,21.07,24.71,28.13,29.02,25.78,21.94,15.58,9.43
1944,5.37,8.84,12.75,16.73,20.38,26.41,28.65,27.84,25.67,20.72,13.23,8.09
1945,6.53,5.50,8.45,14.52,22.89,25.31,29.12,29.33,25.89,19.20,13.05,7.48
1946,6.13,7.80,10.91,16.45,21.05,25.62,28.30,28.69,26.51,18.45,15.29,8.82
1947,7.01,9.06,14.71,17.78,22.73,26.44,29.48,28.84,24.62,19.35,14.08,9.87
1948,9.05,8.67,8.17,14.72,21.34,25.72,29.23,28.95,24.77,18.96,11.37,5.14
1949,4.55,4.65,9.47,13.21,22.78,26.95,28.78,28.00,23.36,19.66,15.11,8.21
1950,3.32,5.59,10.98,18.30,20.97,25.02,28.63,28.42,25.53,18.63,13.52,9.35
1951,7.21,8.52,14.07,17.90,22.10,25.75,29.03,29.25,25.74,18.42,13.33,6.60
1952,6.32,8.72,10.64,17.08,20.91,25.33,28.74,29.70,27.89,22.29,13.01,9.83
1953,7.95,9.24,8.51,16.81,21.63,25.72,29.21,29.20,25.27,20.38,10.72,4.07
1954,5.30,8.08,12.38,15.30,21.37,26.56,30.32,30.38,25.97,20.87,14.09,9.40
1955,8.59,11.71,12.80,17.47,22.21,27.88,28.95,28.69,25.57,21.96,13.76,8.92
1956,7.34,9.51,9.43,15.91,20.06,26.18,29.54,29.86,24.42,18.43,12.41,6.35
1957,4.29,8.38,12.24,16.88,20.39,26.10,28.92,29.94,25.62,20.84,12.89,7.67
1958,7.49,8.77,13.22,17.72,22.17,25.96,27.93,29.57,24.59,18.91,12.05,8.72
1959,7.97,4.54,10.46,17.83,21.53,25.94,27.60,27.71,23.36,18.45,13.27,8.43
1960,7.88,9.67,11.81,16.48,23.94,25.88,28.82,28.10,25.82,21.00,14.77,10.35
1961,6.66,7.55,10.29,16.91,22.90,26.48,29.48,29.20,23.33,19.54,11.85,9.65
1962,7.82,8.05,14.29,15.86,22.46,27.03,29.23,30.29,26.25,21.21,16.24,9.84
1963,9.72,10.36,10.29,16.33,19.59,26.24,28.84,29.64,25.92,20.96,13.83,7.80
1964,2.55,7.94,12.89,15.84,21.06,26.20,28.69,27.52,24.45,19.79,13.09,7.69
1965,6.38,8.98,12.33,15.13,21.16,27.51,29.00,29.24,25.55,17.06,12.21,8.47
1966,8.79,10.84,12.10,17.67,21.07,27.08,29.39,29.29,24.85,20.47,16.02,9.05
1967,6.17,4.74,9.41,14.96,20.76,24.71,28.35,28.23,24.57,19.30,12.00,7.91
