Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-11.42,-9.16,-0.77,3.70,7.19,9.84,15.04,14.24,10.14,1.18,-0.46,-6.02
1902,-8.69,-8.70,-3.58,2.02,8.75,13.45,14.66,14.58,9.94,3.93,-2.51,-6.52
1903,-12.79,-9.36,-8.58,1.23,6.30,11.51,14.19,14.40,10.52,4.68,-3.20,-8.56
1904,-15.85,-7.18,-2.47,2.13,7.83,12.58,15.03,14.61,9.17,1.56,-0.54,-5.80
1905,-12.70,-14.03,-8.15,2.12,7.63,11.96,15.26,14.27,10.36,6.07,-1.03,-7.76
1906,-13.06,-10.58,-3.43,1.20,7.89,13.18,14.99,15.56,9.83,4.76,-1.45,-4.90
1907,-9.89,-10.67,-4.63,4.01,5.91,9.91,15.03,14.73,8.98,1.41,-3.27,-7.31
1908,-9.98,-10.12,-5.45,3.26,7.13,11.58,16.63,14.87,10.06,1.41,-0.88,-6.95
1909,-13.83,-9.13,-2.59,5.74,8.10,12.19,14.87,15.45,9.79,3.20,1.31,-5.09
1910,-8.84,-7.81,-5.15,2.25,9.21,12.12,16.50,15.47,9.80,3.33,-3.25,-11.59
1911,-11.24,-8.37,-4.01,3.46,8.56,13.56,14.75,14.47,9.97,2.19,-3.94,-9.31
1912,-10.73,-6.86,-3.57,5.23,7.69,12.64,16.08,14.02,8.36,5.09,-2.75,-7.22
1913,-9.32,-10.17,-6.01,1.16,8.89,12.28,16.57,14.04,9.79,4.29,-2.75,-5.71
1914,-7.00,-8.24,-2.68,4.13,7.87,14.56,16.40,15.08,11.62,3.53,-1.87,-9.26
1915,-9.37,-9.56,0.12,4.01,10.24,13.50,14.94,15.88,11.91,4.50,-0.17,-5.43
1916,-9.25,-11.35,-1.98,5.12,8.26,11.27,15.72,16.62,10.21,3.61,-6.50,-8.15
1917,-7.23,-5.06,-2.67,3.86,10.87,11.86,15.15,15.23,10.21,3.20,-2.95,-8.63
