Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-1.87,2.39,7.17,10.52,13.95,19.58,22.21,22.07,17.33,12.08,5.65,4.01
1902,0.95,2.62,4.59,8.98,13.70,18.62,20.77,21.98,17.34,12.35,3.49,-0.31
1903,-1.19,0.86,4.09,10.41,14.46,18.29,21.41,21.50,17.06,12.85,6.48,1.97
1904,-2.94,3.04,3.92,8.09,13.07,17.58,21.54,21.62,17.70,13.38,6.08,0.95
1905,-2.49,-0.88,3.81,9.09,13.87,18.29,22.08,22.28,18.73,14.43,8.85,0.83
1906,-0.73,1.47,6.13,9.70,14.93,18.87,21.38,20.72,16.68,11.96,6.89,2.99
1907,-1.95,-0.97,2.85,8.04,15.09,18.67,21.80,21.43,16.77,13.08,4.48,1.25
1908,-1.54,1.11,3.72,8.58,14.39,18.63,21.07,21.72,18.05,11.55,4.41,-0.49
1909,-3.04,-0.64,5.30,8.42,14.99,17.56,22.33,21.98,19.88,14.25,8.26,3.09
1910,0.58,2.69,4.14,9.68,14.08,18.28,21.82,21.39,17.54,12.06,7.70,1.22
1911,-3.00,-3.71,2.57,8.46,14.29,17.39,21.40,21.55,17.08,12.03,7.67,1.29
1912,-1.21,2.05,6.03,8.23,12.33,18.21,20.00,20.61,18.36,11.41,6.78,1.74
1913,-1.45,-1.60,4.76,9.19,13.12,16.97,20.85,21.90,18.64,12.12,7.02,2.33
1914,-0.12,2.43,7.20,8.83,13.76,17.81,21.74,21.02,16.64,11.86,4.14,1.52
1915,3.76,2.01,5.23,9.30,12.69,17.82,21.77,20.73,16.97,12.84,7.17,3.99
1916,0.13,1.80,6.42,9.93,14.66,18.86,21.98,21.07,16.80,12.76,7.82,3.30
1917,1.23,-0.85,5.27,11.04,12.67,17.54,21.49,21.92,18.08,13.37,8.89,0.77
1918,0.38,0.65,4.19,8.76,13.27,17.21,21.04,21.06,19.71,16.15,7.04,2.41
