Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.46,22.64,21.32,15.82,14.67,13.67,11.27,11.61,15.44,17.61,19.23,22.57
1902,23.55,24.59,21.35,18.76,15.73,13.35,10.84,9.43,14.21,15.92,19.25,22.04
1903,22.81,23.23,22.28,16.53,13.73,11.97,11.00,11.66,15.71,15.31,18.85,21.05
1904,22.63,21.61,20.56,18.51,13.81,11.95,12.54,11.56,15.13,15.85,18.24,20.46
1905,22.35,21.95,21.60,16.85,12.84,12.21,9.82,12.13,14.61,16.38,18.45,21.33
1906,23.72,24.06,23.06,18.47,15.72,9.61,11.46,12.57,13.74,17.14,19.32,21.09
1907,24.32,23.78,21.19,17.36,12.47,10.54,10.91,10.78,12.24,15.41,19.04,22.40
1908,23.80,23.00,22.25,16.79,13.57,12.62,11.57,10.95,13.72,16.49,18.97,22.03
1909,24.40,22.61,21.05,18.33,12.34,10.34,11.11,14.28,14.67,15.77,17.56,20.95
1910,23.86,22.35,19.91,16.88,13.20,12.27,10.60,12.81,13.76,16.96,19.89,22.65
1911,24.28,22.62,20.63,16.87,13.94,10.06,11.13,10.99,11.83,15.20,18.94,21.43
1912,24.12,23.38,21.85,17.15,13.28,11.89,9.85,10.93,14.37,17.07,18.85,23.21
1913,23.71,25.14,20.78,19.21,15.27,12.00,13.91,12.80,14.33,16.43,19.95,21.71
1914,24.62,23.38,20.39,17.22,14.78,14.03,13.35,12.50,13.62,16.10,17.78,20.64
1915,22.93,23.66,19.70,18.09,14.73,8.73,11.65,13.46,13.43,16.65,20.00,22.48
1916,24.14,23.28,20.41,18.87,14.77,8.64,8.99,12.36,15.73,17.56,20.56,21.66
1917,25.39,23.27,20.59,17.28,12.10,11.92,10.00,10.97,14.31,15.80,19.69,23.87
1918,24.07,22.67,21.24,18.04,12.87,10.65,11.07,12.58,13.10,16.18,19.82,22.21
1919,24.89,22.67,21.60,18.20,16.90,11.55,11.81,11.63,13.18,16.02,18.54,22.31
1920,24.44,23.02,22.06,18.78,15.36,10.66,9.50,12.21,14.96,16.07,19.19,22.25
1921,23.02,22.97,20.23,17.74,16.07,9.04,9.70,11.92,14.17,16.29,18.48,23.24
1922,23.34,22.22,21.01,16.67,14.15,10.08,13.60,11.74,14.30,14.54,20.02,21.74
1923,24.10,23.91,22.67,17.60,12.27,12.44,9.24,11.94,14.24,14.47,19.03,20.82
1924,22.75,23.06,20.91,16.21,12.35,11.43,10.32,10.60,12.94,15.96,18.01,23.42
1925,24.10,24.95,22.89,17.37,12.50,10.25,9.91,13.63,14.09,15.73,19.55,22.54
1926,25.17,25.19,23.15,17.25,13.11,12.49,10.82,13.56,14.81,16.86,19.90,22.33
1927,23.74,25.48,22.61,17.96,14.28,10.88,11.89,13.34,13.98,16.23,19.60,21.20
1928,23.09,21.49,20.96,18.56,13.64,10.25,11.47,11.47,13.31,16.73,20.49,22.07
1929,24.84,23.77,21.50,19.45,13.32,10.88,11.74,12.38,14.66,15.94,20.17,23.09
1930,24.28,23.78,21.78,18.90,14.76,15.30,10.20,10.71,14.63,15.31,19.01,22.52
1931,23.90,24.90,22.03,17.03,11.65,10.06,10.96,12.45,12.92,17.73,18.19,22.59
1932,25.64,23.61,22.13,18.53,12.72,11.89,15.01,11.73,14.93,17.51,21.26,22.70
1933,23.74,23.19,20.85,18.51,15.98,11.71,9.41,14.02,14.50,17.86,19.59,22.08
1934,25.60,22.53,21.82,15.32,14.40,12.90,11.66,12.67,13.57,16.07,18.51,21.51
1935,23.12,23.53,22.96,16.39,16.72,13.00,11.41,12.91,13.45,14.63,19.60,21.64
1936,23.17,22.94,21.95,17.60,15.22,12.98,12.65,11.26,13.99,16.57,18.77,22.32
1937,23.24,24.62,20.91,17.53,13.55,14.10,10.47,12.84,13.55,14.80,18.83,21.55
1938,22.75,23.11,20.97,16.32,15.11,12.67,11.35,11.36,14.88,16.78,19.01,23.24
1939,24.79,23.07,20.98,16.00,15.14,13.77,12.47,14.67,13.77,17.64,17.64,20.39
1940,23.61,23.00,20.70,17.35,15.97,13.96,13.77,11.33,14.09,14.57,18.88,22.46
1941,22.78,21.89,19.41,17.72,13.89,12.61,12.74,13.60,12.18,16.94,18.91,21.44
