Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.30,24.20,24.80,25.60,26.40,26.20,26.20,26.20,25.90,25.60,25.10,24.30
1902,23.70,23.80,24.20,25.00,26.10,26.10,25.90,26.20,25.80,25.40,25.20,24.50
1903,24.00,23.90,24.30,25.00,26.10,26.20,26.10,26.10,25.90,25.80,25.10,24.30
1904,23.70,23.60,23.80,24.70,25.80,25.90,25.90,25.80,25.80,25.30,25.20,24.40
1905,23.90,23.40,24.00,25.20,25.70,26.00,26.00,26.20,26.00,25.60,25.40,24.20
1906,23.70,23.60,24.20,24.90,25.90,25.80,25.80,26.10,25.70,25.80,25.40,24.00
1907,23.60,23.40,24.00,24.80,25.40,25.80,25.90,25.90,25.90,25.50,25.10,24.40
1908,23.80,23.50,23.90,24.60,25.40,25.90,25.90,26.10,25.90,25.50,25.00,24.50
1909,23.60,23.50,24.40,24.90,25.80,25.60,25.80,25.80,25.70,25.50,25.10,24.00
1910,23.40,23.40,23.80,24.50,25.80,25.90,25.80,25.90,25.70,25.60,25.40,24.60
1911,23.70,23.30,24.20,24.70,25.50,26.10,25.70,26.00,26.00,25.60,25.30,24.40
1912,24.00,23.80,24.20,24.90,26.00,26.00,26.00,26.00,25.90,25.60,25.10,24.50
1913,23.50,23.30,24.10,24.70,26.30,25.80,25.50,25.60,25.80,25.30,24.80,23.90
1914,23.60,23.70,24.30,24.60,25.40,25.80,25.70,25.60,25.70,25.20,24.90,24.60
1915,23.90,23.60,24.60,25.00,26.00,26.00,25.80,26.20,25.90,25.80,25.30,24.50
1916,23.60,23.60,24.10,24.90,25.90,25.90,25.80,25.80,25.70,25.50,25.00,24.10
1917,23.30,23.20,23.70,24.50,25.90,26.00,25.90,25.60,25.60,25.60,25.20,24.20
1918,23.40,23.30,23.90,24.40,25.50,26.00,25.90,26.00,26.10,25.70,25.10,24.10
1919,23.50,23.60,24.30,24.70,25.90,26.20,25.80,25.90,25.80,25.40,24.70,24.30
1920,23.50,23.50,24.30,24.80,25.80,25.80,25.70,25.80,25.60,25.50,24.90,24.10
1921,23.70,23.80,24.20,24.40,25.90,25.70,25.30,25.70,25.80,25.30,25.00,24.20
1922,23.60,23.40,23.80,24.40,25.50,25.60,25.60,25.50,25.70,25.60,24.90,23.80
1923,23.30,23.10,23.60,24.50,26.10,25.60,25.70,26.00,25.90,25.70,25.40,24.20
1924,23.60,23.60,24.40,25.20,26.20,25.80,25.70,25.80,25.80,25.40,24.90,24.00
1925,23.20,23.10,23.70,24.80,25.80,25.80,25.60,25.80,25.80,25.70,25.20,24.70
1926,24.00,23.90,24.60,25.20,26.40,26.50,26.00,25.90,25.80,25.60,25.30,24.30
1927,23.50,23.10,24.20,24.60,25.70,25.70,25.60,25.70,25.90,25.50,25.40,24.50
1928,23.70,23.60,24.10,24.90,25.90,25.80,25.70,25.70,25.70,25.50,25.30,24.30
1929,23.50,23.60,23.80,24.50,25.20,25.60,25.70,25.80,25.60,25.60,25.00,24.10
1930,23.50,23.50,24.10,24.90,26.00,26.00,25.70,25.90,25.90,25.80,25.40,24.60
1931,24.10,23.90,25.10,25.50,26.50,26.30,26.00,26.20,25.90,25.80,25.50,24.60
1932,23.90,23.80,24.80,25.50,26.30,26.40,26.00,26.20,26.40,26.10,25.80,24.90
1933,23.90,23.20,24.30,25.10,26.10,26.00,25.90,25.80,25.70,25.60,25.10,24.10
1934,23.40,23.30,23.80,25.10,26.10,26.40,25.80,26.00,25.80,25.60,25.30,24.50
1935,23.90,23.50,23.70,24.70,25.60,26.10,25.70,25.50,25.50,25.50,25.30,24.10
1936,23.70,23.40,24.60,25.00,26.30,26.00,25.60,25.90,26.00,25.50,25.00,24.20
1937,23.50,23.50,24.60,25.00,26.30,26.40,26.00,26.30,26.40,26.10,25.80,24.90
1938,23.60,23.30,23.80,24.10,25.50,25.70,25.70,26.10,26.10,26.00,25.30,24.70
1939,23.40,22.90,23.90,24.20,25.60,25.70,25.80,26.20,26.40,26.10,25.80,25.20
1940,24.40,24.30,24.90,25.80,26.90,26.50,26.40,26.30,26.80,26.50,25.80,24.80
1941,24.60,25.10,25.50,26.10,27.10,26.30,26.10,26.40,26.40,26.30,25.80,24.90
1942,24.80,24.90,25.20,25.80,26.60,26.50,26.00,26.20,26.40,26.40,26.10,24.80
1943,24.10,24.00,24.10,25.20,25.40,25.90,25.80,25.90,26.50,26.10,25.50,24.80
1944,24.20,24.10,24.40,25.30,26.10,25.90,26.00,26.50,26.20,26.40,25.70,24.80
1945,23.70,23.40,24.20,24.70,25.90,25.90,25.90,26.10,26.10,25.70,25.20,24.50
1946,23.90,23.50,24.30,24.80,25.50,25.90,25.70,25.90,26.10,26.00,25.60,25.00
1947,23.90,24.40,24.90,25.00,26.20,26.30,25.70,26.10,26.20,26.20,25.60,24.80
1948,24.30,23.70,24.20,24.70,26.70,26.40,25.90,26.00,26.00,25.90,25.50,24.40
1949,23.20,23.30,24.30,25.10,26.30,25.90,25.60,26.00,26.00,25.70,25.20,24.10
1950,23.00,23.40,23.80,24.60,25.50,25.50,25.50,25.80,26.10,25.60,25.40,24.40
1951,23.60,23.60,24.20,25.20,26.30,26.10,26.10,26.30,26.40,26.20,25.70,24.90
1952,24.00,24.00,24.90,25.70,26.80,26.20,25.80,26.10,26.00,26.10,25.30,24.40
1953,23.90,23.50,24.20,25.40,25.70,26.20,26.10,26.20,26.20,25.80,25.60,24.60
1954,23.60,23.60,24.50,24.50,26.00,25.90,25.70,25.80,25.60,25.10,24.70,23.90
1955,23.50,23.50,23.90,24.60,25.90,25.80,25.60,26.00,25.60,25.80,25.30,24.50
1956,24.00,23.60,24.20,25.10,25.60,25.70,25.80,25.60,25.80,25.50,25.20,24.30
1957,23.40,23.40,24.20,24.60,25.90,26.10,26.10,26.30,26.50,26.20,25.30,24.50
1958,24.00,23.90,25.60,26.20,26.60,26.40,26.20,26.40,26.60,26.00,25.40,24.80
1959,23.90,23.90,24.80,25.50,26.10,25.90,26.00,26.00,26.30,25.70,25.30,25.20
1960,24.20,24.20,24.80,25.20,26.60,26.40,26.10,26.10,26.10,26.10,25.60,24.60
1961,24.40,23.90,24.80,25.40,26.40,26.30,26.00,26.20,26.20,25.80,25.10,24.60
1962,23.90,23.40,24.70,25.30,26.60,26.00,25.90,25.90,26.10,26.10,25.60,24.70
1963,24.40,24.10,24.60,25.40,25.80,26.20,26.10,26.70,26.40,26.40,25.60,24.90
1964,23.70,24.20,24.90,25.10,26.20,26.00,25.60,26.00,26.00,25.50,25.20,23.70
1965,23.80,23.20,24.50,24.80,26.10,25.70,26.10,26.00,26.10,26.00,25.70,25.10
1966,24.70,24.00,24.80,25.30,26.20,26.00,25.90,26.00,25.80,26.00,25.70,24.70
1967,24.40,23.90,24.10,24.80,25.80,26.10,25.70,25.80,26.00,25.80,25.20,24.30
1968,23.60,23.70,24.30,24.90,25.90,25.90,25.90,26.00,26.10,26.00,25.50,24.70
1969,24.00,24.20,25.70,26.20,27.30,26.80,26.40,26.20,26.40,25.90,25.90,25.20
1970,24.40,24.40,24.90,25.60,26.70,26.20,25.80,25.90,25.90,26.10,25.30,24.90
1971,23.70,23.70,24.40,24.90,25.60,26.10,25.80,25.60,25.90,25.20,24.90,24.20
1972,23.60,23.50,24.50,24.80,25.60,26.40,26.20,26.10,26.40,26.20,25.40,24.80
1973,24.60,24.40,25.10,25.70,26.60,26.70,26.70,26.40,26.20,26.00,25.40,23.90
1974,24.00,24.10,24.40,24.30,26.00,26.30,26.00,25.90,25.80,25.70,25.50,24.20
1975,23.60,23.80,24.70,25.00,26.20,26.50,26.30,26.20,26.30,25.30,25.10,24.00
1976,23.30,23.20,23.50,24.70,25.90,25.70,25.70,26.30,26.50,26.50,25.80,24.40
1977,24.20,24.00,24.90,25.00,26.50,26.40,26.20,26.40,26.40,26.20,25.80,24.70
1978,24.10,24.40,25.20,26.00,26.50,26.30,26.20,26.10,26.60,26.30,25.90,24.80
1979,24.00,24.40,25.00,25.70,26.90,26.70,26.60,26.70,26.20,26.60,26.20,25.40
1980,24.90,24.70,25.10,25.90,27.00,26.90,26.60,26.60,26.80,26.30,25.80,25.20
1981,25.10,25.30,25.90,25.60,26.80,26.50,26.40,26.40,26.20,26.30,26.20,25.70
1982,24.80,24.50,25.00,25.60,26.90,26.70,26.30,26.10,26.40,26.00,25.70,25.00
1983,24.60,24.50,25.80,26.20,26.60,27.10,26.70,26.70,26.80,26.10,26.00,25.20
1984,24.50,24.60,24.90,25.50,26.20,26.60,26.10,26.30,26.10,25.70,25.20,24.50
1985,23.70,23.50,24.40,25.10,26.40,26.50,26.20,26.20,26.20,25.70,25.40,24.50
1986,24.00,23.70,24.60,25.70,26.40,26.20,26.20,26.60,26.40,26.10,25.30,24.70
1987,24.10,24.40,25.40,26.60,27.20,27.30,27.10,27.40,27.00,27.00,26.50,26.10
1988,24.90,24.80,25.30,26.00,27.20,27.20,26.80,26.60,26.60,26.10,26.10,25.00
1989,24.40,24.40,24.30,24.70,25.90,26.10,26.70,26.80,26.60,26.50,25.30,25.40
1990,24.60,24.10,24.90,25.80,26.80,27.00,26.80,26.80,27.00,26.90,26.20,25.40
1991,24.80,24.70,25.40,25.80,27.00,27.30,27.00,26.60,26.40,25.80,25.50,24.60
1992,24.30,24.40,25.10,26.10,26.90,26.50,26.40,26.20,26.20,26.20,25.60,25.10
1993,24.70,24.50,25.30,26.30,27.20,27.20,26.70,26.70,26.60,26.60,25.70,25.10
1994,24.60,23.80,24.90,25.70,26.30,26.30,26.40,26.40,26.30,26.20,26.00,25.20
1995,24.60,24.50,25.10,26.00,27.40,27.00,26.80,26.80,26.90,26.30,25.90,25.50
1996,24.60,24.90,25.20,25.80,26.30,26.30,26.30,26.50,26.60,26.40,25.80,25.20
1997,24.80,24.30,24.50,25.50,26.70,26.90,26.50,26.60,27.10,27.10,26.40,25.80
1998,25.30,25.60,26.00,26.80,27.10,27.20,27.10,27.60,27.30,26.90,26.40,25.80
1999,24.80,24.20,25.30,25.70,27.20,27.10,26.90,26.70,26.90,26.30,26.30,25.50
2000,24.70,24.30,24.50,25.40,26.40,26.40,26.70,26.70,26.50,26.50,26.00,25.10
2001,24.60,24.10,25.20,25.80,27.30,27.10,26.90,27.00,26.70,26.40,26.30,26.10
2002,25.30,24.70,25.50,25.90,26.50,26.90,26.90,27.00,27.20,26.70,26.20,25.70
2003,25.30,25.10,25.70,26.60,26.90,26.60,26.60,26.90,26.90,26.80,26.60,25.60
2004,24.90,24.60,25.30,26.30,26.60,26.70,26.70,26.90,26.80,26.60,26.10,25.70
2005,25.20,25.10,25.90,26.70,27.70,27.20,26.80,27.20,27.20,27.10,25.90,25.40
2006,24.70,24.50,25.30,26.10,27.40,27.00,26.90,27.00,27.20,26.90,26.20,25.80
2007,25.10,24.40,25.90,26.30,27.60,26.60,26.60,26.40,26.20,26.30,25.90,25.00
2008,24.60,24.30,24.50,25.20,26.70,27.20,26.80,27.00,26.90,26.30,26.30,25.30
2009,25.00,24.40,24.90,25.60,27.10,27.10,27.30,27.20,27.30,26.90,26.80,25.90
2010,25.20,25.70,26.70,26.90,27.80,27.60,27.00,26.90,26.70,27.00,26.50,25.20
2011,25.10,25.00,25.00,25.50,27.40,27.40,27.00,27.20,27.20,26.60,26.10,25.50
2012,24.80,24.50,25.10,25.80,26.40,26.60,26.90,26.90,26.90,27.00,27.00,25.90
2013,25.10,25.10,25.60,25.80,27.00,27.00,27.10,27.10,27.30,26.80,26.20,25.50
2014,24.90,24.80,25.40,26.10,27.00,27.50,27.10,27.00,26.80,26.70,26.30,25.50
2015,25.20,25.20,25.30,25.90,27.10,27.30,27.00,27.40,27.70,27.60,26.40,25.90
2016,25.40,25.30,25.60,26.60,27.20,27.00,27.20,27.20,26.90,27.00,26.30,26.00
2017,24.70,24.70,25.40,26.50,27.40,26.90,27.00,27.30,27.00,26.60,26.60,25.60
2018,24.90,24.20,25.50,25.80,26.30,26.80,26.70,26.70,26.80,26.40,26.20,25.20
2019,24.50,24.60,25.40,25.80,26.90,27.10,27.00,27.10,27.30,26.80,26.40,26.10
2020,25.10,25.30,25.30,26.30,27.40,27.20,27.10,27.30,27.30,26.50,25.90,25.20
2021,24.80,24.70,25.10,25.80,26.70,26.80,26.90,27.00,27.20,27.00,26.20,25.70
