Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.05,25.16,26.02,26.37,25.66,24.47,24.93,25.03,24.60,24.62,24.48,24.08
1902,24.13,24.54,24.74,25.47,25.17,24.40,24.20,24.97,24.46,24.65,25.08,24.52
1903,24.21,25.04,25.06,25.35,24.95,24.44,24.83,24.93,25.04,24.89,24.52,23.97
1904,23.81,24.86,24.48,25.63,24.62,24.59,24.70,24.82,25.13,24.32,24.74,24.08
1905,24.05,24.03,24.52,25.51,24.46,24.10,24.70,25.02,25.19,24.80,24.87,23.73
1906,23.88,24.20,24.88,25.22,24.83,24.18,24.55,24.94,24.46,25.34,24.91,23.61
1907,24.45,24.95,25.31,25.62,24.27,23.92,24.56,24.87,25.09,24.66,24.51,24.15
1908,24.08,24.17,24.49,24.83,24.45,24.13,24.51,24.83,25.12,24.49,24.43,24.30
1909,24.00,24.88,25.33,25.76,24.68,23.91,24.52,24.80,24.46,24.51,24.72,23.68
1910,23.53,24.98,24.29,24.92,25.30,24.38,24.39,24.63,24.96,24.97,24.89,24.29
1911,24.53,24.17,25.62,25.07,24.37,24.80,24.49,24.93,25.21,24.80,24.77,24.18
1912,24.19,24.63,24.78,25.03,25.18,24.83,24.65,24.95,25.06,24.63,24.49,24.10
1913,23.73,25.21,25.48,25.82,25.53,24.80,24.37,24.64,25.01,24.96,24.30,23.59
1914,23.93,24.51,25.12,25.09,24.28,24.71,24.46,24.50,24.79,24.28,24.50,24.61
1915,24.36,24.70,25.60,25.43,25.57,24.73,24.54,25.66,24.97,25.49,25.20,24.68
1916,24.21,25.02,25.17,25.75,25.27,24.49,24.74,24.60,25.23,25.11,24.97,24.32
1917,24.07,24.36,25.08,25.49,25.46,24.76,24.70,24.49,24.97,24.95,25.24,24.72
1918,24.34,24.52,24.92,25.25,24.85,24.65,24.61,25.13,25.44,25.49,25.01,24.23
1919,23.55,24.45,25.57,25.04,24.82,24.89,24.61,24.79,25.03,24.45,24.24,24.15
