Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.50,24.90,24.80,25.60,26.10,26.30,26.40,27.00,26.80,26.40,25.30,24.10
1902,23.50,24.20,24.10,24.40,25.30,26.10,26.50,26.90,26.40,25.90,25.40,24.60
1903,24.10,24.20,23.90,24.70,25.90,26.60,26.50,26.50,26.40,26.20,25.20,24.30
1904,23.60,23.50,23.20,23.70,24.80,25.70,25.90,25.90,25.90,25.80,25.70,24.50
1905,23.60,23.30,23.40,25.10,24.70,26.20,26.50,26.80,26.50,26.30,25.90,24.40
1906,23.40,23.60,23.60,24.50,25.20,25.60,26.10,26.60,26.20,26.30,25.70,23.50
1907,22.80,22.70,22.90,23.80,24.30,25.70,26.30,26.20,26.00,25.90,25.30,24.50
1908,23.70,23.40,23.20,23.70,24.40,25.60,26.50,26.70,26.40,25.90,25.10,24.20
1909,23.20,23.20,24.20,23.80,25.00,25.20,26.00,26.00,26.40,26.00,24.80,23.50
1910,22.90,22.70,22.90,23.60,24.30,25.50,26.10,26.30,26.10,26.60,25.80,24.50
1911,23.00,22.90,22.80,23.80,24.20,26.00,25.60,26.40,26.30,26.20,25.50,24.60
1912,24.10,23.90,23.50,24.50,25.20,25.70,26.50,26.40,26.20,25.90,25.30,24.60
1913,23.40,22.90,23.00,23.20,25.00,24.80,25.40,25.70,26.00,25.50,25.00,23.60
1914,23.20,23.40,23.70,23.90,24.40,25.20,25.70,25.90,26.30,26.00,25.50,25.10
1915,23.90,23.70,24.50,24.60,25.20,26.30,26.60,26.90,26.60,26.60,25.80,24.80
1916,23.40,23.50,23.40,24.20,25.30,26.00,26.40,26.60,26.20,26.10,25.00,23.40
1917,22.80,22.60,22.60,23.70,24.70,25.50,26.20,25.90,26.00,26.40,25.10,23.40
1918,22.70,23.20,23.10,23.60,24.10,25.50,26.10,26.60,26.40,26.40,25.00,23.90
1919,23.20,23.70,23.40,24.10,25.40,26.10,25.90,26.40,26.00,25.80,24.70,24.30
1920,23.40,23.70,23.80,24.40,25.00,25.20,25.60,25.80,25.80,25.70,24.90,23.90
1921,23.50,23.70,23.20,23.10,24.20,25.50,25.30,25.70,26.00,25.80,25.30,24.20
1922,23.30,23.40,22.90,23.10,24.30,25.20,25.70,25.90,25.90,25.90,24.90,23.80
1923,23.10,23.10,23.40,23.60,25.60,25.50,25.90,26.70,26.60,26.70,25.90,24.20
1924,23.70,23.90,24.70,25.00,25.60,26.00,26.60,27.10,27.10,26.60,25.00,24.10
1925,23.30,22.50,22.70,24.10,24.70,25.50,25.70,26.60,26.70,26.40,25.60,25.30
1926,24.20,24.20,24.60,24.80,25.60,26.30,26.80,26.70,26.50,26.10,25.70,24.70
1927,23.30,23.10,23.80,24.10,25.10,25.70,26.20,26.50,26.80,26.40,26.00,24.80
1928,24.00,24.00,24.00,24.40,25.20,25.90,26.20,26.20,26.00,25.90,25.60,24.80
1929,24.00,24.30,23.10,23.60,23.70,25.40,26.20,26.10,25.90,26.10,25.20,24.10
1930,23.20,23.20,23.60,24.20,25.30,25.90,25.90,26.40,26.20,26.60,25.70,24.80
1931,24.40,23.90,25.20,25.40,26.40,26.70,27.00,27.00,26.60,26.70,25.80,24.70
1932,23.80,23.70,24.60,25.40,25.60,26.70,26.70,27.00,27.40,27.00,26.30,25.30
1933,24.40,23.20,24.10,24.80,25.60,26.20,26.80,26.90,26.50,26.60,25.80,24.40
1934,23.60,23.70,23.50,24.80,25.40,26.30,26.30,26.50,26.40,26.60,25.50,24.70
1935,23.90,23.70,23.60,24.40,25.00,26.30,26.40,26.40,26.30,26.30,25.50,24.30
1936,24.00,24.10,24.40,25.10,25.80,26.50,26.30,26.70,26.80,26.40,25.30,24.10
1937,23.40,23.80,24.70,24.90,26.10,26.50,26.70,27.00,27.10,26.70,26.30,24.80
1938,23.50,23.30,23.70,23.80,25.00,25.90,26.40,26.90,26.80,26.70,25.50,24.80
1939,23.50,23.20,24.00,24.10,25.00,25.80,26.50,27.00,27.30,27.00,26.20,25.10
1940,24.50,24.70,24.80,25.40,26.20,26.50,27.00,27.10,27.40,27.30,26.30,25.00
1941,24.50,25.40,25.30,25.70,26.30,26.50,26.40,27.00,26.90,27.00,26.20,25.20
1942,24.80,25.00,25.30,25.70,26.10,26.80,26.90,27.00,27.10,27.30,26.40,25.20
1943,24.20,24.30,23.90,25.00,24.90,25.90,26.40,26.90,27.20,27.00,25.80,24.90
1944,24.40,24.30,24.20,25.40,25.50,26.30,26.80,27.10,26.90,27.00,25.80,24.70
1945,23.50,23.60,23.80,23.90,25.00,26.10,26.50,26.80,26.80,26.40,25.40,24.50
1946,24.00,23.60,24.00,24.40,24.90,25.90,26.40,26.90,26.70,26.80,25.90,25.00
1947,23.90,24.70,24.90,24.70,25.40,26.40,26.50,26.90,26.90,27.00,26.10,24.80
1948,24.40,24.10,24.20,24.60,26.20,26.90,26.80,27.10,27.00,26.80,26.00,24.70
1949,23.30,23.50,24.00,24.90,25.90,26.10,26.40,27.20,26.90,26.60,25.70,24.30
1950,23.20,23.50,23.50,24.20,25.00,25.90,26.30,26.80,26.90,26.60,25.80,24.40
1951,23.50,23.20,23.50,25.40,26.30,26.70,27.00,27.50,27.30,27.10,26.40,24.90
1952,23.80,24.20,24.60,25.50,26.30,26.90,26.70,27.30,26.90,27.00,25.90,24.10
1953,23.80,23.90,24.20,25.10,25.60,26.40,27.10,27.10,27.00,26.60,26.00,24.90
1954,23.70,23.90,24.60,24.70,25.80,26.30,26.80,27.10,26.60,26.10,25.50,24.40
1955,23.60,23.80,23.60,24.50,25.70,26.30,26.50,27.20,26.90,26.80,25.80,24.70
1956,23.60,23.60,24.40,25.10,25.30,25.90,26.20,26.60,26.60,26.40,25.50,24.50
1957,23.80,24.00,24.30,24.80,25.60,26.40,27.00,27.10,27.10,26.60,25.90,25.10
1958,24.20,24.20,25.40,26.30,26.50,26.90,27.00,27.60,27.40,26.90,26.00,25.20
1959,23.90,24.10,25.10,25.60,25.30,26.30,26.80,26.90,27.20,26.70,25.80,25.50
1960,24.60,24.90,25.00,25.40,26.30,27.10,26.80,27.10,26.90,27.10,26.20,24.70
1961,24.50,24.40,24.40,25.30,26.00,26.50,26.70,27.20,27.00,26.60,25.30,24.80
1962,24.40,23.70,24.60,25.20,25.50,26.50,27.10,27.10,27.10,26.90,26.00,25.20
1963,24.30,24.60,24.70,25.10,25.40,26.50,26.90,27.40,27.30,27.20,26.10,25.60
1964,24.30,25.10,25.20,25.00,26.10,26.60,26.80,26.90,27.10,26.70,25.80,23.90
1965,23.40,24.00,25.10,24.70,25.60,26.10,26.90,26.90,27.10,26.90,26.10,25.10
1966,24.80,24.70,25.10,25.40,25.80,26.70,27.30,27.50,27.10,27.00,25.60,24.80
1967,24.40,24.40,24.00,24.50,25.70,26.60,27.00,26.90,27.10,27.10,26.40,24.70
1968,23.90,24.20,24.10,24.30,26.00,26.50,26.80,27.40,27.30,27.20,26.50,25.10
1969,24.10,24.00,25.40,26.20,26.90,27.60,27.30,27.40,27.30,27.20,26.20,25.10
1970,24.90,24.60,24.80,25.80,25.90,26.80,27.10,27.30,27.10,26.80,26.00,25.10
1971,24.40,24.00,24.50,25.00,25.40,26.60,26.80,27.00,27.20,26.50,25.70,24.70
1972,24.10,24.10,24.40,25.50,25.90,27.10,27.30,27.30,27.10,27.10,26.40,25.10
1973,24.80,24.40,24.90,25.40,26.40,27.00,27.40,27.40,27.20,27.30,26.00,24.20
1974,24.20,24.30,24.50,24.80,25.50,26.60,27.00,27.10,26.80,26.60,25.70,24.80
1975,24.10,24.10,24.50,25.20,25.60,26.70,27.00,27.20,26.90,26.60,25.70,24.20
1976,23.50,23.70,23.60,24.70,25.40,26.20,26.80,27.30,27.20,26.70,26.30,24.90
1977,24.60,24.80,25.00,25.30,26.00,26.90,26.90,26.90,26.90,26.80,26.20,25.20
1978,24.50,24.80,25.20,25.50,26.00,26.70,27.00,27.30,27.30,26.80,26.10,25.10
1979,24.50,25.10,24.70,25.20,26.00,27.00,27.10,27.30,27.00,27.30,26.20,25.10
1980,25.00,25.00,25.10,26.00,27.40,27.60,27.80,27.90,28.00,27.80,26.70,25.70
1981,25.10,25.00,25.60,25.80,26.80,27.20,27.50,27.70,27.60,27.30,26.90,25.60
1982,24.80,24.80,24.80,25.50,25.90,27.10,27.20,27.40,27.40,27.10,26.10,24.90
1983,25.00,25.20,26.30,26.00,26.70,27.80,28.00,27.80,27.90,27.60,26.60,25.80
1984,24.90,24.80,25.20,26.20,26.20,26.80,27.00,27.60,27.20,27.00,25.70,25.00
1985,24.20,24.70,24.50,24.90,25.90,27.30,27.50,27.70,27.40,26.70,26.20,25.30
1986,24.50,24.10,24.90,25.80,25.90,27.00,27.40,27.80,27.70,27.30,26.50,25.50
1987,24.70,25.00,25.10,26.80,26.90,27.30,28.00,28.40,28.10,27.90,27.00,26.30
1988,25.10,24.90,25.00,26.00,26.90,27.70,27.90,27.40,27.40,27.20,26.50,24.90
1989,24.70,24.50,24.50,25.10,26.10,26.60,27.40,27.50,27.40,27.30,26.10,25.70
1990,24.90,24.10,24.00,25.70,26.70,27.40,27.50,28.10,28.10,27.50,26.80,25.30
1991,25.20,25.10,25.50,25.90,26.70,27.40,27.80,27.90,27.70,27.30,26.20,24.90
1992,24.80,25.30,25.50,26.30,26.30,27.40,27.70,27.80,27.40,27.70,26.40,25.60
1993,25.10,25.00,25.30,26.40,27.00,27.60,27.70,28.00,27.60,27.70,26.50,25.70
1994,24.90,24.60,25.30,25.90,26.50,27.40,27.60,27.80,27.50,27.50,26.90,25.80
1995,25.10,25.30,24.80,26.00,26.90,27.50,27.90,28.30,28.00,27.50,26.90,26.00
1996,25.40,25.40,25.50,26.00,26.50,27.20,27.60,27.80,27.90,27.70,26.70,24.90
1997,24.80,25.10,24.80,25.80,27.00,28.00,27.90,28.10,28.10,27.90,27.40,26.60
1998,25.80,25.60,26.00,26.40,27.10,28.00,28.10,28.60,28.20,28.00,27.00,26.20
1999,25.10,24.20,25.40,25.80,27.20,27.50,27.80,28.30,28.00,27.70,26.60,25.30
2000,24.60,24.70,24.60,25.90,26.60,27.40,28.00,28.20,27.90,27.40,26.80,25.50
2001,25.00,24.70,25.40,26.10,27.30,27.80,28.10,28.40,28.20,27.70,26.60,26.20
2002,25.70,25.00,25.80,26.10,26.90,27.70,28.20,28.30,28.00,27.80,27.20,26.10
2003,25.50,25.60,25.80,26.30,27.10,27.40,27.50,27.90,27.90,27.90,26.80,25.90
2004,24.90,25.30,25.30,25.80,26.00,27.20,27.60,28.00,27.70,27.30,26.20,25.70
2005,24.80,24.50,25.90,26.90,27.10,27.70,27.90,28.30,28.30,27.70,26.40,25.10
