"WCACROPS code","WCACROPS label","CPC21AG code","If partial"
"1","Abaca (Manila hemp)","01929.07","*"
"106","Fique","01929.90","*"
"107","Flax for fibre","01929.01","*"
"108","Flax for oil seed (linseed)","01929.01","*"
"110","Formio (New Zealand flax)","01929.90","*"
"113","Geranium","01930.90","*"
"115","Ginseng","01930.90","*"
"116","Gooseberry (all varieties)","01351.02","*"
"124","Grass esparto","01929.90","*"
"125","Grass, orchard","01919.90","*"
"126","Grass, Sudan","01919.90","*"
"128","Guarana","01930.90","*"
"129","Guava","01316.02","*"
"130","Guinea corn (sorghum)","01919.01","*"
"133","Hemp fibre","01929.02","*"
"134","Hemp, Manila (abaca)","01929.07","*"
"135","Hemp, sun","01922.02","*"
"136","Hempseed","01449.02","*"
"137","Henequen","01929.06","*"
"138","Henna","01919.90","*"
"138","Henna","01919.03","*"
"142","Hybrid maize","01290.01","*"
"143","Indigo","01930.90","*"
"144","Jasmine","01930.90","*"
"146","Jojoba","01499.03","*"
"147","Jowar (sorghum)","01919.01","*"
"148","Jute","01922.01","*"
"149","Kale","01219.90","*"
"149","Kale","01919.90","*"
"150","Kapok","01929.03","*"
"150","Kapok","01499.05","*"
"151","Kava","01930.90","*"
"152","Kenaf","01922.02","*"
"154","Kohlrabi","01219.90","*"
"154","Kohlrabi","01919.90","*"
"155","Kola nut","01379.02","*"
"156","Lavender","01930.90","*"
"159","Lemon grass","01930.90","*"
"161","Lespedeza (all varieties)","01919.90","*"
"165","Linseed (flax for oil seed)","01929.01","*"
"166","Liquorice","01930.90","*"
"168","Loquat","01349.20","*"
"168","Loquat","01349.10","*"
"169","Lupine (all varieties)","01709.02","*"
"17","Banana","01312.01","*"
"17","Banana","01312.02","*"
"170","Macadamia (Queensland nut)","01379.90","*"
"172","Maguey","01929.06","*"
"173","Maize (corn)","01290.01","*"
"175","Maize (hybrid)","01290.01","*"
"176","Maize, ordinary","01290.01","*"
"177","Mandarin","01324.01","*"
"178","Mangel (fodder beet)","01919.90","*"
"179","Mango","01316.01","*"
"180","Mangosteen/Mangostano","01316.03","*"
"181","Manioc (cassava)","01219.01","*"
"181","Manioc (cassava)","01520.01","*"
"181","Manioc (cassava)","01520.02","*"
"182","Maslin (mixed cereals)","01199.02","*"
"184","Melon (except watermelon)","01449.01","*"
"185","Millet broom","01919.01","*"
"193","Mint (all varieties)","01930.01","*"
"194","Mulberry for fruit (all varieties)","01353.02","*"
"195","Mulberry for silkworms","01353.02","*"
"199","New Zealand flax (formio)","01929.90","*"
"20","Basil","01930.90","*"
"200","Niger seed","01449.90","*"
"202","Oats, for fodder","01919.90","*"
"204","Oil palm","01491.01","*"
"204","Oil palm","01491.02","*"
"205","Okra","01239.01","*"
"207","Onion seed","01253.01","*"
"208","Onion, dry","01253.02","*"
"209","Onion, green","01253.01","*"
"21","Beans, dry, edible, for grains","01241.01","*"
"21","Beans, dry, edible, for grains","01241.90","*"
"214","Palm palmyra","01929.90","*"
"215","Palm, kernel oil","01491.02","*"
"216","Palm, oil","01491.01","*"
