Members,Date,Month,Year,ISO
Afghanistan,29,July,2016,AFG
Albania,8,September,2000,ALB
Angola,23,November,1996,AGO
Antigua and Barbuda,1,January,1995,ATG
Argentina,1,January,1995,ARG
Armenia,5,February,2003,ARM
Australia,1,January,1995,AUS
Austria,1,January,1995,AUT
"Bahrain, Kingdom of",1,January,1995,BHR
Bangladesh,1,January,1995,BGD
Barbados,1,January,1995,BRB
Belgium,1,January,1995,BEL
Belize,1,January,1995,BLZ
Benin,22,February,1996,BEN
"Bolivia, Plurinational State of",12,September,1995,BOL
Botswana,31,May,1995,BWA
Brazil,1,January,1995,BRA
Brunei Darussalam,1,January,1995,BRN
Bulgaria,1,December,1996,BGR
Burkina Faso,3,June,1995,BFA
Burundi,23,July,1995,BDI
Cabo Verde,23,July,2008,CPV
Cambodia,13,October,2004,KHM
Cameroon,13,December,1995,CMR
Canada,1,January,1995,CAN
Central African Republic,31,May,1995,CAF
Chad,19,October,1996,TCD
Chile,1,January,1995,CHL
China,11,December,2001,CHN
Colombia,30,April,1995,COL
Congo,27,March,1997,COG
Costa Rica,1,January,1995,CRI
Côte d’Ivoire,1,January,1995,CIV
Croatia,30,November,2000,HRV
Cuba,20,April,1995,CUB
Cyprus,30,July,1995,CYP
Czech Republic,1,January,1995,CZE
Democratic Republic of the Congo,1,January,1997,COD
Denmark,1,January,1995,DNK
Djibouti,31,May,1995,DJI
Dominica,1,January,1995,DMA
Dominican Republic,9,March,1995,DOM
Ecuador,21,January,1996,ECU
Egypt,30,June,1995,EGY
El Salvador,7,May,1995,SLV
Estonia,13,November,1999,EST
Eswatini,1,January,1995,SWZ
European Union (formerly EC),1,January,1995,#N/A
Fiji,14,January,1996,FJI
Finland,1,January,1995,FIN
France,1,January,1995,FRA
Gabon,1,January,1995,GAB
Gambia,23,October,1996,GMB
Georgia,14,June,2000,GEO
Germany,1,January,1995,DEU
Ghana,1,January,1995,GHA
Greece,1,January,1995,GRC
Grenada,22,February,1996,GRD
Guatemala,21,July,1995,GTM
Guinea,25,October,1995,GIN
Guinea-Bissau,31,May,1995,GNB
Guyana,1,January,1995,GUY
Haiti,30,January,1996,HTI
Honduras,1,January,1995,HND
"Hong Kong, China",1,January,1995,HKG
Hungary,1,January,1995,HUN
Iceland,1,January,1995,ISL
India,1,January,1995,IND
Indonesia,1,January,1995,IDN
Ireland,1,January,1995,IRL
Israel,21,April,1995,ISR
Italy,1,January,1995,ITA
Jamaica,9,March,1995,JAM
Japan,1,January,1995,JPN
Jordan,11,April,2000,JOR
Kazakhstan,30,November,2015,KAZ
Kenya,1,January,1995,KEN
"Korea, Republic of",1,January,1995,KOR
"Kuwait, the State of",1,January,1995,KWT
Kyrgyz Republic,20,December,1998,KGZ
Lao People’s Democratic Republic,2,February,2013,LAO
Latvia,10,February,1999,LVA
Lesotho,31,May,1995,LSO
Liberia,14,July,2016,LBR
Liechtenstein,1,September,1995,LIE
Lithuania,31,May,2001,LTU
Luxembourg,1,January,1995,LUX
"Macao, China",1,January,1995,MAC
Madagascar,17,November,1995,MDG
Malawi,31,May,1995,MWI
Malaysia,1,January,1995,MYS
Maldives,31,May,1995,MDV
Mali,31,May,1995,MLI
Malta,1,January,1995,MLT
Mauritania,31,May,1995,MRT
Mauritius,1,January,1995,MUS
Mexico,1,January,1995,MEX
"Moldova, Republic of",26,July,2001,MDA
Mongolia,29,January,1997,MNG
Montenegro,29,April,2012,MNE
Morocco,1,January,1995,MAR
Mozambique,26,August,1995,MOZ
Myanmar,1,January,1995,MMR
Namibia,1,January,1995,NAM
Nepal,23,April,2004,NPL
Netherlands,1,January,1995,NLD
New Zealand,1,January,1995,NZL
Nicaragua,3,September,1995,NIC
Niger,13,December,1996,NER
Nigeria,1,January,1995,NGA
North Macedonia,4,April,2003,MKD
Norway,1,January,1995,NOR
Oman,9,November,2000,OMN
Pakistan,1,January,1995,PAK
Panama,6,September,1997,PAN
Papua New Guinea,9,June,1996,PNG
Paraguay,1,January,1995,PRY
Peru,1,January,1995,PER
Philippines,1,January,1995,PHL
Poland,1,July,1995,POL
Portugal,1,January,1995,PRT
Qatar,13,January,1996,QAT
Romania,1,January,1995,ROU
Russian Federation,22,August,2012,RUS
Rwanda,22,May,1996,RWA
Saint Kitts and Nevis,21,February,1996,KNA
Saint Lucia,1,January,1995,LCA
Saint Vincent and the Grenadines,1,January,1995,VCT
Samoa,10,May,2012,WSM
"Saudi Arabia, Kingdom of",11,December,2005,SAU
Senegal,1,January,1995,SEN
Seychelles,26,April,2015,SYC
Sierra Leone,23,July,1995,SLE
Singapore,1,January,1995,SGP
Slovak Republic,1,January,1995,SVK
Slovenia,30,July,1995,SVN
Solomon Islands,26,July,1996,SLB
South Africa,1,January,1995,ZAF
Spain,1,January,1995,ESP
Sri Lanka,1,January,1995,LKA
Suriname,1,January,1995,SUR
Sweden,1,January,1995,SWE
Switzerland,1,July,1995,CHE
Chinese Taipei,1,January,2002,TWN
Tajikistan,2,March,2013,TJK
Tanzania,1,January,1995,TZA
